,425.21_12.63,513.256238473073_8.00981666666667,530.468409910354_22.59955,587.247037373666_10.8353333333333,587.280929111987_12.6303166666667,675.287385311069_9.82628333333333,675.301911758082_12.8898,716.320982768785_10.8020833333333,716.37706437096_13.8625666666667,733.355011684471_15.8555333333333,733.437819115961_19.4553666666667,733.500646199795_23.0988,749.339010644706_14.8636,790.330835177414_14.1894,813.341823293439_16.5157,821.460757350479_23.2211666666667,829.35134326032_17.25215,878.316689300301_16.0543833333333,895.316895342047_12.5830833333333,895.399672821398_17.00875,895.449536330882_19.4553666666667,895.524036316522_23.3432166666667,936.544339665785_16.0543833333333,936.525341582361_23.8338666666667,952.38521994166_16.0543833333333,952.440337636604_18.2192166666667,966.28751461525_13.4922333333333,975.371213218525_17.3741333333333,1024.35792093019_11.5100666666667,1024.4017532186_13.9869166666667,1041.55088112177_25.1262333333333,1057.43706293484_14.25385,1098.38071869905_14.7851333333333,1098.49182737929_20.8222166666667,1098.51572625538_23.5899333333333,1114.44353843252_19.5764333333333,1114.46536092232_21.07955,1121.47023411348_22.8482666666667,1121.46526454464_25.8008833333333,1139.49_22.69,1155.45129176915_17.13015,1186.44013353233_21.33565,1186.60691561959_16.8871166666667,1187.43_25.6,1203.52687928237_23.3432166666667,1244.51509550808_23.4659166666667,1260.46537559882_17.13015,1260.50031563177_21.84145,1260.53807923007_25.1895,1317.49418888742_18.9609833333333,1331.47225858895_21.5889166666667,1406.47506953504_15.96195,1406.54726710488_18.2192166666667,1406.5524610661_24.5759666666667,1447.55075194854_18.1004166666667,1463.51843407228_18.3382,1477.46872220965_18.9609833333333,1479.50029973261_20.8222166666667,1520.54_19.47,1552.57535232584_16.37885833333335,1552.57956314106_18.23123333333335,1552.58393892991_22.456708333333353,1593.66_17.78,1609.5_15.3845666666667,1609.5_17.7381833333333,1609.5_21.5889166666667,1625.5_22.8482666666667,1666.59_19.02,1698.64_21.53,1771.5_17.9801166666667,1771.5_22.2202833333333,1771.5_24.6969833333333,1771.5_26.1720833333333,1812.69_17.09,1843.68_22.01,1917.5_16.8871166666667,1917.5_24.6969833333333,1974.74_18.19,1988.72_19.0852666666667,1988.72_19.3330833333333,2031.76_19.56,2062.75_19.4553666666667
1A,-0.6456,0.08108,0.25108,0.61297,0.50666,0.32239,0.4953,-0.3285,-0.5425,0.29551,-0.5348,0.01832,0.53955,0.37424,-0.8537,-0.6017,-0.0332,-0.185,0.66998,-0.1415,-0.0229,0.28117,0.1657,0.06227,0.38197,0.27441,0.14326,-0.5174,-0.4364,-0.5989,0.77316,0.20198,0.38542,-0.0748,0.21346,0.08765,-0.4581,-0.255,0.00063,0.21086,0.26367,-0.7317,-0.5342,-0.1429,0.60021,0.68228,0.22348,-0.1384,-0.2358,0.21746,-0.2693,0.30984,0.14552,-0.0116,0.17806,0.30412,0.04571,-0.6028,0.01267,-0.1719,-0.2273,-0.1336,-0.519,-0.4816,0.28816,-0.1409,0.0752,-0.6362,-0.9165,-0.016,-0.3207,-0.4822,-0.1175,-0.1599,-0.6506,0.15303,0.17982,0.23399,-0.4067,-0.6377,0.2551,-0.262
2A,-0.8063,-0.5326,0.90756,-0.223,0.23161,-0.1447,-0.0724,-0.6706,-0.8016,-0.2572,0.56744,-0.0858,0.16094,-0.0817,-0.7965,-0.6891,-0.1532,-0.6833,-0.3128,-0.3722,0.57375,0.82222,-0.6981,0.86977,-0.346,-0.0265,-0.0786,-0.5196,-0.923,-0.9633,1.55453,-1.0,-0.5539,-1.0,-0.0912,-0.3242,-0.7396,0.22996,0.12959,-1.0,-0.2393,-0.3855,-0.2031,-0.3678,-1.0,-1.0,-0.2068,0.16845,-0.1769,-0.3818,-0.3866,-0.3281,-1.0,0.48838,-1.0,-0.0437,-0.4226,-0.7042,-0.448,-0.8946,-1.0,0.04291,-0.9198,-0.9564,-0.3039,-1.0,0.00823,-0.8222,-0.8898,-0.4739,-0.2904,-0.0331,0.27531,-0.8629,-0.9887,-0.2881,0.3381,-0.1956,-0.779,-0.762,-0.0847,-0.3847
3A,-0.7465,-0.6272,0.73886,0.40191,0.2761,0.07383,0.10709,-0.7755,-0.8326,0.2172,-0.2331,0.42673,0.31319,-0.1296,-0.8789,-0.7422,-0.5502,-0.7092,0.22989,0.04469,0.55941,0.73095,-0.4049,0.30064,0.04939,-0.0417,0.09688,-0.5149,-0.8359,-0.9641,1.3607,-1.0,0.05197,-0.0931,0.51846,-0.37,-0.8479,-0.0394,-0.1469,-0.1108,0.07844,-0.7491,-0.5836,0.38927,-1.0,0.72478,0.02106,-0.2693,-0.7301,0.00659,-0.549,-0.339,-1.0,0.05276,0.02237,0.2356,-0.6789,-0.7973,-0.1386,-0.6453,-1.0,0.28147,-0.9069,-0.7326,0.24674,0.36239,-0.175,-0.5741,-0.8033,-0.512,0.00831,-0.2695,-0.5211,-0.4967,-0.9348,-0.3435,0.58561,-0.0604,-0.7477,-0.912,0.09454,-0.1075
4A,-0.6471,0.26536,0.93017,0.15214,0.49317,-0.1349,0.29896,-0.6852,-0.752,0.27632,0.5848,0.11447,0.58529,-0.0085,-0.8462,-0.4598,-0.0647,-0.5795,-0.359,-0.0406,0.4526,0.719,-0.5617,0.5773,-0.3457,0.12682,0.2498,-0.6278,-0.9814,-0.9788,1.52064,-1.0,-0.689,-1.0,-0.2532,-0.1469,-0.1564,-0.511,-0.9065,-1.0,-0.1881,-0.3763,-0.4937,-0.7922,-1.0,-1.0,-0.3906,0.14,-0.7957,-0.1337,-0.2072,-0.4524,-1.0,0.34693,-1.0,-0.17,-0.4702,-0.7595,-0.5995,-0.9198,-1.0,0.27099,-0.9318,-0.9474,-0.1987,-1.0,-0.0464,-0.874,-0.8003,-0.6718,-0.1126,0.02042,-0.1524,-0.8524,-0.7985,-0.3264,0.5063,-0.3407,-0.6419,-0.8689,-0.2515,-0.3537
5A,-0.4399,0.77559,0.48446,0.29992,0.55016,0.19273,0.58508,-0.1759,0.27781,0.21223,-0.3563,0.28088,0.73996,0.25861,-0.9295,-0.0019,0.11032,-0.4953,-0.1102,-0.3108,0.11577,0.37967,-0.1648,-0.0454,0.28183,0.68267,0.43716,-0.5887,-0.9448,-0.9508,0.91241,-1.0,-0.1975,-0.2601,0.21207,0.24853,-0.2097,-0.5681,-0.9,0.18662,0.43238,-0.6249,-0.9072,-0.8149,-1.0,0.71864,-0.1433,-0.4156,-0.9229,0.53107,-0.0905,-0.3456,-1.0,-0.4655,0.13983,0.14856,0.31547,-0.5133,0.09727,-0.657,-1.0,-0.1228,-0.4149,-0.8515,0.03669,0.18063,0.24414,-0.5621,-0.8295,-0.3846,0.06188,-0.6548,-0.7844,-0.284,-0.2097,-0.3351,0.33088,0.11103,-0.3389,-0.4649,0.24316,-0.1065
6A,-0.7891,0.47922,0.81816,0.2238,0.16646,0.32179,0.57754,-0.7527,-0.6277,0.15476,0.01399,-0.0869,0.42919,-0.1286,-0.9411,-0.4421,-0.2668,-0.5721,-0.0436,0.00452,0.5719,0.88965,-0.5548,0.43083,-0.0397,0.08616,0.37164,-0.6919,-0.9118,-0.9369,1.2832,-1.0,0.01299,-0.1457,0.11912,-0.1395,-0.4746,-0.6581,-0.7864,-0.0165,-0.0156,-0.3637,-0.1982,-0.3315,-1.0,0.6928,-0.0365,0.17452,-0.204,-0.1411,-0.1247,-0.3043,-1.0,0.46435,-0.0741,0.16083,-0.3789,-0.6427,-0.1473,-0.828,-1.0,-0.4541,-0.8759,-0.8624,-0.068,0.19056,0.14869,-0.6966,-0.8518,-0.4549,0.10054,0.08042,0.18224,-0.3613,-0.905,-0.3603,0.33622,-0.0539,-0.7181,-0.6812,0.10847,-0.4051
1B,-0.6702,0.41208,-0.4076,0.64143,0.33279,0.83075,0.46323,-0.1117,0.52643,-0.0424,-0.7815,-0.6162,0.96433,-0.0089,-0.9086,-0.789,0.02536,-0.1323,0.21907,-0.4351,-0.592,-0.6798,-0.5004,-0.63,-0.4795,-0.0349,0.52806,-0.6675,-0.2168,0.17264,-0.0952,-0.639,-0.3277,-0.3621,-0.973,-0.2514,-0.7289,-0.9063,-0.9577,-0.0065,0.04437,1.34255,-0.2339,-0.8047,-0.2332,0.14861,-0.1015,-0.6693,-0.8339,-0.119,0.42796,-0.3944,-0.741,-0.3311,-0.1029,0.00628,0.64843,-0.9314,-0.6342,-0.7092,0.11889,-0.7181,-0.4348,-0.9398,-0.2283,-0.0692,0.02856,-0.8405,-0.6598,-0.6438,-0.2396,-0.547,-0.4597,-0.7525,0.06943,-0.4983,0.36443,-0.3635,0.63093,-0.207,-0.2272,0.20736
2B,-0.856,-0.532,0.82205,0.17295,0.29257,-0.029,0.30982,-0.8348,-0.8726,0.22013,0.21786,0.141,0.55022,0.04109,-0.935,-0.7011,-0.2476,-0.5111,-0.1246,0.02374,0.70416,0.86812,-0.6365,0.48083,-0.0046,0.06125,0.32994,-0.6226,-0.954,-0.9601,1.37907,-1.0,-0.4781,-1.0,0.36586,-0.0432,-0.6916,-0.2754,-0.5583,-1.0,0.0122,-0.7169,-0.4827,0.64813,-1.0,-1.0,-0.0237,0.09053,-0.5802,0.06788,-0.0816,-0.5774,-1.0,0.18978,-1.0,0.00715,-0.3791,-0.5005,-0.147,-0.7602,-1.0,0.31518,-0.8706,-0.9352,-0.0057,-1.0,0.16338,-0.6746,-0.7912,-0.7192,0.05482,-0.0356,-0.1845,-0.7835,-0.8356,-0.6152,0.59969,-0.3219,-0.7977,-0.5827,-0.1268,-0.1974
3B,-0.8915,-0.4143,0.36798,0.4418,0.05395,-0.189,0.12969,-0.7256,-0.6113,-0.0807,-0.4402,0.54159,0.4814,0.04527,-0.8004,-0.7121,-0.032,-0.5672,0.17062,-0.3122,0.30105,0.68867,-0.3614,-0.0673,0.45987,0.15284,-0.1091,-0.3578,-0.7694,-0.9409,1.05678,-1.0,0.00242,0.13348,0.86668,-0.0777,-0.7947,-0.0008,-0.1756,-0.1733,0.46336,-0.6069,-0.6001,1.04562,-1.0,0.55589,0.09095,-0.2497,-0.7802,0.33037,-0.3724,-0.3859,-1.0,-0.3058,0.13944,0.34191,-0.1214,-0.6553,0.14085,-0.4615,-1.0,-0.0439,-0.7748,-0.7397,0.45247,0.22053,0.0277,-0.1873,-0.6223,-0.415,-0.1477,-0.5412,-0.799,-0.4814,-0.7717,-0.4756,0.33864,-0.0224,-0.6476,-0.8833,0.30871,-0.0942
4B,-0.5746,0.54628,0.52659,0.20711,0.133,0.4945,1.14557,-0.8413,-0.4743,-0.012,-0.1785,0.22685,0.27684,-0.3712,-0.94,0.01971,-0.1182,0.14457,-0.2568,-0.4704,-0.0256,0.2558,-0.751,-0.2544,-0.1797,-0.1498,1.13162,-0.7662,-0.8679,-0.8785,0.41907,-1.0,-0.3549,-1.0,-0.2447,-0.3497,-0.9359,-0.7755,-0.8162,-1.0,-0.2708,0.23612,0.15967,0.40229,-1.0,-1.0,-0.5714,-0.5226,-0.9359,-0.2448,1.17519,-0.8396,-1.0,-0.3287,-1.0,-0.1809,0.91494,-0.5496,-0.6276,-0.825,-1.0,-0.4498,-0.817,-0.8118,-0.1459,-1.0,0.16314,-0.891,-0.2572,-0.8453,-0.1022,-0.587,-0.5085,-0.8069,0.06591,-0.647,0.40196,-0.4936,-0.252,-0.6123,-0.4612,-0.1954
