,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,5.21,5.4,5.13,4.68,4.83,4.09,4.25,5.06,3.54,3.49,4.46,4.62,4.34,3.75,3.89,3.39,3.65,4.1,3.19,3.13
sample_02,5.49,5.52,5.09,5.03,5.05,4.15,4.39,4.98,3.64,3.54,4.31,4.38,4.09,3.73,3.85,3.29,3.6,3.84,3.12,3.07
sample_03,4.92,5.29,5.06,4.51,4.87,4.15,4.19,5,3.66,3.65,4.2,4.5,4.25,3.77,4.04,3.37,3.64,4.1,3.33,2.92
sample_04,4.97,5.32,5.27,4.55,4.94,4.38,4.04,5.12,3.5,3.68,4.05,4.58,4.6,3.43,4.07,3.62,3.6,4.31,3.34,2.87
sample_05,5.32,5.36,4.88,5.03,5.1,4.2,4.24,4.71,3.64,3.52,4.48,4.52,4.13,4.11,4.16,3.34,3.69,3.84,3.18,2.82
sample_06,5.11,5.45,5.35,4.62,4.95,4.36,4.24,5.29,3.63,3.71,3.9,4.35,4.33,3.45,3.89,3.46,3.62,4.21,3.3,2.98
sample_07,5.33,5.44,5.11,4.94,5.08,4.27,4.31,5.02,3.65,3.64,4.1,4.41,4.28,3.45,3.85,3.48,3.64,3.99,3.44,2.94
sample_08,5.29,5.5,5.22,4.84,5.06,4.29,4.28,5.02,3.67,3.62,3.82,3.91,4.27,3.28,3.73,3.63,3.46,3.69,3.75,2.91
sample_09,5.22,5.39,5.08,4.78,4.91,4.11,4.36,5.13,3.71,3.71,4.25,4.37,4.06,3.78,3.89,3.29,3.73,4.04,3.07,3.01
sample_10,5.2,5.35,5.01,4.94,5.07,4.24,4.36,5.03,3.81,3.75,4.22,4.28,4.01,3.87,3.92,3.32,3.54,3.86,3.07,2.85
sample_11,5.61,5.43,4.81,5.06,4.9,3.87,4.55,4.95,3.8,3.59,4.89,4.63,4.13,4.22,4.08,3.2,3.89,4.03,3.02,2.88
sample_12,5.13,5.37,5.05,4.81,5.1,4.36,4.44,5.2,4.03,3.99,4.15,4.27,3.99,3.85,3.95,3.31,3.65,4,3.17,2.9
sample_13,5.46,5.52,5.11,5.07,5.09,4.25,4.36,4.94,3.63,3.52,4.23,4.4,4.06,3.73,3.89,3.31,3.56,3.79,2.92,2.67
sample_14,5.29,5.43,5.11,4.87,5.07,4.29,4.37,5.13,3.81,3.81,3.75,4.03,3.94,3.37,3.66,3.23,3.65,3.96,3.16,3.04
sample_15,5.53,5.41,4.83,5.01,4.91,3.94,4.39,4.83,3.69,3.51,4.48,4.4,4.01,3.97,3.88,3.19,3.72,3.91,3.67,2.91
sample_16,5.16,5.35,4.95,4.84,4.94,4.1,4.27,4.93,3.62,3.58,4.47,4.6,4.27,4.06,4.13,3.41,3.71,4.15,3.22,2.91
sample_17,5.17,5.39,5,4.68,4.92,4.11,4.38,5.06,3.67,3.65,4.27,4.51,4.18,3.72,3.98,3.25,3.74,4.13,3.02,2.9
sample_18,5.36,5.49,5.07,4.91,4.96,4.01,4.35,4.91,3.5,3.38,4.41,4.47,4.06,3.97,3.98,3.35,3.59,3.81,3.27,2.69
sample_19,5.51,5.45,4.96,5.13,5.03,4.07,4.42,4.98,3.79,3.6,4.32,4.3,3.88,3.88,3.85,3.11,3.7,3.83,3.38,2.9
sample_20,5.23,5.41,4.98,4.8,4.94,4.05,4.32,4.99,3.68,3.66,4.54,4.55,4.11,4.1,4.11,3.31,3.76,4.04,3.02,2.98
sample_21,5.52,5.44,4.97,5.14,5.03,4.09,4.43,4.98,3.77,3.59,4.37,4.27,3.96,3.88,3.82,3.29,3.71,3.8,3.09,2.96
sample_22,4.98,5.33,5.14,4.75,5.14,4.47,4.28,5.2,3.9,4,3.79,4.17,3.97,3.4,3.86,3.34,3.6,4.06,3.23,3.08
sample_23,4.68,4.92,4.59,4.33,4.54,3.77,3.87,4.57,3.3,3.27,4.7,5.07,4.56,4.13,4.56,3.69,4.03,4.41,3.29,3.09
sample_24,5.44,5.48,5.06,5.12,5.15,4.29,4.41,5.02,3.8,3.67,4.1,4.29,3.98,3.67,3.89,3.17,3.52,3.78,3.09,2.81
sample_25,5.36,5.38,4.99,4.94,4.95,4.1,4.35,5.04,3.69,3.61,4.22,4.36,4.05,3.7,3.86,3.18,3.71,4.07,3.42,2.93
sample_26,5.14,5.3,4.97,4.89,5.01,4.22,4.14,4.86,3.63,3.6,4.37,4.54,4.2,3.95,4.13,3.4,3.58,4.02,3.26,2.89
sample_27,5.16,5.48,5.3,4.68,4.99,4.38,4.3,5.23,3.67,3.71,3.89,4.34,4.27,3.28,3.77,3.33,3.64,4.21,2.96,2.9
sample_28,5.47,5.41,4.97,5.04,5.01,4.09,4.29,4.83,3.56,3.48,4.36,4.47,4.1,3.85,3.97,3.4,3.47,3.77,3.47,3.05
sample_29,5.23,5.49,5.29,4.55,4.87,4.25,4.42,5.39,3.7,3.74,3.61,4.08,4.05,2.99,3.46,3.2,3.8,4.28,3.05,3.03
sample_30,5.54,5.43,4.74,5.1,4.99,3.93,4.41,4.68,3.73,3.55,4.57,4.42,3.89,3.99,3.91,3.06,3.7,3.71,3,3.02
sample_31,5.62,5.56,5.07,5.18,5.1,4.19,4.51,5.05,3.8,3.67,4.2,4.19,3.88,3.76,3.72,3.16,3.74,3.8,2.94,2.79
sample_32,5.24,5.34,5.12,4.93,5.09,4.16,4.36,5.22,3.51,3.65,4.1,4.35,4.25,3.48,3.89,3.34,3.49,3.9,3.68,3.12
sample_33,5.29,5.45,5.15,4.86,5.02,4.29,4.27,5.06,3.64,3.7,4.12,4.37,4.25,3.64,3.88,3.32,3.52,4.05,3.06,2.86
sample_34,5.35,5.53,5.1,4.87,5.06,4.18,4.55,5.16,3.82,3.75,4,4.18,3.88,3.54,3.7,3.19,3.74,3.87,3.36,2.83
sample_35,5.18,5.5,5.21,4.68,4.98,4.23,4.32,5.09,3.59,3.54,4.17,4.4,4.15,3.64,3.91,3.34,3.6,4.01,3.01,2.89
sample_36,5.53,5.56,5.07,5.14,5.02,4.08,4.47,5.01,3.73,3.62,4.29,4.28,3.82,3.84,3.79,3.13,3.79,3.77,2.94,3.1
sample_37,5.18,5.4,5.22,4.72,4.96,4.35,4.25,5.23,3.68,3.77,3.96,4.43,4.35,3.46,3.95,3.41,3.66,4.25,3.06,2.87
sample_38,5.08,5.38,5.1,4.65,4.98,4.25,4.31,5.11,3.69,3.74,4.14,4.39,4.13,3.68,3.97,3.29,3.62,4.08,2.93,2.93
sample_39,5.5,5.49,5.1,5.02,5.04,4.22,4.39,5.05,3.74,3.69,4,4.25,4.11,3.52,3.85,3.31,3.64,3.93,3.12,3.04
sample_40,5.17,5.49,5.33,4.54,4.99,4.38,4.35,5.35,3.76,3.84,3.52,4.07,4.07,2.88,3.57,3.29,3.68,4.23,3.09,3.12
sample_41,5.15,5.32,5.02,4.68,4.9,4.16,4.23,5,3.61,3.63,4.41,4.58,4.28,3.85,4.11,3.4,3.72,4.16,3.11,2.97
sample_42,5.43,5.58,5.12,4.94,5.12,4.24,4.39,5,3.66,3.59,4.27,4.38,3.94,3.74,3.86,3.17,3.63,3.77,2.97,2.85
sample_43,5.18,5.42,5.26,4.75,4.94,4.32,4.27,5.21,3.61,3.65,3.95,4.39,4.33,3.32,3.89,3.44,3.56,4.19,3.2,2.95
sample_44,5.24,5.47,5.1,4.75,4.98,4.22,4.35,5.07,3.75,3.75,4.07,4.25,3.96,3.69,3.88,3.31,3.7,3.95,3.15,3.07
sample_45,5.37,5.51,5.12,4.97,5.14,4.27,4.33,4.91,3.65,3.57,4.18,4.35,4.11,3.56,3.86,3.32,3.5,3.77,3.13,2.52
sample_46,5.3,5.33,4.98,5.03,5.05,4.2,4.3,4.95,3.75,3.69,4.37,4.37,4.03,4.03,4.04,3.26,3.58,3.87,3.12,2.9
sample_47,5.28,5.39,4.97,4.94,5.06,4.21,4.38,4.98,3.82,3.72,4.23,4.23,3.85,3.87,3.87,3.23,3.7,3.82,3.13,2.98
sample_48,5.36,5.43,5.04,5.02,5.07,4.23,4.3,4.97,3.73,3.7,4.18,4.29,3.96,3.78,3.9,3.19,3.64,3.86,3.16,2.87
sample_49,5.23,5.43,5.25,4.82,4.95,4.28,4.3,5.24,3.66,3.71,3.92,4.34,4.21,3.45,3.83,3.35,3.65,4.16,3.1,2.98
sample_50,4.87,5.22,5.09,4.5,4.84,4.22,4.17,5.16,3.66,3.74,3.94,4.37,4.25,3.53,3.93,3.37,3.63,4.24,3.13,2.9
sample_51,4.97,5.18,5.05,4.81,4.95,4.31,4.07,5.09,3.68,3.79,4.11,4.38,4.22,3.81,4.05,3.44,3.54,4.2,3,2.89
sample_52,5.43,5.54,5.11,4.86,4.93,4.07,4.42,5.02,3.5,3.41,4.35,4.57,4.22,3.71,3.92,3.28,3.69,4.02,3.03,2.91
sample_53,5.42,5.46,5,4.92,5,4.13,4.35,4.92,3.72,3.66,4.17,4.32,3.95,3.55,3.8,3.17,3.69,3.85,3.2,3
sample_54,5.27,5.45,5.14,4.86,4.98,4.22,4.23,4.98,3.55,3.56,4.27,4.39,4.2,3.83,3.95,3.36,3.6,4.02,2.96,2.75
sample_55,5.33,5.47,5.09,4.94,5.04,4.18,4.43,5.09,3.78,3.73,4.07,4.23,3.92,3.58,3.78,3.18,3.72,3.92,2.99,2.97
sample_56,5.26,5.44,5.13,5,5.13,4.35,4.31,5.04,3.8,3.8,4.13,4.28,3.99,3.71,3.92,3.28,3.68,3.91,3.18,3.1
sample_57,5.32,5.41,4.89,4.84,4.89,3.96,4.25,4.75,3.56,3.51,5.19,5.17,4.45,4.44,4.45,3.45,3.9,4.08,2.98,2.91
sample_58,5.18,5.5,5.38,4.69,4.98,4.35,4.26,5.31,3.61,3.74,4.04,4.35,4.2,3.5,3.77,3.27,3.73,4.22,3.25,2.9
sample_59,5.4,5.5,5.06,4.89,5.01,4.19,4.39,5,3.72,3.66,4.16,4.25,4,3.75,3.89,3.28,3.61,3.9,3.14,2.86
sample_60,5.11,5.36,5.06,4.75,5.01,4.22,4.23,5.01,3.64,3.65,4.19,4.44,4.21,3.73,3.97,3.35,3.57,4.04,3.09,2.78
sample_61,5.09,5.39,5.18,4.79,5.07,4.39,4.29,5.21,3.74,3.85,4.03,4.31,4.05,3.71,3.91,3.3,3.66,4.13,3.06,3
sample_62,5.23,5.22,4.91,4.92,4.96,4.17,4.12,4.85,3.64,3.64,4.32,4.46,4.19,4.05,4.18,3.49,3.63,4.04,3.5,3.05
sample_63,5.43,5.51,5.09,4.9,4.92,4.07,4.42,5.05,3.72,3.59,4.32,4.39,4.04,3.65,3.79,3.18,3.81,4,3.09,3.15
sample_64,5.24,5.4,4.92,4.93,5.07,4.15,4.4,4.94,3.84,3.77,4.22,4.29,3.94,3.87,3.89,3.15,3.7,3.9,3.2,2.99
sample_65,5.29,5.5,5.02,4.78,4.96,4.05,4.52,5.08,3.77,3.68,4.37,4.43,4,3.77,3.88,3.14,3.77,3.94,2.86,2.8
sample_66,5.21,5.54,5.2,4.74,5.03,4.26,4.4,5.13,3.74,3.73,3.98,4.28,4.01,3.34,3.72,3.24,3.7,3.99,3.09,3.01
sample_67,5.07,5.26,5.02,4.81,4.96,4.24,4.02,4.84,3.47,3.54,4.5,4.78,4.59,4.1,4.36,3.73,3.68,4.3,3.11,2.97
sample_68,5.35,5.42,4.89,4.9,4.97,4.05,4.33,4.81,3.66,3.53,4.38,4.41,3.98,3.88,3.96,3.21,3.69,3.81,3.39,2.93
sample_69,4.93,5.38,5.27,4.45,4.88,4.3,4.19,5.27,3.61,3.69,3.91,4.45,4.37,3.38,3.95,3.43,3.66,4.34,3,3.01
sample_70,5.3,5.35,4.89,4.86,4.96,4.08,4.34,4.96,3.69,3.63,4.61,4.46,3.93,3.81,3.88,3.19,3.77,3.87,3.26,2.91
sample_71,5.08,5.15,5.08,4.69,4.81,4.25,4.02,5.11,3.57,3.71,3.9,4.53,4.55,3.36,4.06,3.6,3.61,4.39,3.16,3.1
sample_72,5.54,5.45,4.94,5.18,5.07,4.13,4.45,4.97,3.79,3.7,4.15,4.12,3.83,3.76,3.76,3.15,3.76,3.77,3.05,3.15
sample_73,5.1,5.46,5.29,4.58,4.92,4.33,4.25,5.17,3.54,3.6,3.94,4.42,4.39,3.17,3.88,3.48,3.48,4.18,3.16,2.98
sample_74,4.91,5.39,5.29,4.41,4.98,4.41,4.1,5.12,3.45,3.6,4.02,4.63,4.59,3.38,4.08,3.6,3.55,4.29,3.1,2.92
sample_75,5.41,5.48,5.09,4.95,5.1,4.26,4.32,4.92,3.59,3.49,4.37,4.49,4.06,3.69,3.92,3.31,3.19,3.8,2.79,1.76
sample_76,5.15,5.37,5.13,4.8,5,4.27,4.2,5.03,3.61,3.63,4.14,4.41,4.17,3.75,3.91,3.39,3.64,4.02,3.16,2.94
sample_77,5.22,5.34,4.96,4.89,5.04,4.25,4.18,4.88,3.6,3.53,4.2,4.45,4.23,3.74,3.97,3.38,3.27,4.06,3,2.87
sample_78,5.27,5.45,5.14,4.87,5,4.2,4.28,5.03,3.55,3.51,4.39,4.52,4.2,3.84,3.97,3.31,3.58,3.96,2.87,2.91
sample_79,5.26,5.33,5.01,4.9,4.92,4.15,4.19,4.77,3.67,3.43,4.18,4.46,4.3,3.74,3.99,3.64,3.68,3.97,3.33,3.33
sample_80,5.3,5.4,5.04,4.94,5.02,4.19,4.3,4.93,3.62,3.54,4.28,4.45,4.23,3.84,3.98,3.33,3.5,4.02,3.23,2.6
sample_81,5.42,5.49,5.03,5.02,5.01,4.11,4.27,4.8,3.51,3.36,4.53,4.67,4.34,4.08,4.13,3.41,3.68,4.01,3.06,2.88
sample_82,5.08,5.4,5.2,4.71,5.01,4.34,4.15,5.04,3.57,3.62,4,4.39,4.32,3.51,3.92,3.45,3.57,4.12,3.11,2.97
sample_83,5.52,5.57,5.05,5.08,5.08,4.12,4.45,4.91,3.66,3.47,4.49,4.41,3.99,4.11,3.98,3.23,3.69,3.78,2.96,2.72
sample_84,5.66,5.58,5.11,5.14,5.1,4.16,4.47,4.98,3.63,3.41,4.36,4.49,4.14,3.82,3.84,3.47,3.53,3.88,2.62,2.6
sample_85,5.2,5.49,5.27,4.58,4.89,4.22,4.33,5.18,3.56,3.55,4.1,4.52,4.42,3.42,3.88,3.47,3.65,4.24,3.03,2.95
sample_86,5.6,5.66,5.11,4.9,4.93,4.05,4.6,5.1,3.66,3.45,3.94,4.26,4.18,3.34,3.67,3.18,3.91,4.12,3.02,2.99
sample_87,5.34,5.38,4.97,4.96,4.9,4.04,4.29,4.89,3.57,3.43,4.69,4.76,4.38,4.23,4.21,3.35,3.72,4.13,2.91,2.74
sample_88,5.09,5.42,5.23,4.68,5.05,4.44,4.24,5.09,3.57,3.69,4.13,4.47,4.3,3.63,3.94,3.41,3.55,4.07,2.98,2.76
sample_89,5.56,5.67,5.26,5.09,5.19,4.34,4.45,5.05,3.68,3.6,4.15,4.38,4.02,3.61,3.88,3.24,3.45,3.82,3.25,2.64
sample_90,5.79,5.71,5.22,5.23,5.18,4.24,4.67,5.15,3.85,3.65,3.97,4.04,3.77,3.47,3.55,3.26,3.65,3.54,3.09,2.71
sample_91,5.15,5.33,5.04,4.81,4.98,4.25,4.23,4.98,3.62,3.59,4.26,4.57,4.28,3.85,4.14,3.43,3.56,4.06,3.09,2.95
sample_92,5.22,5.44,5.06,4.65,4.9,4.1,4.32,4.97,3.51,3.46,4.33,4.51,4.25,3.8,3.98,3.29,3.73,4.09,3.15,2.96
sample_93,5.1,5.51,5.44,4.77,5.2,4.63,4.19,5.32,3.57,3.58,4.09,4.54,4.49,3.41,4.12,3.44,3.33,4.15,2.36,2.18
sample_94,5.23,5.43,5.05,4.81,5,4.19,4.29,4.95,3.61,3.57,4.3,4.59,4.31,3.78,4.08,3.48,3.52,4.08,3.16,2.94
sample_95,5.1,5.5,5.41,4.7,5.13,4.56,4.32,5.35,3.74,3.85,3.64,4.21,4.13,3.09,3.64,3.27,3.54,4.08,3.01,2.92
sample_96,5.41,5.49,5.08,4.98,5.04,4.19,4.44,5.1,3.71,3.66,4.23,4.32,3.96,3.7,3.81,3.23,3.69,3.91,2.91,2.53
