Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,310.2924595253907,326.5449002915571,210.45844441823039,140.52308866035597,119.9751898681816,61.67126770774961,164.78856435945093,189.11305638950452,28.842761098504376,31.547579359537774,50.04567076295407,55.0776281606781,47.212051557593554,27.30806738607037,36.940057972544,26.65553396872755,56.98080939312668,44.406081192322766,22.266029685533265,22.673745612772215
sample_02,293.8897443814117,275.77934174945955,171.84397842846275,176.34289672561468,141.86569300421556,68.68569851732049,150.4122217661083,166.63547255889435,35.632470519352324,33.67451963294554,64.0537343961161,66.71110004321228,51.02578054903397,40.6779724008551,33.04764844510246,31.01394054925894,47.09689056787972,45.54557731811922,28.117310156259702,21.363510493428738
sample_03,234.6383110108967,264.29206030862423,181.98127958343656,138.86610335301452,128.94927577909243,71.31071474724992,149.49689150989835,193.05600570358746,35.73256756359618,40.84375224063001,56.38950659444927,62.76619137093635,42.66584237187839,33.28423075152506,35.56795666875837,24.584541686262554,63.45632028634331,56.33252846163266,22.845036441108657,20.327769247756333
sample_04,240.66086826376005,287.9091527649151,219.7461114456827,146.68294536495068,150.43266674497212,91.45173759125005,135.23723406500406,196.50034845511226,32.91626659182208,43.847422193463416,38.1392576632537,51.96116653892622,45.8501431056245,20.382693856462907,33.020868231592964,27.950358899321863,56.691258833340726,61.00683165883988,22.383145337354488,20.942457221575378
sample_05,360.56005808389324,271.7305717207847,146.302863522809,232.61547316647398,162.87507768062463,72.131478571863,140.0740565922416,134.15697344097225,37.996616335179716,35.00181928479749,74.0907981844847,64.77622273720371,43.13127398361721,48.06824402889821,41.88121676017603,25.244020505369416,49.81081918312251,39.44311159512278,25.443278730502183,16.287147037199574
sample_06,233.48459974773633,277.35647436369385,230.7621074946947,126.2438585672637,136.90753684277894,90.55109291049715,152.1142662691081,235.1321979645445,37.24875123297238,45.82707351283896,30.30315340331914,43.60799449947746,39.474263888491734,17.083768789808513,25.683689996335115,27.156996516055088,58.49075887884784,66.13950143906905,27.099130173065188,26.24731261422394
sample_07,303.96142351004136,291.74252345503726,184.68892912716376,183.4432227391185,160.93665499751333,83.90976927011306,150.67586779937642,161.52876362890566,35.74846248638524,40.1404072256605,45.29140494897333,53.20505635253297,44.85811883884107,26.480974800829195,31.599759295821407,26.253712460667792,48.88584299244884,41.99073716254891,24.529887927705726,20.19858518416792
sample_08,303.0661196938586,308.9100508649423,201.8572911296827,167.32093653620075,142.65180970218708,76.6805295747936,148.57749644990866,171.94170171235496,33.5264288516806,37.69145164455086,37.847566299289916,43.19441265576611,43.86512540090725,25.474518808904048,29.36546890154964,27.152813891643937,37.42184920891474,45.98225677550454,24.36279162210906,25.09840096638152
sample_09,278.11871433442025,261.1362974178182,179.44884563537934,164.50932604245642,133.05359861809407,72.79535083683213,161.59373543216321,218.8432814018332,38.712899898160366,44.85671685034819,51.321453596043895,50.40770686318247,36.846014358431546,29.64841595511923,31.686939286332073,23.665096965409077,65.50659126090397,56.34594656978925,21.32255401437765,19.121910085154866
sample_10,283.71784203476716,263.6869103787516,168.80576381628538,195.25084675814446,160.84811359142793,84.9566604903227,155.18551636252033,182.44501532671129,44.27332511552273,51.745334311531295,45.63514581306293,44.646511059269585,34.15928851957805,34.496528117246264,31.284497272118692,24.81576645340802,58.534172615171016,43.483782153876255,24.69547196583256,21.138725574801448
sample_11,329.20969165279746,245.11207921607325,131.69597330891094,170.61386635822544,114.20743746693938,50.739842367086084,150.93036353684312,154.02917065176712,36.609519495261566,34.90896464466619,147.2774810120452,110.04637460196471,64.678933364716,59.765640593156,43.896045848494786,23.945217320729153,72.1352575811059,67.04716927447676,21.989138672342882,19.420233656161486
sample_12,261.241150239522,240.65086595643785,154.10467203804387,163.96399983781467,136.12771707629346,70.72344712828583,150.16565733351428,181.37810520357516,39.116388298263985,45.072006997575244,51.93129419584621,52.83808269099075,38.12644981059134,36.12699424447233,34.52711276701331,23.790658739157948,60.796844026309614,51.89091474781128,23.818529897740316,20.385939524494802
sample_13,344.1994305343063,314.2984822718059,185.35608078030768,186.6046327716103,141.9482710279995,67.62980888792761,154.99223264278172,162.55832379777212,34.65134088785114,36.54454385691095,50.084705955087394,50.76016412159062,39.82150823092464,31.89513440815704,31.18170855696801,25.335699042992207,53.69430358331219,35.39962437250936,24.350618134964503,21.92244277374412
sample_14,299.84500032506116,251.47955938730357,171.9620699484196,165.01483050473695,135.8478687153497,76.85952688397364,152.09771136548616,205.18016426712973,39.70900109501644,47.82272311502618,42.41555640102349,43.394621743522514,33.529020583515006,28.201893465704075,30.569326070203005,24.055512431087724,68.63738743382056,58.274167345085424,22.451366460986357,21.93597559390332
sample_15,377.3592091050182,290.28176267963124,151.19172593560887,180.62689206059414,122.24616825406991,53.50855691315279,162.00274675760434,162.22378090276803,40.826201678307996,35.8529444440392,54.64861124362316,52.02839429406579,39.6847293783995,33.49967348877365,36.80993108586695,21.988219109314514,72.47688346958795,40.95345322407181,21.852434527082547,22.766614911097516
sample_16,286.1451374909161,281.9219787904566,170.71484690413226,157.96247246144023,133.90304657426935,66.32741368561811,156.18007395396702,185.25143687744242,36.50319697926983,41.3295119333053,58.8808729940625,56.288970645943536,39.596252705939655,35.97696467989646,35.17463567961962,23.355656615686723,73.6720450591063,56.46446805880862,22.351664457144846,19.536108782259937
sample_17,289.83548855627043,266.91605862635646,151.36877500156433,157.444923639965,128.41157458356088,60.58954894672744,170.57757575954406,183.11328581555387,38.86366713548603,41.240599734144475,54.185290217028175,56.207064946416274,41.735937078457276,31.390001674182496,34.584286696720454,24.188307085562748,72.2053487905609,55.64477767185018,22.101236912075247,19.806342786055062
sample_18,382.2773294975979,311.2571878398411,173.77363755008693,190.06697572771353,131.97230283847009,63.700622267774804,152.12693906187192,151.9577745204424,36.31379352993888,31.686661083797457,64.10367850266519,57.521815820578595,41.333798825489076,38.335826859344095,37.197927129310784,26.892182599638115,52.921526779849664,35.881582803556014,25.974378452202263,16.769834634225028
sample_19,395.13069452261504,273.0978856558592,158.0250156016174,219.7312452031412,136.60225951734242,62.40571747219182,176.98839455532843,189.67644463694924,42.11368404336721,41.382400760591125,50.48448562364454,41.784222735252,30.15600517925934,33.24414322491259,33.098085785423216,20.987703076645225,70.96792847483427,42.56245821698082,22.103672514477136,21.412211696030067
sample_20,336.830730592697,281.7151548908699,158.69662236673386,175.22937659182801,130.75557004876612,62.31226894687647,150.0628595578716,163.43610955418086,36.41624893556213,37.92066681117435,78.49901872897293,61.824543700636674,37.4199182934457,46.91418251964094,39.24852354051702,22.2751772652008,68.18621385444098,44.8727112966394,22.79167128201832,21.201615319823922
sample_21,393.23359990925405,295.7191427382735,180.24071182801148,223.21063792602652,144.0428191427671,68.96449316145117,176.8121797606056,197.26719186896554,41.04901363955954,40.22493260602668,48.621558543970245,39.91509658956018,33.046515018539374,30.172948238717577,33.39785486410171,21.74099452355608,67.6808347244393,42.73883998341651,22.36237732711851,17.46754234060613
sample_22,220.76140606653965,232.5532608304843,179.36403224961023,148.7556124742956,145.8258232269765,88.55260829792302,143.23746713327245,210.57779263565777,40.653005377993836,52.3701980444811,42.348699352892005,48.66620239834576,35.34790979888457,25.8382390622588,32.10372497432101,25.716255883739866,59.483455410406606,63.57943023491353,26.636887024334154,25.792583422696858
sample_23,235.18843629897708,244.78261218996184,166.1980838991236,148.3420455316558,135.17298490966007,71.82495911448277,147.46607779790986,183.01257615297155,35.41350491679418,43.10742798430288,75.15475640224773,75.4660657380027,62.69768444668047,42.13090529588688,42.792946889541426,29.795932453728124,51.106960414340904,71.59795765738953,22.690816673626415,20.646534743969177
sample_24,360.7525544306235,290.29472732274075,161.75469312081663,218.58006395313666,151.62193350899398,71.32213766579474,159.61253298149956,157.57564420586246,36.59588462729759,36.43027057953985,47.45980784974282,58.879850223171424,43.543702795450415,35.693888294405305,34.24862871954955,28.299797980865105,47.33454044094353,37.01587746610807,21.113334356101387,16.644649157486857
sample_25,357.2053988875906,263.09391372249445,163.40057070639105,199.20678442220648,129.9675788718579,63.79351160315341,163.29285408368617,195.49547898855963,39.17699338976019,41.0453712634584,48.54533930429422,48.957201254210815,35.849490522542716,29.069904351964226,33.17026265988746,20.896153854415275,69.53006003503076,51.273599516635365,22.967035506230246,21.52622679745766
sample_26,272.6232703862323,242.40708825959922,155.44757764210593,167.56788330561886,133.33484526404445,69.50039645268303,130.82954055355864,166.23307338283226,33.44739119561963,40.94390732353856,70.16210488276103,67.11267787635462,44.24639565301866,42.35799576059429,39.92208779442999,24.91294264126557,62.99050904579678,53.30683296275094,20.24977126970053,21.628439602796867
