Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS
sample_01,117.69750198379428,110.78012715578522,78.7287849696218,81.64330234621555,60.07927100532606,28.0600808649592,57.61946859587832,90.58214835419871,18.393242625077498,24.674613837940974
sample_02,124.45010563903904,110.78322339142136,72.8076160991427,80.45750625165347,69.45196975450179,29.629675882104323,61.59214684178188,81.93468392061547,19.411489561346798,17.456593785669465
sample_03,116.64674764385921,101.40979802233758,66.06999319723253,103.70484351918319,73.59917001120917,32.903916233167195,59.90032782512613,81.66364424080061,25.410626153954443,21.876492950935646
sample_04,105.03575359418427,104.32103635281867,83.68147470729265,76.19523371836962,76.00260321444732,42.958978077266124,49.93397702694878,88.30644680866888,19.294570401519184,24.187459961644347
sample_05,132.40195783367483,107.79426353585374,54.37168781330445,105.65384743222818,81.6798753744978,32.076192043650494,56.84471332864829,56.34685154879036,25.450108507638635,17.41931721514963
sample_06,98.89224506089104,109.18860828408232,83.08438889560544,54.00348473648496,61.088132998227366,35.8902938608765,59.237934286789375,100.43997212686916,19.57551098391737,21.520840808324486
sample_07,121.82605257306795,109.81708726612594,69.26179017681038,71.61402734911319,70.12658890352037,32.90652821993711,58.521738723790484,78.62016432561927,18.845776657617552,25.667031482137578
sample_08,105.04736409440784,115.70394756587679,88.02164355749882,61.4220806312163,66.44582693258155,33.696567622623526,55.34275836372141,91.53506600884096,13.041991577154947,26.52240584233191
sample_09,121.2557642827004,106.91290866891106,67.5756670553139,78.84635643487381,64.58083342170917,31.411422942224604,62.08776533408558,88.99614378107451,24.334854106808635,23.924132798114243
sample_10,89.60649198008475,98.5469292071534,71.49975772770661,67.4586396561763,71.1531541709678,37.888406630253996,56.87135086936429,93.12374532322353,25.495274502399273,26.66991928153506
sample_11,169.1897330038649,110.48407784179679,57.13838111706323,106.77012142727729,69.703718711955,23.44503567542883,70.57949063834279,85.02207988656643,24.771284428863027,18.966243250138525
sample_12,113.43694157456878,104.665776100428,73.37060841123622,78.84312850076027,69.06998613656502,33.08176956909888,59.833157900650846,95.44723192586773,22.029466049279627,20.991114236525526
sample_13,126.82248851944769,110.57425639025234,74.57712051929401,94.9025208353018,67.4581169565466,28.075793449520894,59.86599865003358,87.50162906346692,14.551477076902007,9.2235551110254
sample_14,125.67432232568513,96.49925854850791,64.09847042057721,84.15564604171594,63.20052817273816,31.197143405899194,58.48126790248968,86.12328875174525,21.851680070808406,25.339863638527294
sample_15,205.90383023584147,132.49706383939818,65.53589914272604,124.69527715723326,68.93567345966403,22.659342637050873,71.49369083665316,79.96485981838178,18.79140742745527,23.20233868407287
sample_16,116.38795133942455,108.42392219815532,70.52449001764211,89.31529350225847,69.9248520695705,32.521198715121265,61.2148548755821,87.78494280949957,22.46091229474132,20.501225387823762
sample_17,116.60207924498299,111.62825347700587,71.05945918124993,81.70643225126126,65.76470130489052,31.07448471579169,69.22776464935986,96.45497541698417,24.204997729584964,22.06550076699607
sample_18,117.01204756911626,118.90615110121955,80.81898572293277,68.60177487729,64.03067727800415,30.05313616618993,61.04852798128786,90.54948532004458,17.305369468326486,29.84088864493559
sample_19,168.92782601276278,108.62973620341366,60.57936795904769,111.32009551859736,64.76138247140524,25.467116015945567,68.96372475345053,81.59530566658505,23.2980177559804,23.208691256964233
sample_20,139.82012049573777,122.18695538261392,71.86523288120468,85.04727444490132,69.19155943721799,28.909155071069854,65.04018504440545,81.55636044797222,19.59678634611192,18.758278020302583
sample_21,142.60189009139486,110.04619416450106,68.00755305328464,96.04499708814329,69.55415517729725,30.31997129571688,64.35314730768111,87.92384061402306,22.993368242588325,19.473619195816898
sample_22,90.13374456949079,88.4954394305954,70.64086785611643,81.22046105811252,68.27356463213532,35.76041316728063,51.75852476192969,91.565859521236,23.55055904870441,24.9265488357755
sample_23,102.38898641973815,96.79517496249525,67.14958440530506,85.42302338832333,68.47179958592524,31.862982546694784,60.98074136793178,86.7797481828039,21.2212142955681,24.389070883321768
sample_24,123.3607462971603,115.28318406862115,70.12115147357576,86.74951345282145,71.47464429664626,30.334190726711228,65.13913608474812,81.87176357868907,19.00297953832146,19.628460074481584
sample_25,127.56833433345265,101.17450086966006,65.64080002846383,92.30920842914448,64.292164912379,29.862962530458695,60.03142681121703,91.57860146241448,22.4196898519896,22.024616445551597
sample_26,122.51690775206856,104.9817351860934,69.18858176145466,96.88573814581758,78.16273059856293,37.057124060750446,56.31871141310603,77.21059560943445,22.52661828160095,22.587366682465216
sample_27,103.6658441035044,110.37407958979651,81.77923291962607,67.24838868826788,69.28128450177782,36.79400430261063,57.835018302507386,98.02636306472263,16.576182597227245,27.660532201438706
sample_28,127.63062916206205,101.61078345974981,65.74256155968118,101.09872324971391,68.96787124486706,31.572911007530397,57.79629893120027,81.53385421321019,23.493501011194233,32.57042633596339
sample_29,125.371039396266,117.91187395146447,77.83877032078168,67.4384436934501,56.31104658352981,28.136216705183983,70.65189419804462,107.1267065447266,18.655104068258595,19.980228808512138
sample_30,154.559510722689,126.16347392853211,64.43423703934381,96.91589279452411,75.93389698844123,25.825676830316038,65.35710333300443,71.46798561017116,17.514093195463566,20.438159717639373
sample_31,151.11662374346878,119.87476617233736,69.40599128982414,96.79341910799337,65.29195619561123,23.407619354083767,64.33398225257771,81.96406085616653,19.33665460995902,22.970792237464558
sample_32,102.02215938747723,109.98380518708046,83.81124205723573,53.022061692319134,66.08814205648152,31.55167193695219,60.462873537073456,101.59656255743094,20.696096227634396,16.545280512062252
sample_33,118.01718462714761,115.03755507101764,78.92379106672419,73.37436141757433,69.9039357302343,34.91324961864187,58.98757380912648,87.81123747445997,17.50595226533594,22.59293640567111
sample_34,120.9517104597677,112.31767413050332,69.526760970553,79.41546997703014,62.821265926206635,27.58416804203581,67.36126806046562,91.70536114157336,21.95890532566889,21.56342943107282
sample_35,121.97363296001318,119.21252925880204,76.5874648883259,71.83249027509937,62.56177387695866,29.540324697525172,64.50825547394643,87.05326278459253,22.05924436158272,17.144685196160943
