Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,5.680688356581744,5.716996337501307,5.2735989562662,5.071421074872518,4.957978379037628,4.386660468992005,4.934935271478683,5.1186861265376065,3.61749706515902,3.7155336533303305,4.3838791491211015,4.637179136502212,4.493170657847652,3.7844405001594352,4.040636507412437,3.741337711468268,3.9341019668968267,4.232801183107245,3.3665273189573224,3.2794185085572365
sample_02,5.751105193005406,5.7547805804659555,5.308288343566147,5.167445133789924,5.011329135802908,4.429401812000061,5.020822111366534,5.196753620169352,3.662834915714274,3.7491495881321937,4.063739653192197,4.267191740378655,4.1095007914318415,3.5262961082079025,3.791772182966137,3.625963555761148,3.747325804143803,3.880167179480644,3.449172063598956,3.30394412043338
sample_03,5.505949628999954,5.702702342477185,5.5023175966813564,4.886982592462547,4.864096961448569,4.571169058045652,4.990072366965558,5.374384990357851,3.586513338621984,3.8466676151428394,3.8597875305430938,4.28074281684419,4.212065769375547,3.3941725644775373,3.7522074976448154,3.5850019966178372,3.6638072306300433,3.997473170452331,3.3372341496739972,3.479105035394095
sample_04,5.657325163512095,5.7397672217043265,5.365785277143911,5.1059769828976265,4.970381985059457,4.461050897051429,4.989216182633078,5.224346415603131,3.622989735330743,3.751263988551585,4.16666784868303,4.400179694175271,4.123683454489139,3.570595306169466,3.7703443591778347,3.531073439494757,3.7477417331549847,3.824088811379034,3.284959637995748,3.2364324796301793
sample_05,5.560731540129875,5.704047788241387,5.492790125035172,4.891387223083334,4.846975595480028,4.498295898259198,5.009970949164572,5.430264411865739,3.565736332754926,3.832213224580499,3.8582544515496973,4.281231166319509,4.228585774400427,3.3429164936422375,3.6691005243657897,3.581985499249438,3.6530739736788083,4.100823804216291,3.3679914294425237,3.433103599899372
sample_06,5.454336864221479,5.630690538502778,5.3736733088745945,4.876282370053479,4.828289877841836,4.488023481882994,4.960661499978931,5.30191201066349,3.539910985152325,3.7731602220140603,3.9429766350406363,4.374954977890992,4.30579944848312,3.454638832648099,3.799804367960371,3.5985634561841864,3.694461446995267,4.0768689903863295,3.2228908183911487,3.365180957956443
sample_07,5.807657836378734,5.7207294907492905,5.227084485105596,5.287631160990745,5.022643651997854,4.323757205516801,5.032436239129693,5.1417039328735905,3.7070337564117386,3.7635764252477677,4.347095030442514,4.295744961776939,3.9667758045236705,3.7292892005702005,3.7593253973353393,3.521892714424403,3.693658052074678,3.761734382708751,3.3555185081855723,3.2581964789680784
sample_08,5.64587068034991,5.6641132324300845,5.33554114550634,5.361940055978794,5.078314227513313,4.679851946180023,4.974022003204703,5.2385728324339,3.8172790218625035,3.969068929915193,3.955043004456004,4.091448471142966,3.9231761059737926,3.5067695055020085,3.7506474200116484,3.6130932320268325,3.5407257010004702,3.7160405945794714,3.42026337213872,3.334069717336122
sample_09,5.573728180104396,5.68712415231943,5.396838303569885,5.111793039406786,4.92235995303393,4.5220845413440545,4.9317686686270985,5.255198720872517,3.567243794979846,3.7729657087753594,4.187406102486417,4.421752976163483,4.236172780974052,3.5558617130576344,3.780045984304667,3.5220400201731135,3.7123682560046127,3.9810416619531046,3.254419645336534,3.3268343788141546
sample_10,5.84904705658529,5.684961977637443,5.251553142510093,5.361058776025114,5.077410197970632,4.45051322075185,4.968008185991629,5.177826890239308,3.715852353532595,3.771541645147058,3.9956539579548753,4.195619753452807,3.980406661224175,3.641042792745511,3.7669093111249525,3.635810265811834,3.714480899101583,3.888401974360553,3.3863086424515814,3.363689380187641
