Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS
sample_01,5.024341291489746,5.1031394504157825,4.8029730376366935,4.62168654520796,4.616990428512949,3.875143921280084,4.382459961356497,4.894228952628352,3.2986789072758786,3.2119566922556846
sample_02,5.15401565064717,5.149640328682728,4.696583931115014,4.730902524749036,4.567063667073519,3.800128517759876,4.440499932569011,4.724859440327569,3.359932535087636,3.224685392315773
sample_03,4.836786989509351,5.0470851316221905,4.970849966100526,4.41015237017754,4.537155433759552,4.075552592777559,4.342762351360349,5.080364336875,3.3513699796297676,3.516011353090842
sample_04,5.08355112505445,5.174755721941735,4.864189818860238,4.575595368186899,4.568079032769373,3.8955674275432157,4.413491409663415,4.896293385882117,3.295594391129345,3.2518217754401424
sample_05,4.918772748081089,5.0759627338154525,4.873534337227107,4.372302616163883,4.402673881443764,3.8909563574836175,4.3674566544908275,4.968794157193422,3.157575185348327,3.341548593281328
sample_06,4.863678562015993,5.050226932983907,4.821619844390326,4.366842331272436,4.491730486737283,3.9167281500915276,4.368174456991095,4.941297944229807,3.3237897001263144,3.376970185419596
sample_07,5.015870440603749,5.065906909642778,4.722806370489478,4.60503254140179,4.5597098057674526,3.9153006342943097,4.346099800991278,4.8370681888633715,3.2861075928528596,3.3895560365563364
sample_08,4.906458806944016,4.992324649865078,4.665050745098768,4.711031376323958,4.793941348930587,4.1079593603373485,4.273841436409154,4.713943566013547,3.540846339060911,3.5492239565191563
sample_09,5.054812241715639,5.030621204525326,4.72957456252922,4.820946025806652,4.66716791537189,3.956569806247311,4.301720673106788,4.771217283742017,3.349746025123285,3.239973838710816
sample_10,5.081526878716294,5.039205599330884,4.669860365172609,4.674456858843915,4.616448305295584,3.91699975902891,4.300882536554422,4.770084080632854,3.3128065117609578,3.3857956249644414
sample_11,5.111835665685386,5.082381368345357,4.7007947278581526,4.577760677136069,4.532358895691876,3.8110540541007896,4.4542225441393075,4.8755993382401535,3.355965880495979,3.272057678443514
sample_12,4.900071987557282,5.0139750158588425,4.810507365733053,4.57724995338201,4.611164892988593,4.041330803390132,4.3411804072799915,4.966655042767956,3.263108105365971,3.3323151006508653
sample_13,5.205436431631876,5.05684214868691,4.629679386925834,4.947223817259672,4.599029252266815,3.830564232990477,4.40850137377101,4.763862129527935,3.35123212026355,3.163985604096979
sample_14,5.326512364593629,5.129401387317475,4.5875493753317365,4.8266165468918825,4.602314629897537,3.6317416570902585,4.44279507734899,4.762775275271543,3.2759592825200943,3.1943960648201917
sample_15,5.328693582926306,5.079329527730662,4.625053407811943,4.97396448088672,4.66497100128444,3.7616812927521153,4.382220527931837,4.758847508171061,3.142092256004102,2.770774727452478
