Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,5.422298109056411,5.575371720966176,5.149986741000986,4.916086511368851,5.085099064191218,4.20407114064139,4.370322986539608,4.981908083443446,3.636646351045706,3.561647351480672,4.650473487794443,4.696592138028242,4.294544330447526,4.051102932351551,4.134581462853965,3.3970757417919493,3.8282622578534307,4.067498668200937,3.1601463158310548,2.734921875912159
sample_02,5.591562014703447,5.531807562031565,5.0851632749972415,5.034353149484104,4.9731455662793485,4.139995933426908,4.460265639836325,5.102876886239036,3.766472991127081,3.659711867958142,4.319079240771196,4.365381359822481,4.078451821166531,3.7452892499238306,3.888808554170068,3.385215604807453,3.991099432138722,4.050847420493939,3.353894044241322,3.0881785378088145
sample_03,5.415427473947163,5.532697679496831,5.251854137157235,4.918848905422816,5.039734187007755,4.312965263329731,4.352152480911369,5.244443687746722,3.719406591612019,3.702405188010188,4.1330012889643335,4.420316648113098,4.190918479248039,3.53816562864724,3.941415582016353,3.3997114142679936,4.056030729401555,4.2676877818436125,3.0172784108484585,3.005530286488879
sample_04,5.232586886185804,5.451558039262927,5.125911723075426,4.879058150228779,5.108015620328161,4.329377004517919,4.317044552443082,5.022926914797665,3.698950808246829,3.6739766045944005,4.488405824842205,4.668541167557823,4.340785286656461,4.042387033940903,4.207707422590123,3.562423741143906,3.8058756070662496,4.132859609981007,3.283403620095629,2.8188943436735427
sample_05,5.278373128904453,5.4946201980249585,5.092257640246082,4.761364930116999,4.915538660997786,4.117001950729205,4.412011413789119,5.108729601883573,3.6557215602250293,3.569133444059831,4.335370666606713,4.553444751213004,4.301986646360382,3.8253563973254723,4.01706420281934,3.4304105024215876,3.98734427405861,4.263197961581401,3.1672187950738544,2.9644095613462054
sample_06,5.1640818591624615,5.518594732995855,5.312393818240967,4.878235243226077,5.189641309928968,4.5206435763951225,4.3377626502763516,5.210383819569392,3.822859413740359,3.8309933857215848,3.7748240036242233,4.231297937918822,4.196528125322485,3.3092753390793166,3.8048021448104596,3.4324718623696233,3.698411195151086,4.107887487851649,3.1946875372078636,3.0269004409407616
sample_07,5.267545731303518,5.524853123037366,5.291300978127074,4.890283844639142,5.06632921419957,4.3584513051995115,4.298913166638638,5.197315944272882,3.6375395967988386,3.6466614530297776,4.099704607766592,4.417184927978208,4.281118681792263,3.7265424844471653,3.897958994999303,3.430533290158235,3.8342847802890248,4.232993460336604,3.131164078475718,2.873077284112816
sample_08,5.1789537652858515,5.439930793641866,5.18801870997492,4.702636152898635,4.936052091130717,4.276703724118039,4.262777416151772,5.139582164589885,3.6556359996022767,3.6338604929842115,4.391982823096857,4.542588412142138,4.302032139225584,3.709064595343025,3.981307595597627,3.457744694051032,3.9247516623879113,4.271896525832616,3.019202713373328,2.9534331933221263
sample_09,5.356971791029594,5.475296413818423,5.020691790173286,5.045060253660928,5.137060356011129,4.267080630489408,4.3034751440291625,4.907536824167566,3.768228812084903,3.6682281822975744,4.38114339029081,4.382072389652415,3.9744184285644164,4.0346448600073215,4.026441488897956,3.3695924258540697,3.833321838657572,3.8730856379164824,3.4179106907164734,2.9840571306945414
sample_10,5.486688595477815,5.494089625934945,5.140880510883871,5.1004821678855965,5.075533583597776,4.257437963448105,4.297508812858134,4.996670463501815,3.6766371292431703,3.5620009557009995,4.686556705772243,4.658036939599264,4.357241930584665,4.087186758758979,4.113404000137727,3.4416354879351,3.8924307143834542,4.125768581368311,3.122613958090497,2.830453456846505
sample_11,5.233104308499078,5.547724949883978,5.259099516217796,4.679239306377158,5.033659611176678,4.337813280321418,4.349486504590946,5.192803393889535,3.689657897772013,3.7289993950047085,4.054119447764839,4.38511045394787,4.214208217655283,3.5712511749702274,3.9058149029408455,3.4578624450526867,3.8624674376369774,4.179895494677499,3.2480722246552554,2.919650145351463
sample_12,5.205369205648258,5.387128027876907,4.98507281976595,4.8973514575564945,5.023060780693234,4.189000799419612,4.3340222593066695,5.012673949034957,3.745073751257969,3.634545970712557,4.6198025577420365,4.672500653564781,4.299554132758944,4.254529523568874,4.247900190633958,3.515092860341255,3.8983169834983045,4.195545998092182,3.1366735818989873,2.9523294477667523
sample_13,5.266590354109434,5.479077048139297,5.139478256531762,4.9568762131536195,5.102509117991282,4.328817118094373,4.367469025514158,5.13527064817833,3.780766979236376,3.767866194590328,4.11291421440918,4.297380027804807,4.101562431656484,3.810789260079825,3.943195882255318,3.3960099748694645,3.8872322745679893,4.0843700673003385,3.076955291734538,3.0032700477776157
sample_14,5.173658803890296,5.521765722548901,5.283387078177797,4.796525834844965,5.0279644765379015,4.286541021712942,4.25806973195018,5.132820839851773,3.5904515836116198,3.628004197320446,4.347951520499179,4.644229061874403,4.39434464158957,3.841502672931789,4.003835505318786,3.4509847599206473,3.8100057951679034,4.201416899950142,3.098837084320588,2.853913528409676
sample_15,5.419368233056229,5.562303750170146,5.115456236012979,4.827053588077381,5.033445667361576,4.220376722468531,4.385921365207654,5.022685168463552,3.711938355613011,3.651534994989123,4.333314937528914,4.583421912578189,4.30280869089308,3.841897893596362,4.05910167353386,3.3961415670166235,3.8038529262851535,4.122036831223556,3.5261123647576107,2.7570641449977256
sample_16,5.22532673064294,5.518118266033438,5.278170041229432,4.87289512447034,5.146248231206964,4.453275894755532,4.296248099389664,5.149912263717106,3.7758076673405485,3.839803349610777,4.013514065363802,4.439790698735051,4.234931386381091,3.5854182842169955,3.911931536817438,3.4120696580962444,3.7523624563762814,4.078608850132822,3.2584546708467323,2.901056883599852
sample_17,5.154982649741964,5.375860876454505,5.073015042784313,4.790566129842247,5.075238549515439,4.320888397478864,4.285360910656238,5.117947808425426,3.7962458930761165,3.818517744458954,4.357450112981615,4.494033028827399,4.256254444859789,3.862367614220194,4.063533244621559,3.410004910584137,3.8147009810703167,4.2119978940730425,3.3450070347309477,2.904323901651621
sample_18,5.476246674912319,5.606893567775417,5.222718669425092,4.928283554242226,5.1079583408353155,4.370546976251486,4.436879898789846,5.148407267697725,3.7508424065508126,3.6867401252415744,3.805340721943878,4.1675049040398315,4.063668197440209,3.381140326408455,3.6851853091436544,3.2628729111807315,3.8078528342070648,4.006327436484346,3.304372578598865,2.825375318880447
