"","139_","148_","154_","164_","165_","173_","176_","182_","184_","187_","188_","189_","190_","195_","196_","197_","199_","200_","201_"
"139_",1,-0.428991696205981,-0.042197258056007,0.489718962823351,0.488206819947262,0.813258267310746,0.169195437194204,-0.147108230000202,-0.143137574540281,-0.328992384479416,-0.0501262858843015,0.0724856739188265,-0.0769047000360444,-0.00112004902468757,-0.0564400260030399,-0.130281769865068,0.0960324255851405,-0.13050837091191,0.00796748962065305
"148_",-0.428991696205981,1,-0.252781229464426,-0.0814691437113761,-0.0960329725137308,0.676333465451515,-0.0755991413702843,0.297073726999095,0.0359679489367194,0.118948233416889,0.191310519485572,0.0174377263613045,0.0613646175260993,0.0161325012219537,-0.0739725500197721,0.0344697517292998,0.0559801112460618,-0.0165312837336462,-0.0821243215905462
"154_",-0.0421972580560073,-0.252781229464426,1,-0.0346162003475756,-0.129432603634163,0.105690144858999,0.538920250773811,0.650929879601032,-0.0862387057191504,0.0170312188669644,-0.00980508056544021,0.080935091419761,0.19678110034461,-0.166305152354722,0.0948215313154802,0.0515481025161647,-0.287206942878978,-0.184184403588192,0.0155406604029162
"164_",0.489718962823351,-0.081469143711376,-0.0346162003475754,1,-0.334614952752979,-0.240277624062885,-0.0242283912094168,0.0386374964724095,0.6624371784236,0.7434610673008,-0.107784853774359,0.171121456171061,-0.104983942075676,0.0150920376620136,0.0189305523154741,0.00984181772231543,-0.0704527057197199,0.148586917022013,-0.253044807604088
"165_",0.488206819947262,-0.0960329725137309,-0.129432603634163,-0.334614952752978,1,-0.299831863561146,-0.072385277059343,0.170050543880531,0.534451928358103,0.192149505983799,0.0567988824955965,-0.13891515698547,0.339503861068033,0.109134701245712,0.0581486776131382,-0.0203067633789079,-0.0225245932572327,0.143040119140527,-0.19564504266131
"173_",0.813258267310746,0.676333465451515,0.105690144858999,-0.240277624062885,-0.299831863561146,1,-0.0802135904691643,-0.0185876120856704,-0.00727191415505414,0.27872043368138,0.322675258773729,-0.0465453942756038,0.0505320421978501,0.0214741429143977,0.0421517071387611,0.0487163594286939,-0.0745373470726506,0.189669089402382,-0.00743636793919551
"176_",0.169195437194204,-0.0755991413702843,0.538920250773811,-0.0242283912094168,-0.0723852770593431,-0.0802135904691643,1,-0.162491960070576,-0.107874894666902,0.0108861454151565,0.112809939160569,0.287884727667215,0.343886791231194,0.342838426880995,0.0499388279044854,-0.0184609099230284,0.0280493931774812,-0.14658669555703,-0.0294426808439208
"182_",-0.147108230000202,0.297073726999095,0.650929879601032,0.0386374964724095,0.170050543880531,-0.0185876120856704,-0.162491960070576,1,0.0648563211368098,-0.0335293695497448,-0.146582126931272,-0.134550809710963,-0.157521816654653,0.563665635368288,-0.115475426017275,-0.0787545022706891,0.183410585154212,0.0357319813697486,-0.0343789619659449
"184_",-0.143137574540281,0.0359679489367195,-0.0862387057191506,0.6624371784236,0.534451928358103,-0.00727191415505395,-0.107874894666902,0.0648563211368099,1,-0.427255348942179,0.250076699585565,-0.0596213838087306,0.00818627221696864,0.0217195417029746,-0.0710598807612664,0.223099841540737,-0.00261502068347815,-0.175536181627358,0.319317793739417
"187_",-0.328992384479416,0.118948233416889,0.0170312188669644,0.7434610673008,0.1921495059838,0.27872043368138,0.0108861454151565,-0.033529369549745,-0.427255348942179,1,-0.200901674082225,-0.142687269732046,0.0698412719687388,0.038006049657714,0.457313231726987,0.0462154046502893,0.139111444282624,-0.158293742575902,0.207416908206617
"188_",-0.0501262858843005,0.191310519485572,-0.00980508056543924,-0.107784853774358,0.0567988824955965,0.32267525877373,0.112809939160569,-0.146582126931273,0.250076699585564,-0.200901674082224,1,0.00347666613888192,-0.0177150587538878,0.0542374611290174,0.166605559564811,-0.017112344402272,-0.0470007083571606,-0.25950028601746,0.0422011801860285
"189_",0.0724856739188263,0.0174377263613045,0.080935091419761,0.171121456171061,-0.13891515698547,-0.0465453942756038,0.287884727667215,-0.134550809710963,-0.0596213838087305,-0.142687269732046,0.00347666613888229,1,-0.0517305438469093,0.0180970497257839,0.0634805739172587,0.467396751901928,0.570795602058164,-0.0528688468629751,-0.235179290050482
"190_",-0.0769047000360444,0.0613646175260993,0.19678110034461,-0.104983942075676,0.339503861068033,0.0505320421978501,0.343886791231195,-0.157521816654653,0.00818627221696856,0.0698412719687386,-0.0177150587538881,-0.0517305438469094,1,-0.0431699604123187,-0.074640500100528,0.471429035699379,-0.18501164801763,0.499796994616323,-0.0857318493950298
"195_",-0.00112004902468765,0.0161325012219536,-0.166305152354722,0.0150920376620135,0.109134701245712,0.0214741429143976,0.342838426880995,0.563665635368287,0.0217195417029747,0.0380060496577138,0.0542374611290175,0.018097049725784,-0.0431699604123187,1,-0.0984265088616328,-0.208941217053613,0.29556184749419,0.339666938457872,0.00898145217718133
"196_",-0.0564400260030389,-0.0739725500197723,0.0948215313154811,0.0189305523154739,0.0581486776131381,0.0421517071387614,0.0499388279044852,-0.115475426017276,-0.0710598807612655,0.457313231726988,0.166605559564815,0.0634805739172581,-0.0746405001005288,-0.098426508861633,1,-0.10562925320024,-0.13722054311011,0.139037662291765,0.070544927859822
"197_",-0.130281769865068,0.0344697517292998,0.0515481025161647,0.00984181772231553,-0.0203067633789079,0.048716359428694,-0.0184609099230285,-0.0787545022706891,0.223099841540736,0.0462154046502893,-0.0171123444022724,0.467396751901928,0.471429035699379,-0.208941217053613,-0.10562925320024,1,0.0152971038936525,-0.089095828529136,0.383495966687562
