"","139_","148_","154_","164_","165_","173_","176_","182_","184_","187_","188_","189_","190_","195_","196_","197_","199_","200_","201_"
"139_",1,-0.384588057180492,-0.113118670599946,0.334609909353213,0.277325273414876,0.497540127966851,0.209872584182336,-0.150711841455537,0.095477776703837,0.0641722304760312,0.149094577593177,0.0224093009432337,0.0117151564037104,0.0878510161238503,-0.247268272921538,-0.111996925777141,0.0125418685041985,-0.0772622318782884,-0.0751508470915803
"148_",-0.384588057180492,1,-0.263178811448141,-0.141220173564555,-0.116968254159595,0.518211067620508,-0.0890905939455829,0.321788188772422,-0.000991743016071449,0.184561092042129,0.132145622471841,0.0111978701107647,-0.00327206601948771,0.0528436694186411,-0.0530413066474962,0.0783822583498712,-0.0274049199531167,0.0589280536717458,-0.0675619463517287
"154_",-0.113118670599946,-0.263178811448141,1,-0.0197255286819656,-0.00218179340961543,-0.0982167831170324,0.435469565909234,0.650298408405887,-0.160873093945857,0.0982475364417531,0.283503064909216,0.112507553048439,0.195085048320238,-0.0672317967700805,-0.0705107898590123,0.0252382525812693,-0.098255991264754,-0.141498765794241,-0.0135150987204488
"164_",0.334609909353213,-0.141220173564555,-0.0197255286819656,1,-0.212917911481266,0.028850809059597,-0.088584637490197,0.0447033749215231,0.455946014273912,0.378676841142562,-0.188655857828466,0.184873968937652,-0.0860082105453014,-0.0615900716293964,0.185443690460205,0.0629503340932431,0.0670001232384059,-0.0658609371851624,-0.122938187265768
"165_",0.277325273414876,-0.116968254159595,-0.00218179340961559,-0.212917911481266,1,-0.143009322327181,0.0114643845596684,0.0734850624908459,0.408771190477044,0.146163551569148,-0.0191020023041685,-0.107671662711473,0.281131024454655,0.0289757647868672,0.110894356311513,0.0888109620034774,-0.166532070378812,0.267368545218087,-0.210897358917837
"173_",0.497540127966851,0.518211067620508,-0.0982167831170324,0.028850809059597,-0.143009322327181,1,0.00640179483945215,-0.0115281651422107,-0.0755211934562734,0.283080669254808,0.557400707199083,-0.0964557635090852,0.0340021937216701,0.192948905498822,-0.253891603642111,-0.070190958631289,0.0843400220399846,0.125008829057349,0.00351708934155962
"176_",0.209872584182336,-0.0890905939455827,0.435469565909234,-0.0885846374901971,0.0114643845596685,0.00640179483945212,1,-0.0976043197801117,-0.186008577059678,-0.0235865017034958,-0.0605201708081284,0.345151471654596,0.323578957279914,0.248402326282764,0.0493989959840122,0.0474999382984358,0.0658895452190761,-0.077674319781931,-0.0999000012307142
"182_",-0.150711841455537,0.321788188772422,0.650298408405887,0.0447033749215232,0.0734850624908459,-0.0115281651422107,-0.0976043197801118,1,0.0660603571508716,-0.0388937762545413,-0.119152369831287,-0.0499234536690108,-0.160774263036844,0.362870754078539,0.000529377016296032,-0.0746727538035548,0.13758660111813,0.154225833109949,-0.0503075025116779
"184_",0.0954777767038367,-0.000991743016071371,-0.160873093945857,0.455946014273912,0.408771190477044,-0.0755211934562734,-0.186008577059678,0.0660603571508716,1,-0.152908349914242,0.0339408499491291,0.114306137946662,0.00588732134874993,-0.0519099102385636,-0.118284438020945,0.315751960532337,0.0483903092580992,-0.00680261738669932,0.138075504303806
"187_",0.0641722304760313,0.184561092042129,0.0982475364417531,0.378676841142562,0.146163551569148,0.283080669254808,-0.0235865017034958,-0.0388937762545414,-0.152908349914242,1,-0.4057319312252,0.0295725720982473,-0.0697814059083181,-0.0493152841352491,0.750258694703359,-0.00939306701283393,0.127665532219157,-0.0664650196015653,0.144298237356134
"188_",0.149094577593176,0.132145622471841,0.283503064909216,-0.188655857828466,-0.0191020023041686,0.557400707199083,-0.0605201708081285,-0.119152369831287,0.0339408499491289,-0.4057319312252,1,0.143938564578225,-0.037170833863073,-0.289430307264479,0.592800920431483,0.122314737306228,-0.080367454720339,-0.0846393878866903,0.0812583138233431
"189_",0.0224093009432336,0.0111978701107648,0.112507553048439,0.184873968937653,-0.107671662711473,-0.0964557635090852,0.345151471654596,-0.0499234536690108,0.114306137946662,0.0295725720982473,0.143938564578225,1,-0.102548622977631,0.0803602712065734,-0.104283671702134,0.375927550390469,0.308892602545373,-0.165764918859348,-0.118478679619908
"190_",0.0117151564037105,-0.00327206601948767,0.195085048320238,-0.0860082105453013,0.281131024454656,0.0340021937216702,0.323578957279914,-0.160774263036844,0.00588732134875001,-0.069781405908318,-0.037170833863073,-0.102548622977631,1,-0.0136541572270262,0.0819237820794476,0.296169033590256,-0.162473288477063,0.422966035050102,0.0222525062611636
"195_",0.0878510161238504,0.052843669418641,-0.0672317967700806,-0.0615900716293964,0.0289757647868673,0.192948905498822,0.248402326282764,0.362870754078539,-0.0519099102385636,-0.0493152841352491,-0.289430307264479,0.0803602712065733,-0.0136541572270262,1,0.0505595511583358,-0.114815177612886,0.314954139531204,0.263160418754392,-0.0216226542820208
"196_",-0.247268272921538,-0.0530413066474963,-0.070510789859012,0.185443690460205,0.110894356311513,-0.253891603642111,0.0493989959840121,0.000529377016296028,-0.118284438020945,0.75025869470336,0.592800920431482,-0.104283671702134,0.0819237820794477,0.0505595511583357,1,-0.0308545859950189,-0.159752706427699,0.10858690561966,-0.112392969851801
"197_",-0.111996925777141,0.0783822583498712,0.0252382525812692,0.0629503340932431,0.0888109620034772,-0.0701909586312891,0.0474999382984358,-0.0746727538035549,0.315751960532337,-0.00939306701283399,0.122314737306228,0.375927550390469,0.296169033590256,-0.114815177612886,-0.0308545859950189,1,0.0682371545118179,0.0154328356909619,0.326711179505917
"199_",0.0125418685041985,-0.0274049199531166,-0.098255991264754,0.0670001232384059,-0.166532070378811,0.0843400220399845,0.065889545219076,0.13758660111813,0.0483903092580992,0.127665532219157,-0.080367454720339,0.308892602545373,-0.162473288477063,0.314954139531204,-0.159752706427699,0.0682371545118179,1,0.00615497892756869,0.353671043896648
"200_",-0.0772622318782884,0.0589280536717457,-0.141498765794241,-0.0658609371851623,0.267368545218087,0.125008829057349,-0.0776743197819309,0.154225833109949,-0.00680261738669937,-0.0664650196015653,-0.0846393878866903,-0.165764918859348,0.422966035050102,0.263160418754392,0.108586905619659,0.0154328356909619,0.00615497892756866,1,0.436185359127464
"201_",-0.0751508470915802,-0.0675619463517287,-0.0135150987204488,-0.122938187265768,-0.210897358917837,0.00351708934155974,-0.0999000012307139,-0.0503075025116779,0.138075504303806,0.144298237356134,0.081258313823343,-0.118478679619908,0.0222525062611636,-0.0216226542820207,-0.112392969851801,0.326711179505917,0.353671043896648,0.436185359127464,1
