Enzyme,start,end
,108,135
B4GALT1,108,139
MGAT3,108,148
FUT8,108,154
,135,164
,135,167
,135,174
B4GALT1,139,164
ST6GAL1,139,165
,139,172
,139,173
,139,176
,148,167
B4GALT1,148,173
,148,182
,154,174
B4GALT1,154,176
MGAT3,154,182
ST6GAL1,164,184
,164,186
,164,187
,164,189
B4GALT-TP,165,184
,165,190
,165,194
,167,187
,167,192
,172,186
,172,188
B4GALT1,173,187
ST6GAL1,173,188
,173,194
,173,195
,174,189
,174,192
B4GALT1,176,189
ST6GAL1,176,190
FP,176,195
,182,192
B4GALT1,182,195
,184,197
,184,198
,186,196
ST6GAL1,187,196
,187,198
,187,199
B4GALT-TP,188,196
ST6GAL1,189,197
FP,189,199
B4GALT-TP,190,197
FP,190,200
,192,199
,194,198
,194,200
B4GALT1,195,199
ST6GAL1,195,200
FP,197,201
,198,201
ST6GAL1,199,201
B4GALT-TP,200,201
