Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,5.69,5.78,5.52,5.31,5.39,4.57,4.58,5.36,4.0,3.92,4.34,4.61,4.42,3.82,4.22,3.66,3.74,4.15,3.52,3.5
sample_02,5.71,5.87,5.63,5.4,5.61,4.85,4.61,5.43,4.1,4.13,4.14,4.45,4.33,3.72,4.03,3.57,3.36,4.09,3.04,3.3
sample_03,5.44,5.78,5.73,5.06,5.42,4.87,4.55,5.66,4.07,4.21,3.89,4.55,4.66,2.89,4.0,3.69,3.56,4.45,3.37,3.44
sample_04,5.47,5.69,5.43,5.2,5.5,4.72,4.47,5.27,4.07,4.05,4.38,4.71,4.54,3.85,4.37,3.72,3.63,4.26,3.41,3.38
sample_05,5.56,5.76,5.4,5.23,5.44,4.6,4.58,5.22,4.09,3.97,4.84,4.98,4.62,4.18,4.42,3.72,3.81,4.35,3.3,3.07
sample_06,5.6,5.61,5.21,5.31,5.44,4.58,4.49,5.07,4.08,3.93,4.48,4.66,4.38,4.06,4.28,3.6,3.73,4.14,3.58,3.43
sample_07,5.76,5.73,5.33,5.52,5.47,4.57,4.61,5.18,4.11,3.85,4.48,4.67,4.35,4.04,4.24,3.67,3.74,4.05,3.47,3.37
sample_08,5.61,5.81,5.49,5.39,5.61,4.78,4.66,5.38,4.26,4.09,4.22,4.47,4.34,3.77,4.21,3.61,3.42,4.12,3.33,3.06
sample_09,5.53,5.6,5.26,5.41,5.42,4.56,4.55,5.19,4.09,3.98,4.47,4.65,4.39,4.17,4.38,3.76,3.71,4.2,3.46,3.42
sample_10,5.7,5.88,5.51,5.37,5.52,4.63,4.71,5.34,4.09,3.97,4.43,4.57,4.23,3.97,4.14,3.35,3.53,3.95,3.23,2.88
sample_11,5.96,5.84,5.46,5.52,5.43,4.51,4.7,5.32,4.04,3.89,4.53,4.66,4.36,3.75,4.13,3.54,3.78,4.09,3.08,3.13
sample_12,5.65,5.75,5.42,5.35,5.49,4.66,4.53,5.22,4.06,3.97,4.68,4.66,4.4,4.14,4.21,3.77,3.54,4.07,3.48,3.35
sample_13,5.67,5.85,5.45,5.26,5.44,4.55,4.72,5.3,4.06,3.95,4.63,4.73,4.33,4.04,4.17,3.52,3.62,4.05,3.36,3.18
sample_14,5.7,5.75,5.36,5.35,5.47,4.57,4.64,5.25,4.1,4.02,4.69,4.7,4.33,4.14,4.25,3.58,3.7,4.03,3.26,3.14
sample_15,5.51,5.67,5.34,5.26,5.41,4.63,4.55,5.22,4.07,3.92,4.62,4.88,4.58,4.2,4.44,3.74,3.68,4.29,3.49,3.37
sample_16,5.78,5.75,5.28,5.44,5.46,4.56,4.6,5.1,4.12,3.89,4.88,4.82,4.36,4.35,4.37,3.72,3.7,4.05,3.47,3.35
sample_17,5.75,5.8,5.39,5.49,5.49,4.58,4.74,5.3,4.18,4.01,4.5,4.63,4.37,3.98,4.16,3.66,3.68,4.17,3.34,3.37
sample_18,5.88,5.86,5.37,5.64,5.64,4.64,4.62,5.11,4.07,3.8,4.78,4.64,4.18,4.36,4.28,3.63,3.64,3.81,3.28,2.83
sample_19,5.55,5.68,5.35,5.23,5.53,4.76,4.52,5.21,4.16,4.1,4.59,4.68,4.45,4.06,4.23,3.72,3.62,4.18,3.3,3.19
sample_20,5.68,5.69,5.27,5.39,5.44,4.54,4.52,5.05,3.99,3.85,4.87,4.94,4.44,4.41,4.5,3.74,3.83,4.09,3.5,3.34
sample_21,5.6,5.79,5.43,5.27,5.54,4.78,4.67,5.36,4.26,4.17,4.32,4.61,4.36,3.91,4.27,3.74,3.63,4.13,3.26,3.28
sample_22,5.66,5.95,5.56,5.23,5.45,4.6,4.76,5.4,4.09,3.96,4.47,4.71,4.39,3.94,4.21,3.59,3.55,4.18,3.28,3.31
sample_23,5.9,5.91,5.51,5.48,5.48,4.61,4.71,5.3,4.05,3.74,4.62,4.66,4.35,4.2,4.18,3.4,3.63,4.04,3.16,3.02
sample_24,5.65,5.86,5.49,5.22,5.41,4.58,4.73,5.31,4.0,3.92,4.62,4.68,4.35,4.12,4.24,3.6,3.78,4.07,3.39,3.29
sample_25,5.75,5.8,5.4,5.45,5.49,4.6,4.64,5.2,4.06,3.88,4.7,4.68,4.28,4.2,4.27,3.57,3.53,3.92,3.21,2.96
sample_26,5.84,5.83,5.49,5.35,5.41,4.58,4.59,5.32,3.98,3.79,4.64,4.82,4.41,4.03,4.26,3.55,3.67,4.06,3.28,3.08
sample_27,5.65,5.89,5.58,5.25,5.43,4.63,4.66,5.41,4.03,3.92,4.46,4.65,4.46,3.96,4.14,3.55,3.5,4.13,3.33,3.16
sample_28,5.75,5.78,5.31,5.32,5.34,4.42,4.62,5.15,3.93,3.7,4.7,4.79,4.42,4.22,4.29,3.65,3.79,4.1,3.37,3.23
sample_29,5.94,5.87,5.34,5.4,5.41,4.41,4.74,5.18,3.98,3.75,4.75,4.79,4.35,4.18,4.27,3.66,3.76,4.1,3.32,3.51
sample_30,5.62,5.77,5.5,5.24,5.38,4.65,4.59,5.42,4.08,3.97,4.01,4.32,4.28,3.44,3.83,3.47,3.56,4.15,3.39,3.31
sample_31,5.7,5.74,5.3,5.45,5.52,4.58,4.53,5.09,4.05,3.94,4.8,4.82,4.48,4.48,4.46,3.74,3.68,4.1,3.37,3.33
sample_32,5.6,5.81,5.61,5.19,5.41,4.71,4.59,5.54,4.03,4.02,4.36,4.67,4.56,3.72,4.11,3.59,3.6,4.29,3.13,3.31
sample_33,5.75,5.86,5.6,5.27,5.39,4.61,4.58,5.32,3.97,3.8,4.44,4.78,4.67,3.89,4.15,3.71,3.71,4.28,3.35,3.45
sample_34,5.96,5.91,5.42,5.35,5.33,4.34,4.75,5.25,3.96,3.73,4.71,4.73,4.43,3.97,4.03,3.5,3.8,4.13,3.31,3.45
sample_35,5.53,5.69,5.3,5.27,5.5,4.64,4.49,5.09,4.08,3.98,4.59,4.74,4.45,4.25,4.4,3.74,3.57,4.07,3.18,3.31
sample_36,5.67,5.89,5.57,5.12,5.42,4.63,4.7,5.45,4.07,3.96,4.33,4.64,4.48,3.69,4.17,3.66,3.61,4.27,3.42,3.34
sample_37,5.59,5.69,5.44,5.35,5.52,4.73,4.49,5.3,4.08,4.05,4.55,4.59,4.47,4.2,4.27,3.63,3.54,4.13,3.28,3.35
sample_38,5.51,5.71,5.36,5.28,5.49,4.63,4.48,5.18,4.0,3.94,4.71,4.87,4.51,4.26,4.46,3.75,3.74,4.18,3.33,3.2
sample_39,5.78,5.86,5.38,5.38,5.52,4.6,4.6,5.13,4.01,3.85,4.68,4.75,4.37,4.16,4.29,3.6,3.7,3.96,3.27,3.4
sample_40,5.81,6.01,5.66,5.18,5.43,4.61,4.72,5.48,3.93,3.8,4.42,4.72,4.42,3.72,4.03,3.62,3.78,4.11,3.48,3.13
sample_41,5.66,5.85,5.53,5.14,5.47,4.71,4.72,5.44,4.11,4.14,4.29,4.56,4.36,3.52,4.08,3.52,3.61,4.1,3.39,3.32
sample_42,5.62,5.81,5.53,5.2,5.48,4.75,4.62,5.46,4.04,3.96,4.28,4.62,4.46,3.58,4.1,3.59,3.46,4.16,2.95,2.73
sample_43,5.57,5.88,5.7,5.2,5.53,4.83,4.57,5.51,4.03,4.09,4.1,4.58,4.59,3.31,4.16,3.74,3.69,4.31,3.51,3.38
sample_44,5.29,5.65,5.49,4.93,5.35,4.71,4.45,5.41,3.99,4.06,4.14,4.71,4.66,3.52,4.21,3.79,3.56,4.37,3.43,3.41
