"type","reaction","group","ppcor","igg","truth","enzyme"
"51","motif","G1_G1S","k_2010_group_1",0.293573056073192,"1","T","ST6GAL1"
"189","motif","G2_G2S","k_2010_group_1",0.430642216503385,"1","T","ST6GAL1"
"229","motif","G1S_G2S","k_2010_group_1",0.445624567281693,"1","T","B4GALT"
"273","motif","G1N_G1NS","k_2010_group_1",0.520850395989394,"1","T","ST6GAL1"
"321","motif","G1F_G1FS","k_2010_group_1",0.294679300159601,"1","T","ST6GAL1"
"461","motif","G2N_G2NS","k_2010_group_1",0.622189403080223,"1","T","ST6GAL1"
"501","motif","G1NS_G2NS","k_2010_group_1",0.737983903854979,"1","T","B4GALT"
"549","motif","G2F_G2FS","k_2010_group_1",0.356073610148081,"1","T","ST6GAL1"
"599","motif","G1FS_G2FS","k_2010_group_1",0.313616101777226,"1","T","B4GALT"
"655","motif","G1FN_G1FNS","k_2010_group_1",0.20203732612991,"1","T","ST6GAL1"
"798","motif","G2FN_G2FNS","k_2010_group_1",0.334252160481342,"1","T","ST6GAL1"
"848","motif","G1FNS_G2FNS","k_2010_group_1",0.446603359653643,"1","T","B4GALT"
"952","motif","G1_G1S","k_2010_group_2",0.3395440751038,"2","T","ST6GAL1"
"1090","motif","G2_G2S","k_2010_group_2",0.471927350969453,"2","T","ST6GAL1"
"1130","motif","G1S_G2S","k_2010_group_2",0.672737731833869,"2","T","B4GALT"
"1174","motif","G1N_G1NS","k_2010_group_2",0.464284711794224,"2","T","ST6GAL1"
"1222","motif","G1F_G1FS","k_2010_group_2",0.344462679259585,"2","T","ST6GAL1"
"1362","motif","G2N_G2NS","k_2010_group_2",0.594131604715705,"2","T","ST6GAL1"
"1402","motif","G1NS_G2NS","k_2010_group_2",0.54769997379314,"2","T","B4GALT"
"1450","motif","G2F_G2FS","k_2010_group_2",0.384465491221873,"2","T","ST6GAL1"
"1500","motif","G1FS_G2FS","k_2010_group_2",0.457478995679595,"2","T","B4GALT"
"1556","motif","G1FN_G1FNS","k_2010_group_2",0.329090075548398,"2","T","ST6GAL1"
"1699","motif","G2FN_G2FNS","k_2010_group_2",0.431107169790956,"2","T","ST6GAL1"
"1749","motif","G1FNS_G2FNS","k_2010_group_2",0.341012339699201,"2","T","B4GALT"
"2123","motif","G1F_G1FS","k_2010_group_4",0.347178278068289,"4","T","ST6GAL1"
"2351","motif","G2F_G2FS","k_2010_group_4",0.585182984160893,"4","T","ST6GAL1"
"2401","motif","G1FS_G2FS","k_2010_group_4",0.517259932269528,"4","T","B4GALT"
"2457","motif","G1FN_G1FNS","k_2010_group_4",0.361969221470281,"4","T","ST6GAL1"
"2600","motif","G2FN_G2FNS","k_2010_group_4",0.553741071767867,"4","T","ST6GAL1"
"2650","motif","G1FNS_G2FNS","k_2010_group_4",0.453955904987803,"4","T","B4GALT"
"2751","motif","G1_G1S","k_2013_group_1",0.346277402510074,"1","T","ST6GAL1"
"2889","motif","G2_G2S","k_2013_group_1",0.664563553557566,"1","T","ST6GAL1"
"2929","motif","G1S_G2S","k_2013_group_1",0.413925881054465,"1","T","B4GALT"
"2973","motif","G1N_G1NS","k_2013_group_1",0.527385852184821,"1","T","ST6GAL1"
"3021","motif","G1F_G1FS","k_2013_group_1",0.32926919594198,"1","T","ST6GAL1"
"3161","motif","G2N_G2NS","k_2013_group_1",0.605446961973303,"1","T","ST6GAL1"
"3201","motif","G1NS_G2NS","k_2013_group_1",0.805501951086658,"1","T","B4GALT"
"3249","motif","G2F_G2FS","k_2013_group_1",0.5042754284199,"1","T","ST6GAL1"
"3299","motif","G1FS_G2FS","k_2013_group_1",0.323679590071823,"1","T","B4GALT"
"3355","motif","G1FN_G1FNS","k_2013_group_1",0.300333167525969,"1","T","ST6GAL1"
"3498","motif","G2FN_G2FNS","k_2013_group_1",0.466080868721455,"1","T","ST6GAL1"
"3548","motif","G1FNS_G2FNS","k_2013_group_1",0.544192825826313,"1","T","B4GALT"
"3652","motif","G1_G1S","k_2013_group_2",0.488206819947262,"2","T","ST6GAL1"
"3790","motif","G2_G2S","k_2013_group_2",0.6624371784236,"2","T","ST6GAL1"
"3830","motif","G1S_G2S","k_2013_group_2",0.534451928358103,"2","T","B4GALT"
"3874","motif","G1N_G1NS","k_2013_group_2",0.322675258773729,"2","T","ST6GAL1"
"3922","motif","G1F_G1FS","k_2013_group_2",0.343886791231194,"2","T","ST6GAL1"
"4062","motif","G2N_G2NS","k_2013_group_2",0.457313231726987,"2","T","ST6GAL1"
"4102","motif","G1NS_G2NS","k_2013_group_2",0.166605559564811,"2","T","B4GALT"
"4150","motif","G2F_G2FS","k_2013_group_2",0.467396751901928,"2","T","ST6GAL1"
"4200","motif","G1FS_G2FS","k_2013_group_2",0.471429035699379,"2","T","B4GALT"
"4256","motif","G1FN_G1FNS","k_2013_group_2",0.339666938457872,"2","T","ST6GAL1"
"4399","motif","G2FN_G2FNS","k_2013_group_2",0.426048152347614,"2","T","ST6GAL1"
"4449","motif","G1FNS_G2FNS","k_2013_group_2",0.445372426738973,"2","T","B4GALT"
