"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.569632664488471,-0.275907386060549,0.661144940385899,-0.351440372268892,-0.148907672392958,-0.154812980401016,-0.0539094112402953,0.00699251105727107,-0.0720299942948004
"176_",0.569632664488472,1,0.729565539327954,-0.367879278571467,0.274189257964741,-0.234232717963564,0.607345217926143,-0.390828069450461,0.0136716545382911,-0.0701898121436062
"189_",-0.275907386060549,0.729565539327955,1,0.0396791159783524,-0.206424199399564,0.25952301162303,-0.586433237094883,0.631176939303546,-0.228452668419807,-0.0422943598883875
"182_",0.661144940385899,-0.367879278571467,0.0396791159783525,1,0.443333699024642,-0.147299204614575,0.00240913154998656,0.00383120238445372,-0.00261314316030242,-0.0451279621785201
"195_",-0.351440372268891,0.274189257964741,-0.206424199399564,0.443333699024642,1,0.536486950125372,-0.0772103361881403,-0.271311693023548,-0.107524096114761,-0.13327222778545
"199_",-0.148907672392959,-0.234232717963564,0.25952301162303,-0.147299204614575,0.536486950125371,1,-0.050462875582731,0.07079880337743,0.102775976470237,0.0883322865788849
"190_",-0.154812980401016,0.607345217926142,-0.586433237094883,0.00240913154998669,-0.0772103361881396,-0.0504628755827313,1,0.548723111093604,-0.0453912286902856,-0.170917172123396
"197_",-0.053909411240296,-0.390828069450461,0.631176939303545,0.00383120238445218,-0.271311693023548,0.0707988033774294,0.548723111093604,1,-0.0468264206854771,0.0877184471601707
"200_",0.00699251105727098,0.0136716545382912,-0.228452668419807,-0.00261314316030323,-0.107524096114758,0.102775976470237,-0.045391228690284,-0.0468264206854778,1,0.411506596040734
"201_",-0.0720299942948006,-0.0701898121436057,-0.0422943598883875,-0.0451279621785199,-0.133272227785451,0.0883322865788841,-0.170917172123396,0.0877184471601707,0.411506596040732,1
