"","139_","148_","154_","164_","165_","173_","176_","182_","184_","187_","188_","189_","190_","195_","196_","197_","199_","200_","201_"
"139_",1,-0.538430497700632,-0.144677428633514,0.395451841408467,0.479998762575586,0.618621560598374,0.221224301413755,-0.110260973768036,-0.0807727146650704,-0.104804570093305,0.0537090368922154,0.0589858462253467,-0.0787839684017383,0.0648797841087598,-0.133031216493556,-0.0869767102342687,-0.0100500307688836,-0.166403061679098,0.0247068735560301
"148_",-0.538430497700632,1,-0.319891065832155,-0.100271823452812,-0.0499077823252189,0.590782707083498,-0.0112263190730056,0.307783101760264,0.0347627869159777,0.140574648559081,0.0472828704291647,0.080556825864787,0.0519257253076133,-0.015213428102009,-0.107263595106003,0.100974723289774,-0.0622083564715315,-0.0457400329479558,-0.0867714165453973
"154_",-0.144677428633513,-0.319891065832155,1,0.0327063712370502,-0.0941682683621176,-0.0686706278960517,0.505195713500332,0.779704669362265,-0.0842696980845999,0.163937416446963,0.263283356958947,0.0433243436712262,0.240521755062405,-0.150791376367007,-0.104491432259523,-0.02281012919859,-0.182186339293298,-0.20824706021477,0.0537852349869184
"164_",0.395451841408467,-0.100271823452812,0.0327063712370502,1,-0.343322077005793,-0.118905742944761,-0.076575445153065,0.0461932618009609,0.682306305134967,0.552056866087962,-0.156858039057141,0.287194976656419,-0.123133147859829,-0.131096928537695,0.083197255021385,-0.0407043736706881,0.0215561639375925,0.170963635267701,-0.282937065626416
"165_",0.479998762575586,-0.0499077823252191,-0.0941682683621176,-0.343322077005792,1,-0.267261013858856,-0.0915249917402384,0.146612854517921,0.385755199362611,0.203083515068471,0.165363830460617,-0.139089854382651,0.368948013992185,0.00911330338870593,-0.0310274104229002,0.0982708734202633,-0.0737042053130933,0.155127512182205,-0.119466570168395
"173_",0.618621560598374,0.590782707083498,-0.0686706278960517,-0.118905742944761,-0.267261013858856,1,-0.0400363102152045,0.0209139200889264,0.0305138837479921,0.41175153317372,0.560627666845487,-0.181733168484336,0.0727501235330775,0.259402298353308,-0.304030256382697,0.0112900004852329,0.0148022971649038,0.0965937667235384,-0.070047349569778
"176_",0.221224301413755,-0.0112263190730057,0.505195713500332,-0.076575445153065,-0.0915249917402384,-0.0400363102152045,1,-0.267794538098539,-0.15587375427018,-0.0411198311026334,-0.0531303961552279,0.338278209521506,0.377782105770062,0.362726069670679,0.0479334838849433,0.0040516505417694,0.0423738761370132,-0.12111807158759,-0.0761556333132191
"182_",-0.110260973768036,0.307783101760263,0.779704669362265,0.0461932618009608,0.146612854517921,0.0209139200889266,-0.267794538098539,1,0.0633921905929851,-0.0758182593746378,-0.117939250883322,-0.0784351272356141,-0.209216353765055,0.409543942277391,0.0290644657986535,-0.0159368802915637,0.138950627884036,0.147784482900221,-0.0689761125774925
"184_",-0.0807727146650703,0.0347627869159769,-0.0842696980845999,0.682306305134968,0.385755199362611,0.030513883747992,-0.15587375427018,0.0633921905929854,1,-0.346922906221406,0.0102251053437104,-0.123925784948704,0.0933765786650881,0.0401538009543225,-0.0760841901014615,0.330109302300077,0.0308193447222128,-0.126811292762559,0.173438349942086
"187_",-0.104804570093305,0.140574648559081,0.163937416446963,0.552056866087962,0.203083515068471,0.41175153317372,-0.0411198311026334,-0.0758182593746378,-0.346922906221406,1,-0.410169192286127,-0.0319490840680689,-0.0202439558540903,-0.114550527419483,0.646875996662967,-0.0123851537731223,0.157521401903381,-0.0917272688490367,0.276659897255518
