"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.368289784248282,-0.0637957572780133,0.769211884275279,-0.228062537543099,-0.0384123175492033,0.109530445339401,-0.068130619099669,-0.052219756315502,0.0387429643064944,0.179162323792091,-0.0657387647846754,0.157761520669247,-0.271795541474271,-0.0173902161311596,-0.0227289757003908,0.0463010112799623,-0.0947999417475398,0.0329197895499371,-0.00986346159441679
"176_",0.368289784248283,1,0.652029539304559,-0.285775501890859,0.393609113532711,-0.182920167814351,0.60143500091129,-0.243234516260156,-0.178510945713474,-0.134531288191148,-0.0494922907408838,0.0159481329945621,-0.0907606290619108,0.0267590166271427,0.0274822028111271,-0.00988384418444829,0.248811433025808,-0.0582843433437134,-0.0127652092144614,-0.0319972863551304
"189_",-0.0637957572780135,0.652029539304559,1,0.0427891895566092,-0.0979889048238423,0.410908600861697,-0.388785932028733,0.612370123791594,-0.216627210170438,-0.0938435090934694,-0.0108821424446263,0.087944641655562,0.111227566404286,0.0313757590749306,-0.184728233273705,0.0137291462563668,-0.106462030196026,-0.0617124620284915,0.109180394012196,0.117623800206318
"182_",0.769211884275279,-0.285775501890859,0.0427891895566094,1,0.409291062650666,-0.0967211831057409,-0.119485939516224,0.0432690582985514,0.0881576321093465,-0.116733846952897,-0.112842664149227,-0.0582285001460119,0.00240187976696518,0.311198426124569,-0.0678271826213322,-0.014037924195388,0.00582111907332686,-0.0395888851045206,-0.0269819965992398,-0.0179880237167963
"195_",-0.228062537543099,0.393609113532711,-0.0979889048238424,0.409291062650666,1,0.604091305600857,0.0214354322154156,-0.305411986040148,0.255716804880279,0.175290072056973,0.0578292769736615,-0.0161058838563878,-0.0505780351873604,-0.0631721712411184,0.123645521272338,-0.0303795473342401,-0.0395718574946733,-0.0565369036354984,-0.00917789981175131,-0.188887644784222
"199_",-0.0384123175492035,-0.182920167814351,0.410908600861697,-0.0967211831057407,0.604091305600857,1,-0.249029700032949,0.102413344269776,0.132664426700371,0.143095729826887,-0.0489867461605178,-0.0776867122979265,0.086599905995481,-0.109096055381867,0.0938555798181386,0.156513810871065,-0.105892147308235,-0.06077065230255,-0.110551415825877,-0.0533805101962008
"190_",0.109530445339401,0.601435000911289,-0.388785932028733,-0.119485939516225,0.0214354322154156,-0.249029700032949,1,0.475959425344808,0.449545057279251,-0.01045899255337,-0.00826349996525935,0.110352127199685,0.040847252687936,0.00868576260538301,-0.0908114525451278,0.0581390755129779,-0.162908519910167,-0.0997704224225239,-0.0417541359695331,-0.0751199546827742
"197_",-0.0681306190996692,-0.243234516260156,0.612370123791595,0.0432690582985513,-0.305411986040148,0.102413344269776,0.475959425344807,1,0.114782967473052,0.275970364823074,0.00178365716576457,-0.101217127799944,-0.0912160262528674,-0.0170518439875816,-0.00976752992308792,-0.127851788788426,0.115078142934555,0.363308227157947,-0.0872091467803168,-0.124832607086079
"200_",-0.0522197563155023,-0.178510945713474,-0.216627210170438,0.0881576321093467,0.255716804880279,0.132664426700371,0.449545057279251,0.114782967473052,1,0.332414796893723,-0.0138499593230503,-0.0358291802246469,-0.0816198739895436,0.00559937551863442,0.0377181484851537,-0.0810261053080261,0.254671352368976,0.0214714674851336,0.0687148033564171,0.239416915387324
"201_",0.0387429643064946,-0.134531288191148,-0.0938435090934695,-0.116733846952898,0.175290072056973,0.143095729826887,-0.01045899255337,0.275970364823075,0.332414796893722,1,-0.0503618498692252,-0.0195326220378481,-0.0337609909901301,0.0174031390682811,0.0225328877654128,-0.0181228084764876,-0.211471597399783,0.03942103071784,0.137615596187283,0.0123496886161726
