Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,5.86,5.82,5.51,5.35,5.12,4.52,5.12,5.41,3.7,3.87,4.28,4.54,4.39,3.7,4.02,3.71,3.86,4.15,3.27,3.51
sample_02,5.81,5.87,5.57,5.39,5.18,4.78,5.17,5.45,3.9,4.09,3.71,3.97,3.87,3.22,3.56,3.57,3.63,3.82,3.57,3.48
sample_03,5.59,5.79,5.61,5.11,5.07,4.77,5.16,5.58,3.94,4.13,3.74,4.2,4.24,3.16,3.67,3.66,3.76,4.16,3.5,3.61
sample_04,5.81,5.76,5.37,5.47,5.18,4.7,5.1,5.28,3.88,4.05,4.23,4.44,4.18,3.83,4.05,3.71,3.87,4.1,3.58,3.37
sample_05,5.84,5.73,5.34,5.44,5.13,4.48,5.11,5.29,3.8,3.89,4.55,4.63,4.34,4.0,4.04,3.74,3.95,4.17,3.54,3.36
sample_06,5.98,5.81,5.38,5.48,5.23,4.52,5.04,5.17,3.82,3.95,4.47,4.45,4.2,3.78,3.93,3.76,3.78,4.0,3.61,3.42
sample_07,6.01,5.82,5.31,5.68,5.28,4.53,5.13,5.12,3.93,3.88,4.22,4.28,3.94,3.77,3.96,3.84,3.82,3.8,3.74,3.53
sample_08,5.83,5.82,5.42,5.55,5.23,4.72,5.23,5.44,3.95,4.12,4.08,4.25,4.1,3.66,3.83,3.71,3.5,3.93,3.51,3.33
sample_09,5.95,5.68,5.24,5.65,5.2,4.52,5.09,5.25,3.83,3.94,4.44,4.46,4.18,4.13,4.11,3.76,3.86,3.99,2.97,3.39
sample_10,5.87,5.86,5.44,5.38,5.16,4.54,5.22,5.36,3.85,3.95,4.01,4.12,3.98,3.53,3.7,3.68,3.66,3.84,3.6,3.43
sample_11,6.11,5.84,5.33,5.56,5.29,4.45,5.1,5.16,3.87,3.84,4.4,4.45,4.18,3.66,3.91,3.79,3.97,4.06,3.24,3.47
sample_12,5.89,5.84,5.46,5.52,5.22,4.66,5.11,5.33,3.87,4.04,4.18,4.18,4.03,3.6,3.72,3.65,3.6,3.77,3.59,3.41
sample_13,5.89,5.88,5.42,5.43,5.2,4.56,5.18,5.33,3.81,4.02,4.24,4.34,4.06,3.64,3.81,3.64,3.67,3.8,3.51,3.42
sample_14,5.92,5.8,5.31,5.47,5.21,4.54,5.15,5.23,3.8,3.99,4.4,4.45,4.22,3.85,3.99,3.65,3.71,4.04,3.36,3.23
sample_15,5.7,5.68,5.29,5.36,5.07,4.55,5.06,5.29,3.82,3.94,4.67,4.76,4.4,4.11,4.14,3.71,3.99,4.21,3.45,3.4
sample_16,5.86,5.77,5.33,5.44,5.18,4.53,5.1,5.2,3.87,3.93,4.45,4.46,4.2,3.96,4.0,3.75,3.88,3.99,3.49,3.34
sample_17,5.89,5.77,5.27,5.46,5.16,4.42,5.16,5.22,3.82,3.84,4.25,4.45,4.43,3.65,4.06,3.86,3.82,4.27,3.47,3.41
sample_18,6.08,5.88,5.34,5.66,5.34,4.5,5.09,5.09,3.86,3.86,4.62,4.41,4.0,4.26,4.0,3.8,3.82,3.81,3.58,3.39
sample_19,5.88,5.82,5.39,5.4,5.2,4.58,5.05,5.3,3.81,3.92,4.28,4.47,4.31,3.69,3.87,3.76,3.82,4.14,3.09,3.33
sample_20,5.97,5.81,5.3,5.57,5.26,4.55,5.08,5.13,3.81,3.86,4.52,4.49,4.1,4.03,3.98,3.75,3.85,3.86,3.65,3.38
sample_21,5.72,5.68,5.25,5.41,5.18,4.66,5.08,5.3,4.01,4.12,4.23,4.53,4.38,3.69,4.05,3.78,3.62,4.07,3.15,3.32
sample_22,5.89,5.89,5.45,5.39,5.2,4.54,5.22,5.34,3.92,3.92,3.97,4.15,4.06,3.3,3.78,3.7,3.54,3.8,3.7,3.49
sample_23,5.88,5.82,5.43,5.4,5.16,4.53,5.15,5.34,3.79,3.95,4.3,4.31,4.05,3.7,3.85,3.7,3.8,3.89,3.39,3.48
sample_24,5.91,5.91,5.43,5.37,5.17,4.5,5.24,5.31,3.91,3.9,4.23,4.23,4.03,3.76,3.81,3.69,3.73,3.89,3.57,3.53
sample_25,5.86,5.73,5.3,5.53,5.17,4.53,5.06,5.23,3.87,3.97,4.46,4.48,4.17,4.08,4.02,3.69,3.71,4.04,3.38,3.3
sample_26,5.92,5.78,5.38,5.3,5.15,4.46,5.09,5.26,3.76,3.82,4.63,4.64,4.25,3.89,3.91,3.71,3.84,3.99,3.48,3.43
sample_27,5.75,5.84,5.53,5.21,5.08,4.56,5.24,5.49,3.82,3.93,4.21,4.39,4.26,3.54,3.81,3.72,3.76,4.08,3.57,3.45
sample_28,6.06,5.81,5.27,5.58,5.26,4.38,5.16,5.18,3.93,3.88,4.49,4.45,4.16,4.1,3.95,3.81,3.81,3.91,3.62,3.42
sample_29,6.17,5.87,5.35,5.5,5.33,4.4,5.23,5.3,3.8,3.86,4.45,4.48,4.13,3.76,3.89,4.05,3.74,3.82,3.63,3.29
sample_30,5.85,5.78,5.46,5.37,5.15,4.63,5.19,5.45,3.89,4.02,3.85,4.08,4.04,3.4,3.67,3.62,3.72,3.97,3.59,3.5
sample_31,5.91,5.81,5.35,5.49,5.21,4.46,5.08,5.18,3.73,3.86,4.59,4.55,4.3,4.07,3.99,3.7,3.77,3.95,3.37,3.24
sample_32,5.7,5.79,5.6,5.19,5.1,4.7,5.17,5.59,3.86,4.07,4.21,4.45,4.31,3.48,3.84,3.65,3.89,4.13,2.77,3.52
sample_33,5.86,5.8,5.5,5.37,5.12,4.55,5.08,5.35,3.81,3.93,4.16,4.35,4.29,3.65,3.86,3.74,3.78,4.12,3.47,3.44
sample_34,6.02,5.76,5.25,5.35,5.17,4.15,5.11,5.22,3.61,3.73,4.56,4.59,4.35,3.63,3.87,3.81,3.85,4.57,3.49,3.51
sample_35,5.6,5.63,5.24,5.34,5.06,4.56,4.92,5.09,3.8,3.94,4.68,4.61,4.21,4.41,4.25,3.69,3.9,4.01,3.28,3.17
sample_36,5.73,5.8,5.48,5.19,5.06,4.59,5.14,5.43,3.71,3.96,4.31,4.52,4.3,3.73,3.91,3.58,3.86,4.12,3.36,3.37
sample_37,5.69,5.74,5.51,5.39,5.16,4.78,5.07,5.42,3.85,4.1,4.09,4.32,4.26,3.64,3.95,3.67,3.73,4.12,3.45,3.43
sample_38,5.84,5.8,5.29,5.47,5.17,4.5,5.03,5.11,3.8,3.9,4.66,4.6,4.24,4.07,4.0,3.69,3.88,3.99,3.29,3.41
sample_39,5.96,5.9,5.4,5.51,5.28,4.54,5.14,5.2,3.84,3.93,4.39,4.33,4.03,3.84,3.86,3.68,3.8,3.75,3.5,3.3
sample_40,6.06,5.98,5.5,5.34,5.26,4.47,5.2,5.27,3.84,3.9,4.21,4.37,4.14,3.51,3.78,3.77,3.86,3.88,3.28,3.54
sample_41,5.84,5.86,5.48,5.22,5.16,4.62,5.22,5.44,3.85,4.0,3.82,4.06,3.94,3.14,3.63,3.71,3.6,3.89,3.59,3.45
