Unnamed: 0,m/z,Composition,Glycan Structure,Name,Glycoprofiles
0,384,Hex(1)HexNAc(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
",384,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P5TA_AS', 'P8H', 'P10H']"
1,425,HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
",425_1,"['P1TI', 'P2TS', 'P6TA_FS', 'P5TA_AS', 'P10H']"
2,425,HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:a_dgal_HEX_x:x
4s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
",425_2,"['P1TS', 'P6TA_FS', 'P5TA_AS', 'P8H', 'P10H']"
3,513,NeuAc(1)HexNAc(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
4s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(6+2)3d
3:3d(5+1)4n
",513,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P5TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
4,530,Hex(1)HexNAc(1)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
",530,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P5TA_AG', 'P7TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
5,587,Hex(1)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
",587_1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P7TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
6,587,Hex(1)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dglc_HEX_x:x
5s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
",587_2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
7,587,Hex(1)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
",587_3,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P5TA_AS', 'P5TA_AG', 'P8H', 'P10H']"
8,587,Hex(1)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
",587_4,"['P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P5TA_AS', 'P5TA_AG', 'P8H']"
9,628,HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dgal_HEX_x:x
6s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
",628,"['P1TS', 'P1TI', 'P2TS', 'P6TA_FS', 'P8H']"
10,667,Hex(1)HexNAc(2)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(6+1)6n
",667_1,"['P1TS', 'P1TI', 'P2TS', 'P4TS']"
11,667,Hex(1)HexNAc(2)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dgal_HEX_x:x
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:3o(6+1)6n
",667_2,"['P1TS', 'P4TS']"
12,675,NeuAc(2)Hex(1)HexNAc(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+2)4d
4:4d(5+1)5n
",675_1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
13,675,NeuAc(2)Hex(1)HexNAc(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
",675_2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
