,GM3,GM2,GD3,GD2,GD1a,GD1b,GT3,GT1b,GQ1b
A.Retina,0.05,0.03,0.06,0.01,0.03,0.01,0.04,0.02,0.0
A.Brain,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.01,0.0
A.RPE/Choroid,0.19,0.0,0.2,0.0,0.04,0.01,0.0,0.01,0.0
A.Ciliary Body,0.17,0.26,0.23,0.28,0.17,0.2,0.0,0.16,0.2
A.Optic Nerve,0.08,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0
A.Plasma,0.37,0.25,0.39,0.0,0.39,0.04,0.0,0.11,0.0
B.Retina,0.61,0.95,0.54,0.96,0.87,0.9,0.34,0.85,0.85
B.Brain,0.71,0.91,0.84,0.95,0.89,0.92,0.98,0.96,0.93
B.RPE/Choroid,0.26,0.0,0.24,0.0,0.16,0.86,0.0,0.76,1.0
B.Ciliary Body,0.17,0.41,0.18,0.66,0.28,0.7,0.0,0.54,0.69
B.Optic Nerve,0.17,0.81,0.31,1.0,0.38,0.69,0.0,0.57,0.74
B.Plasma,0.14,0.32,0.1,0.0,0.38,0.84,0.0,0.6,0.0
C.Retina,0.85,0.99,0.87,0.99,0.93,0.98,0.81,0.96,0.97
C.Brain,0.84,0.96,0.91,0.98,0.93,0.97,0.98,0.98,0.97
C.RPE/Choroid,0.69,0.0,0.7,0.0,0.65,0.96,0.0,0.93,1.0
C.Ciliary Body,0.65,0.83,0.71,0.97,0.69,0.95,0.0,0.85,0.98
C.Optic Nerve,0.61,0.89,0.7,1.0,0.68,0.94,0.0,0.9,0.97
C.Plasma,0.72,0.71,0.67,0.0,0.84,0.95,0.0,0.85,0.0
D.Retina,0.21,0.01,0.32,0.02,0.03,0.07,0.54,0.11,0.13
D.Brain,0.19,0.02,0.1,0.03,0.05,0.05,0.0,0.01,0.04
D.RPE/Choroid,0.43,0.0,0.46,0.0,0.75,0.12,0.0,0.21,0.0
D.Ciliary Body,0.46,0.3,0.41,0.06,0.42,0.08,0.0,0.25,0.1
D.Optic Nerve,0.6,0.15,0.53,0.0,0.33,0.27,0.0,0.35,0.26
D.Plasma,0.27,0.27,0.3,0.0,0.08,0.1,0.0,0.24,0.0
E.Retina,0.15,0.01,0.13,0.01,0.07,0.02,0.19,0.04,0.03
E.Brain,0.16,0.04,0.09,0.02,0.07,0.03,0.02,0.02,0.03
E.RPE/Choroid,0.31,0.0,0.3,0.0,0.35,0.04,0.0,0.07,0.0
E.Ciliary Body,0.35,0.17,0.29,0.03,0.31,0.05,0.0,0.15,0.01
E.Optic Nerve,0.39,0.11,0.3,0.0,0.32,0.06,0.0,0.1,0.03
E.Plasma,0.28,0.29,0.33,0.0,0.16,0.05,0.0,0.15,0.0
F.Retina,0.05,0.03,0.06,0.01,0.03,0.01,0.04,0.02,0.0
F.Brain,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.01,0.0
F.RPE/Choroid,0.2,0.0,0.21,0.0,0.04,0.01,0.0,0.01,0.0
F.Ciliary Body,0.19,0.26,0.25,0.28,0.18,0.2,0.0,0.16,0.2
F.Optic Nerve,0.08,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0
F.Plasma,0.44,0.27,0.48,0.0,0.46,0.05,0.0,0.11,0.0
G.Retina,0.1,0.0,0.18,0.0,0.01,0.01,0.31,0.03,0.03
G.Brain,0.17,0.01,0.08,0.01,0.01,0.01,0.0,0.01,0.0
G.RPE/Choroid,0.37,0.0,0.39,0.0,0.65,0.06,0.0,0.11,0.0
G.Ciliary Body,0.37,0.23,0.29,0.04,0.37,0.06,0.0,0.21,0.06
G.Optic Nerve,0.56,0.15,0.43,0.0,0.23,0.12,0.0,0.21,0.07
G.Plasma,0.21,0.22,0.3,0.0,0.07,0.05,0.0,0.2,0.0
