,A.Retina,A.Brain,A.RPE/Choroid,A.Ciliary Body,A.Optic Nerve,A.Plasma,B.Retina,B.Brain,B.RPE/Choroid,B.Ciliary Body,B.Optic Nerve,B.Plasma,C.Retina,C.Brain,C.RPE/Choroid,C.Ciliary Body,C.Optic Nerve,C.Plasma,D.Retina,D.Brain,D.RPE/Choroid,D.Ciliary Body,D.Optic Nerve,D.Plasma,E.Retina,E.Brain,E.RPE/Choroid,E.Ciliary Body,E.Optic Nerve,E.Plasma,F.Retina,F.Brain,F.RPE/Choroid,F.Ciliary Body,F.Optic Nerve,F.Plasma,G.Retina,G.Brain,G.RPE/Choroid,G.Ciliary Body,G.Optic Nerve,G.Plasma
L28785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
L28795,0.56,0.38461538461538464,0.4888888888888889,0.6407185628742516,0.35714285714285715,0.34838709677419355,0.6462882096069869,0.6897404202719407,0.8719512195121951,0.7630853994490358,0.708779443254818,0.6470588235294117,0.6682634730538922,0.6795774647887325,0.7281947261663287,0.6726998491704375,0.6741405082212256,0.5210970464135022,0.8263888888888888,0.4693877551020408,0.40101522842639603,0.4326923076923077,0.566265060240964,0.5079365079365079,0.6461538461538462,0.4374999999999999,0.3831775700934579,0.3897058823529413,0.3740458015267175,0.42063492063492064,0.56,0.38461538461538464,0.4893617021276596,0.6337209302325582,0.35714285714285715,0.3535911602209945,0.8358208955223883,0.36666666666666653,0.3544303797468354,0.4049079754601228,0.4689265536723163,0.5238095238095238
L28799,0.4,0.5384615384615384,0.13333333333333333,0.7604790419161677,0.07142857142857142,0.5096774193548387,0.7831149927219796,0.6872682323856613,0.8475609756097561,0.903581267217631,0.8972162740899359,0.8991596638655461,0.6970059880239522,0.6795774647887324,0.718052738336714,0.7948717948717949,0.8041853512705531,0.7067510548523208,0.2569444444444445,0.4081632653061225,0.5482233502538072,0.5817307692307692,0.5461847389558234,0.5476190476190476,0.2769230769230769,0.4374999999999999,0.4299065420560747,0.5294117647058825,0.4732824427480916,0.5158730158730159,0.4,0.5384615384615384,0.1276595744680851,0.7441860465116279,0.07142857142857142,0.4917127071823204,0.11940298507462688,0.16666666666666666,0.5189873417721518,0.5950920245398773,0.4406779661016949,0.5142857142857143
L28808,0.16,0.0,0.0,0.0,0.0,0.0,0.04949053857350801,0.1211372064276885,0.0,0.0,0.0,0.0,0.0970059880239521,0.11502347417840375,0.0,0.0,0.0,0.0,0.3750000000000001,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.041666666666666664,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.4626865671641792,0.0,0.0,0.0,0.0,0.0
L28810,0.16,0.23076923076923075,0.04444444444444445,0.502994011976048,0.0,0.0967741935483871,0.5181950509461427,0.4647713226205192,0.7987804878048779,0.7134986225895317,0.6423982869379015,0.6050420168067225,0.467065868263473,0.4577464788732394,0.5862068965517242,0.5656108597285069,0.5695067264573991,0.37974683544303794,0.2291666666666667,0.2653061224489796,0.16751269035532992,0.2355769230769231,0.3534136546184739,0.2698412698412698,0.15384615384615385,0.2083333333333333,0.10280373831775702,0.17647058823529413,0.1450381679389313,0.15873015873015875,0.16,0.23076923076923075,0.0425531914893617,0.4883720930232559,0.0,0.08839779005524863,0.10447761194029853,0.09999999999999998,0.10759493670886074,0.2269938650306749,0.2259887005649717,0.2380952380952381
L28813,0.24,0.23076923076923075,0.13333333333333333,0.4371257485029941,0.0,0.34838709677419355,0.5050946142649201,0.4573547589616811,0.8475609756097561,0.6088154269972452,0.5096359743040685,0.7647058823529409,0.4598802395209581,0.4518779342723005,0.718052738336714,0.5233785822021118,0.5216741405082211,0.5569620253164558,0.23611111111111116,0.3061224489795919,0.5482233502538072,0.40865384615384615,0.4859437751004017,0.3333333333333333,0.2461538461538461,0.31249999999999994,0.4299065420560747,0.3823529411764706,0.3893129770992366,0.2857142857142857,0.24,0.23076923076923075,0.1276595744680851,0.430232558139535,0.0,0.3425414364640884,0.11940298507462688,0.09999999999999998,0.5189873417721518,0.4294478527607362,0.35593220338983045,0.30476190476190473
L28803,0.12,0.15384615384615385,0.04444444444444445,0.3353293413173653,0.0,0.0967741935483871,0.3784570596797672,0.3473423980222497,0.7987804878048779,0.5316804407713499,0.4282655246252677,0.6050420168067225,0.3485029940119761,0.3427230046948357,0.5862068965517242,0.4193061840120664,0.4200298953662182,0.37974683544303794,0.2152777777777778,0.2040816326530612,0.16751269035532992,0.2067307692307692,0.3534136546184739,0.2698412698412698,0.13846153846153844,0.16666666666666666,0.10280373831775702,0.15441176470588236,0.1450381679389313,0.15873015873015875,0.12,0.15384615384615385,0.0425531914893617,0.3255813953488373,0.0,0.08839779005524863,0.10447761194029853,0.06666666666666665,0.10759493670886074,0.20245398773006132,0.2259887005649717,0.2380952380952381
L28804,0.2,0.15384615384615385,0.11111111111111112,0.31736526946107785,0.0,0.3225806451612903,0.3740902474526929,0.3436341161928307,0.5853658536585366,0.4159779614325069,0.3618843683083512,0.4117647058823529,0.34251497005988024,0.3380281690140845,0.5233265720081136,0.3800904977375566,0.3811659192825112,0.3565400843881857,0.18750000000000006,0.2040816326530612,0.4873096446700507,0.3701923076923077,0.3775100401606426,0.25396825396825395,0.2153846153846154,0.25,0.3925233644859813,0.34558823529411764,0.3435114503816793,0.246031746031746,0.2,0.15384615384615385,0.10638297872340426,0.3139534883720931,0.0,0.31491712707182323,0.10447761194029853,0.06666666666666665,0.48101265822784794,0.392638036809816,0.2881355932203389,0.2571428571428572
L28791,0.08,0.07692307692307693,0.022222222222222227,0.2155688622754491,0.0,0.07096774193548387,0.24745269286754004,0.2336217552533993,0.5365853658536585,0.33884297520661155,0.28051391862955033,0.2521008403361344,0.2311377245508982,0.2288732394366197,0.3914807302231238,0.2760180995475114,0.2795216741405082,0.17932489451476796,0.16666666666666666,0.1020408163265306,0.1065989847715736,0.16826923076923075,0.2449799196787149,0.19047619047619047,0.1076923076923077,0.10416666666666666,0.06542056074766356,0.11764705882352942,0.09923664122137403,0.11904761904761905,0.08,0.07692307692307693,0.02127659574468085,0.20930232558139536,0.0,0.06077348066298342,0.08955223880597016,0.033333333333333326,0.06962025316455693,0.16564417177914112,0.1581920903954802,0.19047619047619047
L28807,0.0,0.0,0.0,0.11976047904191618,0.0,0.0,0.12372634643377002,0.11495673671199012,0.3048780487804878,0.19008264462809915,0.15845824411134904,0.0,0.11616766467065867,0.11384976525821595,0.2028397565922921,0.14781297134238314,0.14499252615844546,0.0,0.0902777777777778,0.0816326530612245,0.0,0.04807692307692308,0.10441767068273093,0.0,0.04615384615384615,0.062499999999999986,0.0,0.007352941176470589,0.022900763358778626,0.0,0.0,0.0,0.0,0.11627906976744187,0.0,0.0,0.04477611940298508,0.0,0.0,0.03680981595092025,0.03954802259887005,0.0
