"panel","ceramide","unsaturated","carbons","rnam","tissue","rostral_caudal","structure","L28785","L28795","L28799","L28808","L28810","L28813","L28803","L28804","L28791","L28807","col"
"A.Retina","A","36:1+38:1","","","A.Retina","Retina","2","eye",1,0.56,0.4,0.16,0.16,0.24,0.12,0.2,0.08,0,"36:1+38:1  "
"A.Brain","A","36:1+38:1","","","A.Brain","Brain","5","CNS",1,0.384615384615385,0.538461538461538,0,0.230769230769231,0.230769230769231,0.153846153846154,0.153846153846154,0.0769230769230769,0,"36:1+38:1  "
"A.Plasma","A","36:1+38:1","","","A.Plasma","Plasma","","body",1,0.348387096774194,0.509677419354839,0,0.0967741935483871,0.348387096774194,0.0967741935483871,0.32258064516129,0.0709677419354839,0,"36:1+38:1  "
"B.Retina","B","34:1","","","B.Retina","Retina","2","eye",1,0.646288209606987,0.78311499272198,0.049490538573508,0.518195050946143,0.50509461426492,0.378457059679767,0.374090247452693,0.24745269286754,0.12372634643377,"34:1  "
"B.Brain","B","34:1","","","B.Brain","Brain","5","CNS",1,0.689740420271941,0.687268232385661,0.121137206427689,0.464771322620519,0.457354758961681,0.34734239802225,0.343634116192831,0.233621755253399,0.11495673671199,"34:1  "
"B.Plasma","B","34:1","","","B.Plasma","Plasma","","body",1,0.647058823529412,0.899159663865546,0,0.605042016806723,0.764705882352941,0.605042016806723,0.411764705882353,0.252100840336134,0,"34:1  "
"C.Retina","C","40:1+42:2","","","C.Retina","Retina","2","eye",1,0.668263473053892,0.697005988023952,0.0970059880239521,0.467065868263473,0.459880239520958,0.348502994011976,0.34251497005988,0.231137724550898,0.116167664670659,"40:1+42:2  "
"C.Brain","C","40:1+42:2","","","C.Brain","Brain","5","CNS",1,0.679577464788732,0.679577464788732,0.115023474178404,0.457746478873239,0.4518779342723,0.342723004694836,0.338028169014085,0.22887323943662,0.113849765258216,"40:1+42:2  "
"C.Plasma","C","40:1+42:2","","","C.Plasma","Plasma","","body",1,0.521097046413502,0.706751054852321,0,0.379746835443038,0.556962025316456,0.379746835443038,0.356540084388186,0.179324894514768,0,"40:1+42:2  "
"D.Retina","D","","1","","D.Retina","Retina","2","eye",1,0.826388888888889,0.256944444444444,0.375,0.229166666666667,0.236111111111111,0.215277777777778,0.1875,0.166666666666667,0.0902777777777778," 1 "
"D.Brain","D","","1","","D.Brain","Brain","5","CNS",1,0.469387755102041,0.408163265306123,0,0.26530612244898,0.306122448979592,0.204081632653061,0.204081632653061,0.102040816326531,0.0816326530612245," 1 "
"D.Plasma","D","","1","","D.Plasma","Plasma","","body",1,0.507936507936508,0.547619047619048,0,0.26984126984127,0.333333333333333,0.26984126984127,0.253968253968254,0.19047619047619,0," 1 "
"E.Retina","E","","2","","E.Retina","Retina","2","eye",1,0.646153846153846,0.276923076923077,0.292307692307692,0.153846153846154,0.246153846153846,0.138461538461538,0.215384615384615,0.107692307692308,0.0461538461538461," 2 "
"E.Brain","E","","2","","E.Brain","Brain","5","CNS",1,0.4375,0.4375,0.0416666666666667,0.208333333333333,0.3125,0.166666666666667,0.25,0.104166666666667,0.0625," 2 "
"E.Plasma","E","","2","","E.Plasma","Plasma","","body",1,0.420634920634921,0.515873015873016,0,0.158730158730159,0.285714285714286,0.158730158730159,0.246031746031746,0.119047619047619,0," 2 "
"F.Retina","F","","","lt34","F.Retina","Retina","2","eye",1,0.56,0.4,0.16,0.16,0.24,0.12,0.2,0.08,0,"  lt34"
"F.Brain","F","","","lt34","F.Brain","Brain","5","CNS",1,0.384615384615385,0.538461538461538,0,0.230769230769231,0.230769230769231,0.153846153846154,0.153846153846154,0.0769230769230769,0,"  lt34"
"F.Plasma","F","","","lt34","F.Plasma","Plasma","","body",1,0.353591160220995,0.49171270718232,0,0.0883977900552486,0.342541436464088,0.0883977900552486,0.314917127071823,0.0607734806629834,0,"  lt34"
"G.Retina","G","","","gt42","G.Retina","Retina","2","eye",1,0.835820895522388,0.119402985074627,0.462686567164179,0.104477611940299,0.119402985074627,0.104477611940299,0.104477611940299,0.0895522388059702,0.0447761194029851,"  gt42"
"G.Brain","G","","","gt42","G.Brain","Brain","5","CNS",1,0.366666666666667,0.166666666666667,0,0.1,0.1,0.0666666666666667,0.0666666666666667,0.0333333333333333,0,"  gt42"
"G.Plasma","G","","","gt42","G.Plasma","Plasma","","body",1,0.523809523809524,0.514285714285714,0,0.238095238095238,0.304761904761905,0.238095238095238,0.257142857142857,0.19047619047619,0,"  gt42"
