"panel","ceramide","unsaturated","carbons","rnam","tissue","rostral_caudal","structure","GM3","GM2","GD3","GD2","GD1a","GD1b","GT3","GT1b","GQ1b","col"
"A.Retina","A","36:1+38:1","","","A.Retina","Retina","2","eye",0.05,0.03,0.06,0.01,0.03,0.01,0.04,0.02,0,"36:1+38:1  "
"A.Ciliary.Body","A","36:1+38:1","","","A.Ciliary.Body","Ciliary.Body","1","eye",0.17,0.26,0.23,0.28,0.17,0.2,0,0.16,0.2,"36:1+38:1  "
"B.Retina","B","34:1","","","B.Retina","Retina","2","eye",0.61,0.95,0.54,0.96,0.87,0.9,0.34,0.85,0.85,"34:1  "
"B.Ciliary.Body","B","34:1","","","B.Ciliary.Body","Ciliary.Body","1","eye",0.17,0.41,0.18,0.66,0.28,0.7,0,0.54,0.69,"34:1  "
"C.Retina","C","40:1+42:2","","","C.Retina","Retina","2","eye",0.85,0.99,0.87,0.99,0.93,0.98,0.81,0.96,0.97,"40:1+42:2  "
"C.Ciliary.Body","C","40:1+42:2","","","C.Ciliary.Body","Ciliary.Body","1","eye",0.65,0.83,0.71,0.97,0.69,0.95,0,0.85,0.98,"40:1+42:2  "
"D.Retina","D","","1","","D.Retina","Retina","2","eye",0.21,0.01,0.32,0.02,0.03,0.07,0.54,0.11,0.13," 1 "
"D.Ciliary.Body","D","","1","","D.Ciliary.Body","Ciliary.Body","1","eye",0.46,0.3,0.41,0.06,0.42,0.08,0,0.25,0.1," 1 "
"E.Retina","E","","2","","E.Retina","Retina","2","eye",0.15,0.01,0.13,0.01,0.07,0.02,0.19,0.04,0.03," 2 "
"E.Ciliary.Body","E","","2","","E.Ciliary.Body","Ciliary.Body","1","eye",0.35,0.17,0.29,0.03,0.31,0.05,0,0.15,0.01," 2 "
"F.Retina","F","","","lt34","F.Retina","Retina","2","eye",0.05,0.03,0.06,0.01,0.03,0.01,0.04,0.02,0,"  lt34"
"F.Ciliary.Body","F","","","lt34","F.Ciliary.Body","Ciliary.Body","1","eye",0.19,0.26,0.25,0.28,0.18,0.2,0,0.16,0.2,"  lt34"
"G.Retina","G","","","gt42","G.Retina","Retina","2","eye",0.1,0,0.18,0,0.01,0.01,0.31,0.03,0.03,"  gt42"
"G.Ciliary.Body","G","","","gt42","G.Ciliary.Body","Ciliary.Body","1","eye",0.37,0.23,0.29,0.04,0.37,0.06,0,0.21,0.06,"  gt42"
