,start,end,vis_group_4.substrateProduct_ratio,vis_group_4.spearman.ppcor_pvalue,vis_group_4.spearman.ppcor,vis_group_2.substrateProduct_ratio,vis_group_2.spearman.ppcor_pvalue,vis_group_2.spearman.ppcor,vis_group_1.substrateProduct_ratio,vis_group_1.spearman.ppcor_pvalue,vis_group_1.spearman.ppcor,split_group_4.substrateProduct_ratio,split_group_4.spearman.ppcor_pvalue,split_group_4.spearman.ppcor,split_group_2.substrateProduct_ratio,split_group_2.spearman.ppcor_pvalue,split_group_2.spearman.ppcor,split_group_1.substrateProduct_ratio,split_group_1.spearman.ppcor_pvalue,split_group_1.spearman.ppcor,k_2013_group_4.substrateProduct_ratio,k_2013_group_4.spearman.ppcor_pvalue,k_2013_group_4.spearman.ppcor,k_2013_group_2.substrateProduct_ratio,k_2013_group_2.spearman.ppcor_pvalue,k_2013_group_2.spearman.ppcor,k_2013_group_1.substrateProduct_ratio,k_2013_group_1.spearman.ppcor_pvalue,k_2013_group_1.spearman.ppcor,k_2010_group_4.substrateProduct_ratio,k_2010_group_4.spearman.ppcor_pvalue,k_2010_group_4.spearman.ppcor,k_2010_group_2.substrateProduct_ratio,k_2010_group_2.spearman.ppcor_pvalue,k_2010_group_2.spearman.ppcor,k_2010_group_1.substrateProduct_ratio,k_2010_group_1.spearman.ppcor_pvalue,k_2010_group_1.spearman.ppcor
1,176,176,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
2,176,182,0.581510355,2.72E-29,-0.528439809,0.576859155,1.56E-15,-0.394594308,0.588191092,2.57E-29,-0.534527713,0.581632983,2.33E-67,-0.51616191,0.579952662,8.69E-71,-0.529783891,0.59049876,4.47E-67,-0.517493359,0.587284106,6.61E-28,-0.40773913,0.58262455,5.24E-41,-0.491795028,0.594836192,4.35E-39,-0.481184044,0.578806283,7.58E-37,-0.526865994,0.576203548,4.71E-25,-0.444942951,0.586094262,6.05E-33,-0.50545527
3,176,189,0.490936468,5.31E-67,0.734578995,0.491086718,3.77E-45,0.64115317,0.495076615,9.34E-36,0.582751721,0.490325254,9.30E-137,0.686915614,0.492129547,2.40E-126,0.669734371,0.494761385,4.72E-124,0.665173711,0.489238954,1.10E-141,0.788880481,0.491503976,7.64E-66,0.603153934,0.493644582,3.71E-86,0.669996617,0.490301012,5.36E-88,0.741969185,0.489940451,4.37E-52,0.615404182,0.494562109,2.05E-42,0.564974996
4,176,190,0.469544015,2.99E-23,0.475192837,0.467359302,8.33E-14,0.371371045,0.45740628,5.29E-18,0.42490722,0.463377777,2.08E-91,0.587644257,0.462600877,2.85E-132,0.681149075,0.452784151,4.60E-91,0.589179026,0.467926285,1.03E-91,0.681914249,0.465573907,3.50E-40,0.48727951,0.457159354,4.72E-40,0.486564465,0.466879409,7.32E-29,0.471405532,0.466202404,5.67E-24,0.435625531,0.457718288,1.74E-24,0.440089923
5,176,195,0.444660482,2.39E-51,0.667343273,0.441658303,1.24E-50,0.670221653,0.455446701,3.42E-55,0.69211566,0.444343939,5.78E-105,0.621308178,0.443727427,4.28E-88,0.581202033,0.457405145,6.19E-111,0.63744516,0.449291999,1.79E-59,0.574793642,0.445174731,8.32E-77,0.641270751,0.460729474,4.10E-79,0.648656916,0.43904796,2.71E-69,0.682106989,0.440159015,3.93E-53,0.620357076,0.452776791,1.48E-55,0.631507308
6,176,197,0.242027369,4.01E-12,-0.342557868,0.238384275,0.000126182,-0.195923559,0.238689016,0.060363812,-0.096694199,0.237484948,1.71E-40,-0.408829207,0.235625684,7.34E-58,-0.484606582,0.235503084,2.65E-29,-0.351013554,0.239629022,1.88E-52,-0.544862924,0.236977328,7.90E-15,-0.297902243,0.237038601,4.78E-21,-0.357136887,0.242431521,5.39E-15,-0.340961463,0.237255064,5.00E-09,-0.26102303,0.238673164,0.00171019,-0.141770973
7,176,199,0.212770991,3.45E-15,-0.385405667,0.214168851,1.09E-25,-0.503498149,0.216986488,2.37E-14,-0.378912975,0.211357488,1.07E-28,-0.345712932,0.216176928,1.92E-37,-0.395658929,0.217404026,1.41E-39,-0.406302735,0.213776447,2.08E-30,-0.424945691,0.216700968,2.31E-24,-0.384201077,0.218951826,4.69E-31,-0.432202398,0.209746415,1.41E-36,-0.525146691,0.21304072,3.97E-28,-0.469974432,0.215303267,7.89E-13,-0.31699158
8,176,200,0.198669241,1.53E-10,-0.317587498,0.196391929,2.20E-16,-0.405376737,0.201612787,5.91E-08,-0.274384797,0.195063586,7.63E-39,-0.400786638,0.195553738,3.31E-56,-0.478302245,0.200474142,1.43E-50,-0.455792736,0.20144505,3.13E-35,-0.455550716,0.198256947,2.46E-41,-0.493573718,0.204282071,2.37E-21,-0.359734071,0.193296502,1.36E-18,-0.380761357,0.194471244,8.14E-22,-0.416120841,0.20009331,1.46E-14,-0.339025357
9,176,201,0.100322678,2.92E-07,0.256823803,0.099692282,1.48E-08,0.286147653,0.100510676,0.014932684,0.125113919,0.097013557,1.14E-15,0.252965753,0.099370622,5.62E-26,0.330501765,0.099274792,2.44E-22,0.306119835,0.100666744,1.02E-19,0.343048247,0.100670588,3.60E-09,0.228500924,0.101218873,2.55E-16,0.313345453,0.099138403,2.81E-17,0.366849612,0.098724849,1.62E-11,0.299039506,0.099654111,0.007200284,0.121639444
10,182,176,1.72021306,2.72E-29,-0.528439809,1.733813243,1.56E-15,-0.394594308,1.700446063,2.57E-29,-0.534527713,1.719910449,2.33E-67,-0.51616191,1.72458056,8.69E-71,-0.529783891,1.693803586,4.47E-67,-0.517493359,1.70337525,6.61E-28,-0.40773913,1.716676529,5.24E-41,-0.491795028,1.681390009,4.35E-39,-0.481184044,1.72850363,7.58E-37,-0.526865994,1.735788799,4.71E-25,-0.444942951,1.706569846,6.05E-33,-0.50545527
11,182,182,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
12,182,189,0.844563738,0.002605504,0.152448301,0.851517386,0.002420679,0.155569397,0.841925949,0.070763756,0.093048006,0.843379181,0.022695666,0.073042273,0.848791282,5.86E-11,0.208919219,0.838090235,2.46E-10,0.20211502,0.833441557,0.041269321,0.079343355,0.843829166,0.002777065,0.1169741,0.830069309,1.08E-05,0.171378111,0.847581576,0.001194,0.144944459,0.850493251,0.183475853,0.060374042,0.844081053,2.57E-05,0.189458021
13,182,190,0.807676837,0.010350657,-0.130028253,0.810321904,0.201099474,-0.065901868,0.777791934,0.017037575,-0.122659753,0.7969319,0.000294444,-0.115814485,0.797801466,0.00252124,0.097238825,0.76692637,0.981045827,-0.000766579,0.797021566,0.074380836,-0.069394906,0.799238882,0.100236064,-0.064429399,0.76865935,0.034372832,-0.082872512,0.806890759,0.000432553,-0.157278342,0.809238811,0.000679962,-0.153438631,0.781119676,0.165313078,-0.06296951
14,182,195,0.764716442,3.45E-57,0.694677259,0.765675931,2.39E-50,0.668786789,0.774368551,7.39E-53,0.68114595,0.764003827,2.62E-109,0.631285555,0.765162443,8.94E-138,0.691302159,0.774659668,2.23E-135,0.686931543,0.76508401,3.13E-86,0.66646703,0.76412801,1.16E-145,0.798922623,0.774594102,4.28E-90,0.68119915,0.758584314,7.15E-80,0.717837456,0.763943029,2.06E-73,0.701667391,0.77258601,6.10E-77,0.713464761
15,182,197,0.41633029,0.953769186,-0.002952714,0.413348855,0.880139458,-0.00778158,0.405911979,0.009065384,0.134059843,0.408464535,0.000111479,0.123562667,0.406392053,0.008765355,-0.084421718,0.398923699,0.176344488,-0.043606607,0.40820288,0.425320444,0.031036214,0.40684842,0.134985982,0.05860012,0.398584588,0.667462277,-0.016856896,0.419024227,0.309426248,0.045684193,0.411858097,0.00577847,0.124902654,0.407344649,0.653744259,0.020376751
16,182,199,0.365926947,0.003625075,-0.147354011,0.371319581,8.09E-07,-0.250505106,0.368956899,0.00025244,-0.187191775,0.363433185,5.26E-05,-0.129264211,0.372810706,1.25E-11,-0.215988397,0.368219103,1.65E-18,-0.277675124,0.364068916,5.56E-07,-0.193084797,0.371998518,0.00018635,-0.145842488,0.368133845,1.04E-11,-0.262162313,0.362429532,1.88E-08,-0.248850963,0.369780658,3.15E-06,-0.209381811,0.367405272,2.93E-09,-0.264831255
17,182,200,0.341619987,0.027332446,0.112038637,0.340471226,0.076282768,0.091288382,0.342783947,0.006093727,0.140831707,0.335348373,0.157394163,0.045362214,0.337210926,1.12E-09,-0.194641947,0.339519993,9.54E-05,-0.12540296,0.342990599,0.234822421,-0.0462367,0.340297802,0.001830943,-0.121825249,0.343443429,0.96345263,-0.001797952,0.333854145,0.127669036,0.068424157,0.33752563,0.852426117,0.008451109,0.341415416,0.324251539,-0.044761626
18,182,201,0.172502388,0.667458099,0.021879609,0.172841708,0.641911184,-0.023994499,0.170898824,0.008067599,-0.136077866,0.166797324,0.13135716,-0.048402864,0.171366874,0.031799975,0.06919034,0.168138306,0.007754887,0.085753068,0.171420849,0.188180601,0.05121025,0.172810492,0.157229515,-0.055457958,0.170182549,0.194326063,0.050893905,0.171239369,0.174540232,0.061000678,0.171358393,0.309142361,-0.046179805,0.170046634,0.797672096,-0.01164636
19,189,176,2.03737935,5.31E-67,0.734578995,2.036554311,3.77E-45,0.64115317,2.020249419,9.34E-36,0.582751721,2.03984453,9.30E-137,0.686915614,2.03226113,2.40E-126,0.669734371,2.021445344,4.72E-124,0.665173711,2.04441452,1.10E-141,0.788880481,2.034877789,7.64E-66,0.603153934,2.026035695,3.71E-86,0.669996617,2.040484258,5.36E-88,0.741969185,2.041341325,4.37E-52,0.615404182,2.022380365,2.05E-42,0.564974996
