,enzyme,index_source,index_target
0,GNTII,0,5
1,A6FUCT,0,2
2,GNTIV,0,4
3,B4GALT,0,3
4,GNTII,2,10
5,B4GALT,2,8
6,GNTIV,2,9
7,IGNT,3,18
8,A3SIAT,3,17
9,A6SIAT,3,7
10,B4GALT,4,11
11,B4GALT,4,12
12,GNTII,4,14
13,A6FUCT,4,9
14,B4GALT,5,13
15,GNTV,5,16
16,A6FUCT,5,10
17,GNTIV,5,14
18,B4GALT,5,15
19,A6FUCT,6,19
20,MANII,6,1
21,A6SIAT,8,20
22,IGNT,8,45
23,A3SIAT,8,40
24,B4GALT,9,25
25,GNTII,9,28
26,B4GALT,9,26
27,B4GALT,10,29
28,B4GALT,10,27
29,GNTV,10,30
30,GNTIV,10,28
31,B4GALT,11,31
32,A3SIAT,11,41
33,A6SIAT,11,21
34,IGNT,11,49
35,A3SIAT,12,42
36,A6SIAT,12,22
37,B4GALT,12,31
38,A6SIAT,13,23
39,GNTV,13,36
40,B4GALT,13,34
41,IGNT,13,47
42,A3SIAT,13,43
43,GNTV,14,37
44,B4GALT,14,32
45,B4GALT,14,33
46,B4GALT,14,35
47,A6FUCT,14,28
48,IGNT,15,48
49,A3SIAT,15,44
50,A6SIAT,15,24
51,B4GALT,15,34
52,B4GALT,16,39
53,B4GALT,16,38
54,B4GALT,16,36
55,B4GALT,18,46
56,B4GALT,21,54
57,B4GALT,22,55
58,B4GALT,23,58
59,GNTV,23,61
60,B4GALT,24,59
61,IGNT,25,108
62,A6SIAT,25,50
63,A3SIAT,25,83
64,B4GALT,25,63
65,A6SIAT,26,51
66,B4GALT,26,63
67,A3SIAT,26,84
68,IGNT,27,99
69,A6SIAT,27,52
70,GNTV,27,68
71,B4GALT,27,66
72,A3SIAT,27,85
73,B4GALT,28,67
74,B4GALT,28,65
75,B4GALT,28,64
76,GNTV,28,69
77,A3SIAT,29,86
78,B4GALT,29,66
79,IGNT,29,100
80,A6SIAT,29,53
81,B4GALT,30,71
82,B4GALT,30,70
83,B4GALT,30,68
84,IGNT,31,107
85,A3SIAT,31,88
86,A6SIAT,31,54
87,A6SIAT,31,55
88,A3SIAT,31,87
89,A6SIAT,32,56
90,A3SIAT,32,89
91,B4GALT,32,73
92,B4GALT,32,72
93,GNTV,32,75
94,GNTV,33,76
95,A3SIAT,33,90
96,A6SIAT,33,57
97,B4GALT,33,72
98,B4GALT,33,74
99,IGNT,34,103
100,A3SIAT,34,92
101,IGNT,34,104
102,A3SIAT,34,91
103,A6SIAT,34,59
104,A6SIAT,34,58
105,A6SIAT,35,60
106,A3SIAT,35,93
107,B4GALT,35,74
108,B4GALT,35,73
109,B4GALT,36,77
110,A3SIAT,36,94
111,B4GALT,36,79
112,A6SIAT,36,61
113,B4GALT,37,75
114,B4GALT,37,76
115,B4GALT,37,80
116,B4GALT,37,78
117,A3SIAT,38,95
118,B4GALT,38,77
119,A6SIAT,38,62
120,B4GALT,38,81
121,B4GALT,39,79
122,B4GALT,39,81
123,A3SIAT,39,96
124,A6SIAT,39,97
125,IGNT,39,82
126,B4GALT,41,87
127,B4GALT,42,88
128,GNTV,43,94
129,B4GALT,43,91
130,B4GALT,44,92
131,B4GALT,45,98
132,A3SIAT,46,109
133,IGNT,46,101
134,B4GALT,47,102
135,B4GALT,47,103
136,B4GALT,48,104
137,B4GALT,48,105
138,B4GALT,49,106
139,B4GALT,49,107
140,B4GALT,50,112
141,B4GALT,51,113
142,B4GALT,52,116
143,GNTV,52,119
144,B4GALT,53,117
145,A6SIAT,54,110
146,A6SIAT,55,110
147,GNTV,56,127
148,B4GALT,56,123
149,B4GALT,56,121
150,B4GALT,57,124
151,B4GALT,57,122
152,GNTV,57,128
153,A6SIAT,58,111
154,A6SIAT,59,111
155,B4GALT,60,125
156,B4GALT,60,126
157,B4GALT,61,129
158,B4GALT,61,132
159,B4GALT,62,130
160,B4GALT,62,133
161,A3SIAT,63,159
162,A6SIAT,63,112
163,A6SIAT,63,113
164,IGNT,63,202
165,A3SIAT,63,160
166,A6SIAT,64,114
167,A3SIAT,64,161
168,B4GALT,64,134
