,index_source,index_target,enzyme
0,1,1,B4GALT
1,1,2,"A3SIAT, A6SIAT"
2,1,4,GNTII
3,1,6,A6FUCT
4,1,7,IGNT
5,1,10,GNTIV
6,3,3,"A6FUCT, MANII"
7,4,4,B4GALT
8,4,6,A6FUCT
9,4,8,"A3SIAT, A6SIAT"
10,4,12,"GNTIV, GNTV, GNTV"
11,4,16,IGNT
13,6,5,"A3SIAT, A6SIAT"
14,6,6,"B4GALT, GNTII"
15,6,10,GNTIV
16,6,11,IGNT
17,6,12,"GNTIV, GNTV, GNTV"
18,6,13,"A3SIAT, A6SIAT"
19,6,20,IGNT
21,7,7,"B4GALT, A3SIAT"
23,8,8,"B4GALT, A3SIAT, A6SIAT"
24,8,19,GNTV
26,10,9,"A3SIAT, A6SIAT"
27,10,10,"B4GALT, A3SIAT, A6SIAT, A6FUCT"
28,10,12,GNTII
29,10,14,"A3SIAT, A6SIAT"
30,10,18,IGNT
31,10,22,IGNT
36,11,11,"B4GALT, A3SIAT"
38,12,12,"B4GALT, A6FUCT"
39,12,15,GNTV
40,12,19,"A3SIAT, A6SIAT"
41,12,23,"A3SIAT, A6SIAT"
42,12,24,IGNT
43,12,26,IGNT
44,12,35,GNTV
55,13,13,"B4GALT, A3SIAT, A6SIAT"
56,13,23,GNTV
58,15,15,B4GALT
59,15,28,IGNT
60,15,30,"A3SIAT, A6SIAT"
66,16,16,B4GALT
67,16,17,A3SIAT
74,17,17,A3SIAT
75,18,18,"B4GALT, A3SIAT"
78,19,19,"B4GALT, A3SIAT, A6SIAT"
79,19,30,GNTV
86,20,20,B4GALT
87,20,21,A3SIAT
94,21,21,A3SIAT
95,22,22,"B4GALT, A3SIAT"
98,23,23,"B4GALT, A3SIAT, A6SIAT"
99,23,35,GNTV
106,24,24,B4GALT
116,25,25,"A3SIAT, A6SIAT"
118,26,26,B4GALT
128,27,27,"A3SIAT, A6SIAT"
130,28,28,B4GALT
142,30,30,"B4GALT, A3SIAT, A6SIAT, A3SIAT"
143,30,34,"A3SIAT, A6SIAT"
157,32,32,B4GALT
167,34,34,"A3SIAT, A6SIAT"
169,35,32,IGNT
170,35,35,"B4GALT, A3SIAT, A6SIAT, A3SIAT"
1000,33,33,33
1001,29,29,29
1002,31,31,31
