,source,target
0,1,2
1,1,4
2,1,6
3,1,7
4,1,10
5,4,6
6,4,8
7,4,12
8,4,16
9,4,17
10,6,5
11,6,10
12,6,11
13,6,12
14,6,13
15,6,20
16,6,21
17,6,29
18,8,17
19,8,19
20,10,9
21,10,12
22,10,14
23,10,18
24,10,22
25,12,15
26,12,19
27,12,23
28,12,24
29,12,25
30,12,26
31,12,27
32,12,31
33,12,33
34,12,35
35,13,21
36,13,23
37,15,28
38,15,30
39,15,34
40,16,17
41,19,25
42,19,30
43,19,31
44,20,21
45,20,29
46,23,27
47,23,33
48,23,35
49,24,25
50,24,31
51,25,31
52,26,27
53,26,33
54,27,33
55,28,30
56,28,34
57,30,34
58,35,32
