0,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma3(Ma6)Ma6)Mb4GNb4(Fa6)GN
1,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma3(Ma6)Ma6)Mb4GNb4GN
2,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6Ma6)Mb4GNb4GN
3,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb2Ma6)Mb4GNb4GN
4,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma3(Ma6)Ma6)Mb4GNb4(Fa6)GN
5,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma3(Ma6)Ma6)Mb4GNb4GN
6,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6)Mb4GNb4(Fa6)GN
7,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6)Mb4GNb4GN
8,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6Ma6)Mb4GNb4(Fa6)GN
9,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6Ma6)Mb4GNb4GN
10,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ab4GNb2(GNb6)Ma6)Mb4GNb4GN
11,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ab4GNb2Ma6)Mb4GNb4(Fa6)GN
12,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ab4GNb2Ma6)Mb4GNb4GN
13,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb2(Ab4GNb6)Ma6)Mb4GNb4GN
14,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb2(GNb6)Ma6)Mb4GNb4(Fa6)GN
15,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb2(GNb6)Ma6)Mb4GNb4GN
16,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb2Ma6)Mb4GNb4(Fa6)GN
17,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb2Ma6)Mb4GNb4GN
18,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(GNb3Ab4GNb2Ma6)Mb4GNb4GN
19,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma3(Ma6)Ma6)Mb4GNb4(Fa6)GN
20,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma3(Ma6)Ma6)Mb4GNb4GN
21,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6)Mb4GNb4(Fa6)GN
22,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6)Mb4GNb4GN
23,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6Ma6)Mb4GNb4(Fa6)GN
24,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ma6Ma6)Mb4GNb4GN
25,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(NNa3Ab4GNb2Ma6)Mb4GNb4GN
26,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(NNa6Ab4GNb2Ma6)Mb4GNb4GN
27,Ab4GNb2(Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb3Ab4GNb4)Ma3(Ab4GNb2(Ab4GNb6)Ma6)Mb4GNb4(Fa6)GN
