,enzyme,index_source,index_target
0,A6FUCT,0,2
1,B4GALT,0,3
2,GNTIV,0,4
3,GNTII,0,5
4,B4GALT,2,8
5,GNTIV,2,9
6,GNTII,2,10
7,"A3SIAT, A6SIAT",3,7
8,IGNT,3,14
9,A6FUCT,4,9
10,B4GALT,4,11
11,GNTII,4,13
12,A6FUCT,5,10
13,B4GALT,5,12
14,"GNTIV, GNTV",5,13
15,MANII,6,1
16,A6FUCT,6,15
17,"A3SIAT, A6SIAT",8,16
18,IGNT,8,27
19,B4GALT,9,19
20,GNTII,9,21
21,B4GALT,10,20
22,"GNTIV, GNTV",10,21
23,"A3SIAT, A6SIAT",11,17
24,B4GALT,11,22
25,IGNT,11,30
26,"A3SIAT, A6SIAT",12,18
27,B4GALT,12,24
28,GNTV,12,25
29,IGNT,12,29
30,A6FUCT,13,21
31,B4GALT,13,23
32,B4GALT,13,25
33,GNTV,13,26
34,B4GALT,14,28
35,B4GALT,17,33
36,B4GALT,18,35
37,GNTV,18,36
38,"A3SIAT, A6SIAT",19,31
39,B4GALT,19,37
40,IGNT,19,52
41,"A3SIAT, A6SIAT",20,32
42,B4GALT,20,39
43,GNTV,20,40
44,IGNT,20,47
45,B4GALT,21,38
46,B4GALT,21,40
47,GNTV,21,41
48,"A3SIAT, A6SIAT",22,33
49,IGNT,22,54
50,"A3SIAT, A6SIAT",23,34
51,B4GALT,23,42
52,B4GALT,23,43
53,GNTV,23,44
54,IGNT,23,45
55,"A3SIAT, A6SIAT",24,35
56,IGNT,24,50
57,"A3SIAT, A6SIAT",25,36
58,B4GALT,25,43
59,B4GALT,26,44
60,B4GALT,27,46
61,IGNT,28,48
62,A3SIAT,28,51
63,B4GALT,29,49
64,B4GALT,29,50
65,B4GALT,30,53
66,B4GALT,30,54
67,B4GALT,31,57
68,B4GALT,32,59
69,GNTV,32,60
70,"A3SIAT, A6SIAT",33,55
71,IGNT,33,85
72,B4GALT,34,61
73,B4GALT,34,62
74,GNTV,34,64
75,"A3SIAT, A6SIAT",35,56
76,IGNT,35,89
77,B4GALT,36,63
78,"A3SIAT, A6SIAT",37,57
79,IGNT,37,87
80,"A3SIAT, A6SIAT",38,58
81,B4GALT,38,65
82,B4GALT,38,66
83,GNTV,38,67
84,IGNT,38,68
85,"A3SIAT, A6SIAT",39,59
86,IGNT,39,79
87,"A3SIAT, A6SIAT",40,60
88,B4GALT,40,66
89,B4GALT,41,67
90,"A3SIAT, A6SIAT",42,61
91,B4GALT,42,69
92,GNTV,42,70
93,IGNT,42,74
94,"A3SIAT, A6SIAT",43,62
95,"A3SIAT, A6SIAT",43,63
96,B4GALT,43,69
97,IGNT,43,72
98,"A3SIAT, A6SIAT",44,64
99,B4GALT,44,70
100,B4GALT,44,71
101,IGNT,44,73
102,B4GALT,45,72
103,B4GALT,45,74
104,B4GALT,45,75
105,IGNT,46,77
106,A3SIAT,46,83
107,B4GALT,47,78
108,B4GALT,47,79
109,B4GALT,48,76
110,IGNT,49,80
111,B4GALT,49,81
112,A3SIAT,49,90
113,B4GALT,50,81
114,IGNT,50,82
115,A3SIAT,50,89
116,B4GALT,52,86
117,B4GALT,52,87
118,A3SIAT,53,84
119,B4GALT,53,88
120,A3SIAT,54,85
121,B4GALT,54,88
122,"A3SIAT, A6SIAT",57,91
123,IGNT,57,129
124,B4GALT,58,95
125,B4GALT,58,96
126,GNTV,58,98
127,"A3SIAT, A6SIAT",59,92
128,IGNT,59,133
129,B4GALT,60,97
130,"A3SIAT, A6SIAT",61,93
131,B4GALT,61,99
132,GNTV,61,101
133,IGNT,61,104
134,"A3SIAT, A6SIAT",62,94
135,B4GALT,62,99
136,"A3SIAT, A6SIAT",63,94
137,B4GALT,63,100
138,IGNT,63,103
139,B4GALT,64,101
140,B4GALT,64,102
141,"A3SIAT, A6SIAT",65,95
142,B4GALT,65,105
143,GNTV,65,106
144,IGNT,65,110
145,"A3SIAT, A6SIAT",66,96
146,"A3SIAT, A6SIAT",66,97
147,B4GALT,66,105
148,IGNT,66,108
149,"A3SIAT, A6SIAT",67,98
150,B4GALT,67,106
151,B4GALT,67,107
152,IGNT,67,109
153,B4GALT,68,108
154,B4GALT,68,110
155,B4GALT,68,111
156,"A3SIAT, A6SIAT",69,99
157,"A3SIAT, A6SIAT",69,100
158,IGNT,69,114
159,"A3SIAT, A6SIAT",70,101
160,B4GALT,70,112
161,IGNT,70,115
162,"A3SIAT, A6SIAT",71,102
163,B4GALT,71,112
164,IGNT,71,113
165,"A3SIAT, A6SIAT",72,103
166,B4GALT,72,114
167,B4GALT,72,116
168,B4GALT,73,113
169,B4GALT,73,115
170,B4GALT,73,117
171,"A3SIAT, A6SIAT",74,104
172,B4GALT,74,114
173,B4GALT,74,118
174,B4GALT,75,116
175,B4GALT,75,118
176,IGNT,75,119
177,"A3SIAT, A6SIAT",75,120
178,B4GALT,77,121
179,IGNT,78,123
180,B4GALT,78,124
181,A3SIAT,78,134
182,B4GALT,79,124
183,IGNT,79,125
184,A3SIAT,79,133
185,B4GALT,80,122
186,B4GALT,80,126
187,IGNT,81,126
188,IGNT,81,127
189,A3SIAT,81,135
190,A3SIAT,81,136
191,B4GALT,82,127
192,B4GALT,84,130
193,B4GALT,85,131
194,A3SIAT,86,128
195,B4GALT,86,132
196,A3SIAT,87,129
197,B4GALT,87,132
198,A3SIAT,88,130
199,A3SIAT,88,131
200,B4GALT,89,135
201,B4GALT,90,136
202,B4GALT,93,139
203,GNTV,93,141
204,B4GALT,94,140
205,"A3SIAT, A6SIAT",95,137
206,B4GALT,95,143
207,GNTV,95,145
208,IGNT,95,148
209,"A3SIAT, A6SIAT",96,138
210,B4GALT,96,143
211,"A3SIAT, A6SIAT",97,138
212,B4GALT,97,144
213,IGNT,97,147
214,B4GALT,98,145
215,B4GALT,98,146
216,"A3SIAT, A6SIAT",99,139
217,"A3SIAT, A6SIAT",99,140
218,IGNT,99,153
219,"A3SIAT, A6SIAT",100,140
220,IGNT,100,152
221,"A3SIAT, A6SIAT",101,141
222,B4GALT,101,149
223,IGNT,101,154
224,"A3SIAT, A6SIAT",102,142
225,B4GALT,102,149
