"","139_G1","148_G0N","154_G0F","164_G2","165_G1S","173_G1N","176_G1F","182_G0FN","184_G2S","187_G2N","188_G1NS","189_G2F","190_G1FS","195_G1FN","196_G2NS","197_G2FS","199_G2FN","200_G1FNS","201_G2FNS"
"139_G1",1,-0.36113087314421,-0.162597257038441,0.514621492355709,0.30689795917221,0.674340434123044,0.155136566459845,-0.0148503718238751,-0.200511027996455,-0.300552089788411,0.0777436288134517,0.00759539390282146,0.0357604570319056,-0.0503681635784799,0.0104885315303354,-0.110989556538891,0.0425152081841385,-0.0982081046137139,0.113621223723196
"148_G0N",-0.36113087314421,1,-0.313002474855173,0.051945358500703,-0.0892162392646422,0.684024570034705,0.145283331508863,0.372183151357822,-0.065954462103037,-0.0255164005313627,0.167262710424047,-0.157940882734085,0.0679696808368392,-0.236649277020681,-0.0518598959381282,0.0501573590948455,0.210727939845369,-0.00582440065799216,-0.0415711127082602
"154_G0F",-0.162597257038438,-0.31300247485517,1,0.0101673156306958,-0.15020971038341,0.220919309681298,0.728182286069703,0.738648225939791,0.0544679751043234,0.0169408840040616,-0.0250766062675961,-0.191515030914434,0.022547111556985,-0.559258876737485,0.0474271645805449,-0.0256325031418796,0.0776101193285843,0.095515565501024,-0.015929717375789
"164_G2",0.514621492355707,0.0519453585007009,0.0101673156307003,1,-0.313880075559969,-0.293314137562014,-0.110872517635595,-0.0224757069143893,0.684456839162055,0.702651813132443,-0.186052465799809,0.316325450557056,0.0876819166496348,0.0385436984229548,-0.00147604274680658,-0.215817888234196,-0.209537412470826,0.0329964759885535,-0.0364216510730277
"165_G1S",0.30689795917221,-0.0892162392646443,-0.150209710383408,-0.313880075559967,1,-0.138185800097643,0.0497907910183366,0.117870360649905,0.696012692736063,0.129854097435636,-0.0911258413588284,-0.0218617524048866,0.333600785768691,-0.0541902037764631,0.0351776197964719,-0.162430040060845,0.0661302582895249,0.0960994817378015,-0.177289077301536
"173_G1N",0.674340434123044,0.684024570034705,0.220919309681302,-0.293314137562015,-0.138185800097645,1,-0.181570320327978,-0.143934495728844,0.114409029267387,0.350045475820477,0.272823135096399,0.138018228683182,0.0180569785381762,0.13617595413644,0.0204284452018991,-0.0457117993852179,-0.148516563251714,0.0975859754356142,-0.0272835255625768
"176_G1F",0.155136566459842,0.145283331508862,0.728182286069709,-0.110872517635586,0.0497907910183366,-0.181570320327977,1,-0.491795027522013,-0.043133631210026,0.117679486999304,0.0389877862102751,0.603153934307311,0.487279510142262,0.641270751269396,-0.0238672240793339,-0.297902243037901,-0.384201076948899,-0.49357371828207,0.228500923930662
"182_G0FN",-0.0148503718238761,0.372183151357821,0.738648225939793,-0.0224757069143897,0.117870360649904,-0.143934495728843,-0.491795027522013,1,-0.015528549991509,-0.0372396826277731,-0.129637508911739,0.116974099971768,-0.0644293992061848,0.798922623237096,-0.0379354553435543,0.0586001202459148,-0.145842488111175,-0.121825249034724,-0.0554579582555348
"184_G2S",-0.200511027996455,-0.0659544621030336,0.0544679751043208,0.684456839162053,0.696012692736065,0.114409029267385,-0.0431336312100218,-0.0155285499915115,1,-0.425078399924519,0.220815187316458,-0.222862572161295,-0.241549759803613,0.0561636410109143,-0.0739428706535408,0.379281719495353,0.11438302942648,-0.0880773865711522,0.0657554410511207
"187_G2N",-0.30055208978841,-0.0255164005313612,0.0169408840040582,0.702651813132441,0.129854097435639,0.350045475820478,0.117679486999308,-0.0372396826277736,-0.425078399924521,1,-0.0997380809111081,-0.318572434400162,-0.169352374255034,0.0293347610575906,0.44429787562664,0.267321615896783,0.276423564835948,0.0465233909695113,-0.0469074044292512
"188_G1NS",0.0777436288134519,0.167262710424047,-0.0250766062675951,-0.186052465799812,-0.0911258413588293,0.272823135096398,0.0389877862102704,-0.129637508911738,0.220815187316461,-0.0997380809111045,1,0.00825555046830715,-0.00268799219854184,0.115468816091526,0.165162082656005,-0.0123478462417333,-0.0502394025972635,-0.0999892043755536,-0.0217459602577034
"189_G2F",0.00759539390282299,-0.157940882734083,-0.191515030914445,0.316325450557047,-0.0218617524048819,0.138018228683184,0.603153934307319,0.116974099971769,-0.222862572161294,-0.31857243440016,0.00825555046829878,1,-0.519702365377893,-0.266651310051772,0.121351526504205,0.781787401356037,0.763361600957725,0.370658271642492,-0.615096472521457
"190_G1FS",0.0357604570319079,0.067969680836842,0.0225471115569806,0.0876819166496211,0.333600785768692,0.0180569785381752,0.487279510142261,-0.0644293992061867,-0.241549759803604,-0.169352374255025,-0.00268799219854816,-0.519702365377882,1,-0.0880182445211945,0.0272943396830354,0.729438950575382,0.162187899599531,0.613300520458248,-0.344028170409924
"195_G1FN",-0.0503681635784796,-0.236649277020682,-0.559258876737494,0.038543698422957,-0.0541902037764608,0.136175954136441,0.641270751269403,0.798922623237101,0.0561636410109097,0.0293347610575874,0.115468816091526,-0.266651310051778,-0.0880182445212016,1,-0.0711244640702847,-0.0721148020078535,0.443562457529767,0.45061278070429,-0.0303339031928819
"196_G2NS",0.0104885315303364,-0.0518598959381287,0.0474271645805443,-0.00147604274680556,0.035177619796469,0.0204284452018979,-0.0238672240793312,-0.0379354553435527,-0.0739428706535398,0.44429787562664,0.165162082656006,0.121351526504201,0.0272943396830342,-0.0711244640702878,1,-0.109938850074979,-0.160787644755659,0.0519614646146122,0.100625268085721
"197_G2FS",-0.110989556538891,0.0501573590948426,-0.0256325031418747,-0.215817888234184,-0.162430040060849,-0.0457117993852192,-0.297902243037902,0.058600120245918,0.379281719495348,0.267321615896776,-0.0123478462417248,0.781787401356029,0.729438950575386,-0.0721148020078624,-0.109938850074982,1,-0.418742620942366,-0.353779592783766,0.652615327898438
"199_G2FN",0.0425152081841393,0.210727939845371,0.0776101193285946,-0.209537412470827,0.0661302582895181,-0.148516563251719,-0.384201076948912,-0.145842488111179,0.114383029426486,0.276423564835953,-0.0502394025972582,0.763361600957736,0.162187899599546,0.443562457529767,-0.160787644755664,-0.418742620942381,1,-0.395820368235303,0.638755575349248
"200_G1FNS",-0.0982081046137161,-0.0058244006579908,0.0955155655010287,0.0329964759885602,0.0960994817378002,0.0975859754356121,-0.493573718282073,-0.121825249034724,-0.0880773865711541,0.0465233909695095,-0.0999892043755495,0.370658271642493,0.613300520458253,0.450612780704288,0.0519614646146084,-0.353779592783772,-0.395820368235301,1,0.53602823195601
"201_G2FNS",0.113621223723196,-0.0415711127082601,-0.0159297173757917,-0.0364216510730353,-0.177289077301532,-0.0272835255625733,0.228500923930664,-0.0554579582555365,0.0657554410511227,-0.0469074044292497,-0.0217459602577101,-0.615096472521456,-0.344028170409928,-0.0303339031928772,0.100625268085725,0.652615327898441,0.638755575349243,0.536028231956006,1
