"","139_G1","148_G0N","154_G0F","164_G2","165_G1S","173_G1N","176_G1F","182_G0FN","184_G2S","187_G2N","188_G1NS","189_G2F","190_G1FS","195_G1FN","196_G2NS","197_G2FS","199_G2FN","200_G1FNS","201_G2FNS"
"139_G1",1,-0.208702250589894,-0.200878803745276,0.645853872025203,0.52784372736453,0.380895954955252,0.211130291809647,-0.0245520164547807,-0.246285166293072,-0.230958665721623,0.247980702364627,-0.0208389398760087,-0.119369682807025,0.052784244351729,-0.19595011147729,-0.0429563538650751,-0.0667160616128478,-0.0926407261229412,0.10065540232489
"148_G0N",-0.208702250589891,1,-0.369677419921997,0.0207058387046696,-0.143143221866606,0.447343408805844,0.123370130597659,0.456956153198358,-0.083868044697754,-0.0144389583234785,0.0582677928883736,-0.0964741503352073,0.037497140126681,-0.229795073619158,-0.0883312078921431,0.137079069440495,0.0819795070204468,0.0853018034941943,-0.104003991206979
"154_G0F",-0.200878803745266,-0.369677419921994,1,0.0732454738153855,-0.060984571696811,0.063669113186332,0.626242677048525,0.793131541897235,0.00604347622092954,0.0446402444694563,0.116368206123629,-0.149031171775862,0.0570828564395702,-0.432863762897434,-0.00909123976041454,-0.0498432332746617,0.0836725574900241,-0.00194940172005416,0.0386740970794777
"164_G2",0.645853872025207,0.0207058387046735,0.0732454738153959,1,-0.522092839909306,-0.306793002142471,-0.175966573543302,-0.0135244662366437,0.746961971979308,0.601908554121301,-0.16235726969694,0.287023013730885,0.173863541571155,-0.0131238012368526,0.111755068289772,-0.22944332488795,-0.0600122101730116,0.0379685678472982,-0.07080775795923
"165_G1S",0.527843727364534,-0.143143221866602,-0.0609845716968026,-0.522092839909309,1,-0.17984083299552,-0.10741265621226,0.0681130044288199,0.531516007051784,0.298690283895566,-0.0141392995882957,0.0148524514308016,0.385004358900581,-0.000834648340276949,0.0472179196662245,0.00589626310631119,-0.0794522319793962,0.0281979906195226,-0.0746126369578577
"173_G1N",0.38089595495525,0.447343408805847,0.0636691131863415,-0.306793002142464,-0.179840832995515,1,-0.110443791035474,-0.195981445968817,0.201966470842971,0.618873599075344,0.47093949388756,-0.00610859930370134,0.0581503319745081,0.272885962412058,-0.300529970025832,-0.0496469312160825,-0.0573252546669352,-0.0517988214376846,0.00460312187564811
"176_G1F",0.211130291809641,0.123370130597662,0.626242677048541,-0.175966573543294,-0.10741265621225,-0.110443791035472,1,-0.517493358706132,0.00513856283259547,0.111923995200824,-0.059150786186509,0.665173711358267,0.589179026044886,0.637445159793897,0.00102738898015003,-0.351013553560697,-0.406302734871817,-0.455792735755399,0.306119835497899
"182_G0FN",-0.0245520164547913,0.456956153198353,0.793131541897237,-0.0135244662366321,0.0681130044288292,-0.195981445968806,-0.517493358706115,1,0.0449203221859686,0.0771257433682926,0.0428011991804,0.202115019538821,-0.00076657887479898,0.68693154271098,-0.0609290128324294,-0.0436066069218122,-0.277675124336764,-0.125402959650687,0.0857530675995196
"184_G2S",-0.246285166293079,-0.083868044697757,0.00604347622092426,0.746961971979312,0.531516007051785,0.201966470842979,0.00513856283260157,0.0449203221859748,1,-0.465346607755973,-0.000285247563688053,-0.248964422141916,-0.210172890042185,-0.0425934397202133,-0.0882664966021193,0.423431719806462,0.147429034681176,0.0247500608773067,-0.0477307053205495
"187_G2N",-0.230958665721624,-0.01443895832348,0.0446402444694472,0.601908554121297,0.298690283895563,0.618873599075346,0.111923995200829,0.0771257433683022,-0.465346607755966,1,-0.296462572651523,-0.16600870106244,-0.165090318458239,-0.217820581499361,0.503189453996632,0.128512733968267,0.246975275060283,0.090717297480199,0.019985141492741
"188_G1NS",0.247980702364626,0.0582677928883726,0.116368206123627,-0.16235726969694,-0.014139299588295,0.470939493887561,-0.0591507861865087,0.0428011991804021,-0.000285247563688119,-0.296462572651525,1,0.0902993190231235,-0.0177601118541569,-0.135023819018431,0.707756376500904,0.0116258604802155,-0.00665949028567231,0.0149684321728147,0.0274953963170533
"189_G2F",-0.0208389398760104,-0.0964741503352113,-0.149031171775877,0.287023013730884,0.0148524514307975,-0.0061085993036954,0.665173711358268,0.202115019538838,-0.248964422141913,-0.166008701062443,0.0902993190231229,1,-0.551673035871195,-0.440526328144589,-0.0576142701823571,0.782199428191338,0.648091735269992,0.424088429064798,-0.624956985111662
