"","139_G1","148_G0N","154_G0F","164_G2","165_G1S","173_G1N","176_G1F","182_G0FN","184_G2S","187_G2N","188_G1NS","189_G2F","190_G1FS","195_G1FN","196_G2NS","197_G2FS","199_G2FN","200_G1FNS","201_G2FNS"
"139_G1",1,-0.328863624715981,-0.225665782231648,0.47789630890215,0.280660458611294,0.524883783096516,0.205929454090535,0.0969351265630665,0.089658823390204,-0.20664334880315,0.131622266970349,0.0385799412128543,0.0551530329137493,0.00679259257819714,-0.135987834062149,-0.150261417578914,-0.0859150763370124,-0.179592821267121,0.131032250025083
"148_G0N",-0.328863624715981,1,-0.403471210854895,-0.00634145338329203,-0.0298159068572286,0.570644351744702,0.184284227854143,0.472344409115528,0.0132399037017519,0.00759132578591873,-0.011069137783516,0.0102854227110937,-0.0115294052388865,-0.263340213164147,0.00564429830726391,-0.0195107788168578,0.0258069234634041,0.0649624556807065,-0.0298514358932638
"154_G0F",-0.22566578223165,-0.403471210854897,1,0.0336626311062751,0.0541277578509753,0.137446499956986,0.613514167153204,0.869512384968481,0.0478082081784236,0.00846383106880768,0.149962600821023,-0.0627755941072583,0.215506518024279,-0.524406001452894,0.00402702291981099,-0.206830704743456,0.128382192344705,-0.192212179144902,0.138833858191984
"164_G2",0.477896308902143,-0.00634145338329292,0.0336626311062706,1,-0.457659291334278,-0.237244877463096,-0.116288834823944,-0.0400037750963085,0.638309459113544,0.702351914164762,-0.0364871077353106,0.298731015012806,0.183017041976471,0.0183036377125227,-0.05848640547708,-0.309100139076078,-0.0862000569942087,0.0211649493688424,-0.0739848226243642
"165_G1S",0.280660458611288,-0.0298159068572292,0.0541277578509701,-0.457659291334275,1,-0.235020919055851,0.0222785604472408,-0.102260941509708,0.492809299049001,0.475584769917688,-0.0126222510452635,-0.0867868970281595,0.210520045007962,0.0369551350000378,-0.0510175786502016,0.0813266930408535,-0.0456831062457601,0.220254907597671,-0.336413610131193
"173_G1N",0.524883783096511,0.5706443517447,0.137446499956982,-0.237244877463093,-0.23502091905585,1,-0.103494545846472,-0.235465230612761,0.0653322469566999,0.473210613303225,0.529762358700112,-0.108045383170562,0.0618727476641468,0.187383469185962,-0.32545747633101,-0.001639249764666,0.118019429895521,0.0750101714451505,-0.103987381288935
"176_G1F",0.205929454090542,0.184284227854146,0.613514167153208,-0.116288834823947,0.0222785604472301,-0.103494545846479,1,-0.534527713463637,-0.148630843280449,0.0312529040649575,-0.0709487350064704,0.582751720668421,0.424907220314347,0.692115660062777,0.010685580439696,-0.0966941991935543,-0.378912975253515,-0.274384796518567,0.12511391899964
"182_G0FN",0.0969351265630675,0.472344409115529,0.86951238496848,-0.0400037750963101,-0.102260941509711,-0.235465230612765,-0.534527713463635,1,0.0112891393479786,0.0676564404077558,-0.0426956747459513,0.0930480062327865,-0.122659753482056,0.681145949829906,-0.0632046475110453,0.134059842549319,-0.18719177515944,0.140831706525829,-0.136077865593722
"184_G2S",0.0896588233902144,0.0132399037017544,0.047808208178431,0.638309459113538,0.492809299048996,0.065332246956699,-0.148630843280451,0.0112891393479734,1,-0.535854873161752,-0.165541153349473,-0.159808292443212,-0.252107941251662,-0.0320126662133082,0.144394107764772,0.550134665436673,0.129674036262084,0.0610893927112718,-0.0155881786310901
"187_G2N",-0.206643348803142,0.00759132578592007,0.00846383106881348,0.702351914164753,0.475584769917685,0.473210613303225,0.0312529040649503,0.0676564404077524,-0.53585487316175,1,-0.329201850066427,-0.141799761257727,-0.1954125708308,-0.118193044854439,0.611885785887022,0.225415140410071,0.15699218618847,0.0138224624485834,0.0468605066574727
