,start,end,kept
0,108,135,no
1,108,139,no
2,108,148,no
3,108,154,no
4,135,164,Dep
5,135,167,no
6,135,174,no
7,139,164,NotImp
8,139,165,no
9,139,172,no
10,139,173,no
11,139,176,no
12,148,167,no
13,148,173,no
14,148,182,no
15,154,174,no
16,154,176,no
17,154,182,no
18,164,184,no
19,164,186,no
20,164,187,NotImp
21,164,189,NotImp
22,165,184,no
23,165,190,no
24,165,194,no
25,167,187,Dep
26,167,192,no
27,172,186,no
28,172,188,Dep
29,173,187,NotImp
30,173,188,NotImp
31,173,194,no
32,173,195,no
33,174,189,Dep
34,174,192,no
35,176,189,NotImp
36,176,190,no
37,176,195,no
38,182,192,no
39,182,195,no
40,184,197,no
41,184,198,no
42,186,196,Dep
43,187,196,NotImp
44,187,198,no
45,187,199,NotImp
46,188,196,NotImp
47,189,197,no
48,189,199,NotImp
49,190,197,no
50,190,200,NotImp
51,192,199,Dep
52,194,198,no
53,194,200,Dep
54,195,199,NotImp
55,195,200,NotImp
56,197,201,NotImp
57,198,201,Dep
58,199,201,NotImp
59,200,201,NotImp
