,1,4,3
77,1.0,1.0,1.0
84,1.0,1.0,1.0
92,0.0,0.0,0.0
104,1.0,1.0,1.0
114,0.89,0.67,0.97
115,1.0,1.0,1.0
120,1.0,1.0,1.0
136,0.0,0.0,0.0
149,0.98,0.97,0.97
150,0.89,0.67,0.97
151,1.0,1.0,1.0
163,0.89,0.67,0.97
167,1.0,1.0,1.0
168,1.0,1.0,1.0
173,0.06,0.01,0.07
184,0.89,0.67,0.97
202,0.0,0.0,0.0
212,0.89,0.67,0.97
213,0.89,0.67,0.97
214,0.98,0.97,0.97
215,0.89,0.67,0.97
216,1.0,1.0,1.0
217,0.89,0.67,0.97
227,0.8,0.0,0.0
231,0.06,0.01,0.07
232,1.0,1.0,1.0
237,0.06,0.01,0.07
249,0.89,0.67,0.97
254,0.89,0.67,0.97
256,0.98,0.97,0.97
287,0.89,0.67,0.97
288,0.98,0.97,0.97
300,0.89,0.67,0.97
301,0.89,0.67,0.97
302,0.89,0.67,0.97
303,0.89,0.67,0.45
304,0.8,0.0,0.0
314,0.06,0.01,0.07
316,1.0,1.0,1.0
322,0.06,0.01,0.07
328,0.89,0.67,0.97
332,0.06,0.01,0.07
335,0.89,0.67,0.97
336,0.89,0.67,0.97
341,0.8,0.0,0.0
343,0.98,0.97,0.97
344,0.89,0.67,0.97
351,0.05,0.01,0.06
399,0.89,0.67,0.97
400,0.77,0.9,0.45
403,0.8,0.52,0.73
414,0.89,0.67,0.97
415,0.8,0.0,0.0
416,0.8,0.0,0.0
426,0.06,0.01,0.07
430,0.06,0.01,0.07
438,0.89,0.67,0.97
439,0.89,0.67,0.97
440,0.06,0.01,0.07
447,0.8,0.0,0.0
450,0.98,0.97,0.97
451,0.89,0.67,0.97
452,0.89,0.67,0.97
454,0.89,0.67,0.45
487,0.06,0.01,0.07
500,0.05,0.01,0.06
545,0.89,0.67,0.97
546,0.89,0.67,0.45
548,0.8,0.0,0.0
550,0.8,0.52,0.73
556,0.8,0.0,0.0
563,0.06,0.01,0.07
571,0.89,0.67,0.97
575,0.06,0.01,0.07
577,0.8,0.0,0.0
585,0.89,0.67,0.97
586,0.77,0.9,0.45
588,0.8,0.52,0.73
589,0.8,0.0,0.0
599,0.06,0.01,0.07
606,0.06,0.01,0.07
641,0.06,0.01,0.07
713,0.72,0.67,0.45
714,0.8,0.52,0.73
721,0.8,0.0,0.0
722,0.8,0.0,0.0
724,0.8,0.0,0.0
726,0.8,0.0,0.0
729,0.01,0.0,0.01
739,0.8,0.0,0.0
740,0.06,0.01,0.07
745,0.89,0.67,0.97
746,0.89,0.67,0.45
748,0.8,0.0,0.0
750,0.8,0.52,0.73
751,0.05,0.01,0.06
752,0.05,0.01,0.06
800,0.06,0.01,0.07
810,0.06,0.01,0.07
814,0.06,0.01,0.07
908,0.63,0.0,0.0
909,0.63,0.52,0.38
910,0.8,0.0,0.0
914,0.8,0.0,0.0
915,0.01,0.0,0.01
920,0.0,0.0,0.0
923,0.06,0.0,0.0
924,0.8,0.0,0.0
927,0.72,0.67,0.45
928,0.8,0.52,0.73
929,0.8,0.0,0.0
930,0.8,0.0,0.0
932,0.8,0.0,0.0
982,0.06,0.01,0.07
985,0.05,0.01,0.06
986,0.05,0.01,0.06
1109,0.63,0.0,0.0
1110,0.8,0.0,0.0
1111,0.63,0.0,0.0
1118,0.06,0.0,0.0
1119,0.63,0.0,0.0
1120,0.63,0.52,0.38
1121,0.8,0.0,0.0
1122,0.8,0.0,0.0
1134,0.06,0.01,0.07
1158,0.06,0.0,0.0
1251,0.01,0.0,0.01
1296,0.63,0.0,0.0
1298,0.0,0.0,0.0
1301,0.63,0.0,0.0
1302,0.8,0.0,0.0
1303,0.63,0.0,0.0
1305,0.05,0.01,0.06
1326,0.06,0.0,0.0
1327,0.06,0.01,0.07
1407,0.01,0.0,0.01
1455,0.63,0.0,0.0
1465,0.06,0.0,0.0
1467,0.05,0.01,0.06
1479,0.24,0.0,0.0
1535,0.01,0.0,0.0
1568,0.0,0.0,0.0
1571,0.06,0.0,0.0
1572,0.05,0.0,0.0
1578,0.06,0.0,0.0
1584,0.01,0.0,0.01
1618,0.01,0.0,0.0
1640,0.24,0.0,0.0
1641,0.05,0.0,0.0
1643,0.06,0.0,0.0
1644,0.05,0.0,0.0
1647,0.01,0.0,0.01
1679,0.05,0.0,0.0
1695,0.01,0.0,0.0
1700,0.01,0.0,0.0
