,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,B4GalT1,B4GalT2,B4GalT3,WT,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
3865.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12225126171593367,0.15982507743967517,0.17423819988847705,0.0,0.0,0.0,0.0
2605.1,0.0,0.20651602732527585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G90130AG,0.0,0.0,0.0,0.003677333541976371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G10691MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034708658854166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G04483SK,0.0,0.0,0.0,0.7824113919098662,0.0,0.026568478810194213,0.03411214953271029,0.045979817708333336,0.0,0.015275775054073541,0.0,0.016433233837373305,0.0,0.0,0.026660658630918852,0.031646876613319566
G56516KW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155293209025211,0.06304682512860951,0.011099638616417138
G07568IR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16719563802083334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G85809SI,0.0,0.0,0.07602406517170904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G88966ZO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401.1,0.0,0.03135400245226835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G49604DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011863658783520678,0.01340573179524153,0.021526928182835726,0.04952930757371994,0.04846839860411012,0.0,0.0,0.0
G05098FE,0.0,0.0,0.23975934828290973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G39813YP,0.0,0.0,0.0838826678948732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3416.1,0.0,0.0,0.0,0.0,0.0,0.02281423723918851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G79457WN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05887697619480284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
