,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
EPO127.mgat1.,0.0,0.0,0.72793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPO174.mgat2.,1.0,1.0,0.0,0.0,1.0,0.4,0.48765,0.0,0.27448,0.98746,0.48765,0.0,0.0,0.27448,0.0,0.0,0.0,0.48765,0.0,0.0,0.0,0.48765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPO266.fut8.,1.0,1.0,0.0,1.0,0.0,0.0,0.08909,1.0,0.835,0.45944,0.0,0.45944,0.0,0.0,0.59524,0.05001,0.08387,0.08909,0.89791,0.0,0.0,0.0,0.0,0.05001,0.08634,0.0,0.0,0.05762,0.0,0.21483,0.0196,0.0,0.0,0.03224,0.0
KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.9928,0.98561,0.0,0.9804,0.98561,0.98536,0.0,0.9586,0.0,0.0,0.0,0.0,0.9586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.99476,0.0,0.0,0.97687,0.0,0.98402,0.10578,0.0,0.0,0.0,0.10578,0.0,0.0,0.0,0.0,0.07605,0.0,0.0,0.0,0.07605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03158,0.0,0.0,0.0,0.0,0.0,0.0
B3gnt2.mgat4a.mgat4b.mgat5,0.99319,0.95227,0.0,0.99092,0.95227,0.99183,0.0,0.85737,0.0,0.0,0.0,0.0,0.85737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgat4A.mgat4B.mgat5,1.0,0.97343,0.0,1.0,0.97343,1.0,0.02281,0.88961,0.0,0.0,0.02281,0.0,0.88961,0.0,0.0,0.00913,0.02281,0.0,0.0,0.00913,0.02281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgat5,1.0,0.96835,0.0,1.0,0.96835,1.0,0.0111,0.94552,0.51626,0.66784,0.0111,0.66784,0.94552,0.51626,0.0,0.00444,0.0111,0.0111,0.62994,0.00444,0.0111,0.0111,0.62994,0.00444,0.0111,0.00444,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgat4A.mgat4B,1.0,0.97334,0.0,1.0,0.97334,1.0,0.06748,0.79729,0.73358,0.97334,0.06748,0.97334,0.79729,0.73358,0.0,0.03187,0.06571,0.06748,0.6635,0.03187,0.06571,0.06748,0.6635,0.03187,0.06654,0.03187,0.06654,0.0,0.0,0.0,0.00665,0.0,0.00665,0.0,0.0
EPO78.mgat4B.,1.0,1.0,0.0,1.0,1.0,1.0,0.15529,1.0,0.55166,1.0,0.15529,1.0,1.0,0.55166,0.0,0.06212,0.15529,0.15529,0.88792,0.06212,0.15529,0.15529,0.88792,0.06212,0.15529,0.06212,0.15529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st3gal4.st3gal6,1.0,0.0,0.0,0.99622,0.0,0.99773,0.1851,0.0,0.0,0.55866,0.1851,0.9311,0.0,0.0,0.73256,0.14749,0.0,0.1234,0.0,0.14749,0.0,0.1234,0.0,0.14749,0.0,0.14749,0.0,0.16918,0.0,0.0,0.0,0.16918,0.0,0.0,0.03407
B4GalT1,0.70273,0.34659,0.0,0.53808,0.34659,0.60394,0.01186,0.25471,0.2563,0.42774,0.01186,0.38666,0.25471,0.2563,0.25264,0.00475,0.01186,0.01186,0.2429,0.00475,0.01186,0.01186,0.2429,0.00475,0.01186,0.00475,0.01186,0.00593,0.0,0.05043,0.0,0.00593,0.0,0.00216,0.03514
B4GalT2,1.0,0.98472,0.0,1.0,0.98472,1.0,0.04726,0.92038,0.66096,0.81962,0.04726,0.81962,0.92038,0.66096,0.55214,0.01996,0.04688,0.04726,0.74939,0.01996,0.04688,0.04726,0.74939,0.01996,0.04706,0.01996,0.04706,0.02459,0.0,0.15943,0.00144,0.02459,0.00144,0.00379,0.09807
B4GalT3,1.0,1.0,0.0,1.0,1.0,1.0,0.08522,0.93189,0.69573,0.87857,0.08522,0.87857,0.93189,0.69573,0.64487,0.03649,0.08435,0.08522,0.7929,0.03649,0.08435,0.08522,0.7929,0.03649,0.08476,0.03649,0.08476,0.0448,0.0,0.20385,0.00328,0.0448,0.00328,0.007,0.12365
B4GalT4,1.0,1.0,0.0,1.0,1.0,1.0,0.05196,1.0,0.90379,0.93554,0.05196,0.93554,1.0,0.90379,0.75204,0.02462,0.05056,0.05196,0.9276,0.02462,0.05056,0.05196,0.9276,0.02462,0.05122,0.02462,0.05122,0.02947,0.0,0.23095,0.00523,0.02947,0.00523,0.01373,0.14405
WT,1.0,0.98357,0.0,1.0,0.98357,1.0,0.05443,0.9126,0.80218,0.8935,0.05443,0.8935,0.9126,0.80218,0.80218,0.02716,0.05247,0.05443,0.82711,0.02716,0.05247,0.05443,0.82711,0.02716,0.0534,0.02716,0.0534,0.03211,0.0,0.22534,0.00735,0.03211,0.00735,0.01591,0.14502
