,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,B4GalT1,B4GalT2,B4GalT3,WT,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
EPO127.mgat1.,1.0,0.0042,-0.1066,0.0526,0.0219,0.0221,0.0244,-0.0398,-0.0219,-0.123,-0.1371,-0.1437,-0.147,-0.0805,-0.0671,-0.053
EPO174.mgat2.,0.0042,1.0,0.0927,0.2639,0.2493,0.257,0.2582,0.2697,0.3681,0.2537,0.2438,0.1777,0.1681,0.3759,0.4046,0.3536
EPO266.fut8.,-0.1066,0.0927,1.0,0.1215,0.2114,0.2069,0.2093,0.2005,0.3478,0.4909,0.4907,0.4843,0.4931,0.4014,0.3993,0.4123
st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.0526,0.2639,0.1215,1.0,0.7337,0.7576,0.7632,0.5293,0.5208,0.3708,0.3326,0.2771,0.2496,0.3478,0.3884,0.4894
KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.0219,0.2493,0.2114,0.7337,1.0,0.9968,0.9957,0.3116,0.4907,0.5301,0.4839,0.4074,0.3977,0.4985,0.5024,0.6786
mgat4A.mgat4B.mgat5,0.0221,0.257,0.2069,0.7576,0.9968,1.0,0.9996,0.3261,0.4924,0.5264,0.4803,0.4034,0.389,0.4941,0.5075,0.6745
B3gnt2.mgat4a.mgat4b.mgat5,0.0244,0.2582,0.2093,0.7632,0.9957,0.9996,1.0,0.3326,0.5021,0.5326,0.4865,0.4107,0.3954,0.4957,0.512,0.6773
st3gal4.st3gal6,-0.0398,0.2697,0.2005,0.5293,0.3116,0.3261,0.3326,1.0,0.612,0.4768,0.4772,0.4288,0.3883,0.4515,0.5109,0.4531
B4GalT1,-0.0219,0.3681,0.3478,0.5208,0.4907,0.4924,0.5021,0.612,1.0,0.772,0.7634,0.7304,0.7149,0.6533,0.6896,0.7001
B4GalT2,-0.123,0.2537,0.4909,0.3708,0.5301,0.5264,0.5326,0.4768,0.772,1.0,0.997,0.9721,0.968,0.8173,0.8264,0.8588
B4GalT3,-0.1371,0.2438,0.4907,0.3326,0.4839,0.4803,0.4865,0.4772,0.7634,0.997,1.0,0.9819,0.9719,0.7931,0.8028,0.8251
WT,-0.1437,0.1777,0.4843,0.2771,0.4074,0.4034,0.4107,0.4288,0.7304,0.9721,0.9819,1.0,0.987,0.6747,0.6976,0.7178
B4GalT4,-0.147,0.1681,0.4931,0.2496,0.3977,0.389,0.3954,0.3883,0.7149,0.968,0.9719,0.987,1.0,0.7042,0.7125,0.7438
EPO78.mgat4B.,-0.0805,0.3759,0.4014,0.3478,0.4985,0.4941,0.4957,0.4515,0.6533,0.8173,0.7931,0.6747,0.7042,1.0,0.9569,0.9641
mgat4A.mgat4B,-0.0671,0.4046,0.3993,0.3884,0.5024,0.5075,0.512,0.5109,0.6896,0.8264,0.8028,0.6976,0.7125,0.9569,1.0,0.946
mgat5,-0.053,0.3536,0.4123,0.4894,0.6786,0.6745,0.6773,0.4531,0.7001,0.8588,0.8251,0.7178,0.7438,0.9641,0.946,1.0
