,EPO266.fut8.,WT
0,1.0,1.0
2,1.0,1.0
3,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
49,1.0,1.0
50,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
80,1.0,1.0
81,1.0,1.0
83,1.0,1.0
84,1.0,1.0
87,1.0,1.0
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
100,1.0,1.0
101,1.0,1.0
102,1.0,1.0
114,1.0,1.0
115,1.0,1.0
116,1.0,1.0
117,1.0,1.0
118,1.0,1.0
119,1.0,1.0
120,1.0,1.0
121,1.0,1.0
122,1.0,1.0
123,1.0,1.0
124,1.0,1.0
125,1.0,1.0
126,1.0,1.0
127,1.0,1.0
128,1.0,1.0
129,1.0,1.0
130,1.0,1.0
134,1.0,1.0
143,1.0,1.0
144,1.0,1.0
152,1.0,1.0
153,1.0,1.0
154,1.0,1.0
155,1.0,1.0
156,1.0,1.0
157,1.0,1.0
158,1.0,1.0
159,1.0,1.0
160,1.0,1.0
161,1.0,1.0
162,1.0,1.0
177,1.0,1.0
178,1.0,1.0
179,1.0,1.0
180,1.0,1.0
181,1.0,1.0
182,1.0,1.0
183,1.0,1.0
184,1.0,1.0
185,1.0,1.0
186,1.0,1.0
187,1.0,1.0
188,1.0,1.0
189,1.0,1.0
190,1.0,1.0
191,1.0,1.0
192,1.0,1.0
195,1.0,1.0
196,1.0,1.0
197,1.0,1.0
198,1.0,1.0
207,1.0,1.0
208,1.0,1.0
209,1.0,1.0
221,1.0,1.0
222,1.0,1.0
223,1.0,1.0
224,1.0,1.0
225,1.0,1.0
226,1.0,1.0
227,1.0,1.0
228,1.0,1.0
229,1.0,1.0
230,1.0,1.0
231,1.0,1.0
232,1.0,1.0
233,1.0,1.0
234,1.0,1.0
235,1.0,1.0
252,1.0,1.0
253,1.0,1.0
254,1.0,1.0
255,1.0,1.0
256,1.0,1.0
257,1.0,1.0
258,1.0,1.0
259,1.0,1.0
260,1.0,1.0
261,1.0,1.0
262,1.0,1.0
263,1.0,1.0
264,1.0,1.0
265,1.0,1.0
266,1.0,1.0
271,1.0,1.0
272,1.0,1.0
273,1.0,1.0
281,1.0,1.0
285,1.0,1.0
286,1.0,1.0
287,1.0,1.0
288,1.0,1.0
304,1.0,1.0
305,1.0,1.0
306,1.0,1.0
307,1.0,1.0
308,1.0,1.0
309,1.0,1.0
310,1.0,1.0
311,1.0,1.0
312,1.0,1.0
313,1.0,1.0
314,1.0,1.0
315,1.0,1.0
316,1.0,1.0
317,1.0,1.0
318,1.0,1.0
319,1.0,1.0
320,1.0,1.0
321,1.0,1.0
335,1.0,1.0
336,1.0,1.0
337,1.0,1.0
338,1.0,1.0
339,1.0,1.0
340,1.0,1.0
341,1.0,1.0
344,1.0,1.0
345,1.0,1.0
346,1.0,1.0
350,1.0,1.0
351,1.0,1.0
372,1.0,1.0
373,1.0,1.0
374,1.0,1.0
375,1.0,1.0
376,1.0,1.0
377,1.0,1.0
378,1.0,1.0
397,1.0,1.0
398,1.0,1.0
399,1.0,1.0
400,1.0,1.0
401,1.0,1.0
402,1.0,1.0
403,1.0,1.0
404,1.0,1.0
405,1.0,1.0
406,1.0,1.0
407,1.0,1.0
408,1.0,1.0
416,1.0,1.0
417,1.0,1.0
418,1.0,1.0
422,1.0,1.0
423,1.0,1.0
424,1.0,1.0
450,1.0,1.0
458,1.0,1.0
459,1.0,1.0
460,1.0,1.0
461,1.0,1.0
462,1.0,1.0
463,1.0,1.0
464,1.0,1.0
477,1.0,1.0
478,1.0,1.0
479,1.0,1.0
480,1.0,1.0
481,1.0,1.0
482,1.0,1.0
483,1.0,1.0
487,1.0,1.0
488,1.0,1.0
524,1.0,1.0
525,1.0,1.0
526,1.0,1.0
527,1.0,1.0
528,1.0,1.0
529,1.0,1.0
530,1.0,1.0
557,1.0,1.0
558,1.0,1.0
559,1.0,1.0
