,st3gal4.st3gal6,EPO266.fut8.,WT
0,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
6,0.963180385893728,1.0,1.0
7,0.9886474609375,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,0.9506861063464837,1.0,1.0
17,0.963180385893728,1.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,1.0,1.0,1.0
22,0.9506861063464837,1.0,1.0
23,1.0,1.0,1.0
24,0.9506861063464837,1.0,1.0
25,1.0,1.0,1.0
35,1.0,1.0,1.0
36,0.963180385893728,1.0,1.0
37,1.0,1.0,1.0
38,1.0,1.0,1.0
39,1.0,1.0,1.0
40,1.0,1.0,1.0
41,0.9506861063464837,1.0,1.0
44,1.0,1.0,1.0
45,1.0,1.0,1.0
46,0.9506861063464837,1.0,1.0
49,1.0,1.0,1.0
50,0.9506861063464837,1.0,1.0
66,1.0,1.0,1.0
67,1.0,1.0,1.0
68,1.0,1.0,1.0
69,0.9506861063464837,1.0,1.0
70,1.0,1.0,1.0
71,1.0,1.0,1.0
72,0.9506861063464837,1.0,1.0
73,1.0,1.0,1.0
74,0.9506861063464837,1.0,1.0
75,1.0,1.0,1.0
76,1.0,1.0,1.0
80,1.0,1.0,1.0
81,1.0,1.0,1.0
114,0.9335896731667125,1.0,1.0
115,1.0,1.0,1.0
116,1.0,1.0,1.0
117,0.9506861063464837,1.0,1.0
118,0.9506861063464837,1.0,1.0
119,1.0,1.0,1.0
120,0.9506861063464837,1.0,1.0
121,1.0,1.0,1.0
122,1.0,1.0,1.0
123,1.0,1.0,1.0
124,1.0,1.0,1.0
125,1.0,1.0,1.0
126,1.0,1.0,1.0
127,1.0,1.0,1.0
130,1.0,1.0,1.0
134,1.0,1.0,1.0
177,1.0,1.0,1.0
178,0.9506861063464837,1.0,1.0
179,1.0,1.0,1.0
180,0.9506861063464837,1.0,1.0
181,1.0,1.0,1.0
182,1.0,1.0,1.0
183,1.0,1.0,1.0
184,1.0,1.0,1.0
185,1.0,1.0,1.0
186,1.0,1.0,1.0
187,1.0,1.0,1.0
188,1.0,1.0,1.0
189,1.0,1.0,1.0
190,1.0,1.0,1.0
191,1.0,1.0,1.0
192,1.0,1.0,1.0
252,0.9506861063464837,1.0,1.0
253,1.0,1.0,1.0
254,1.0,1.0,1.0
255,1.0,1.0,1.0
256,1.0,1.0,1.0
257,1.0,1.0,1.0
258,1.0,1.0,1.0
259,1.0,1.0,1.0
260,1.0,1.0,1.0
261,1.0,1.0,1.0
262,1.0,1.0,1.0
263,1.0,1.0,1.0
264,1.0,1.0,1.0
335,1.0,1.0,1.0
336,1.0,1.0,1.0
337,1.0,1.0,1.0
338,1.0,1.0,1.0
339,1.0,1.0,1.0
340,1.0,1.0,1.0
341,1.0,1.0,1.0
416,1.0,1.0,1.0
417,1.0,1.0,1.0
418,1.0,1.0,1.0
