,st3gal4.st3gal6,EPO266.fut8.,WT
0,0.28466796875,0.09562739284377787,0.05687670154492079
2,0.3019812664565977,0.10406942138404185,0.06365638766519824
3,0.28466796875,0.09562739284377787,0.05687670154492079
6,0.3135251411669804,0.10406942138404185,0.06365638766519824
7,0.3019812664565977,0.10406942138404185,0.06365638766519824
8,0.2879367823188048,0.09562739284377787,0.05687670154492079
9,0.22432716884679,0.2049969897652016,0.12918108419838525
15,0.3135251411669804,0.10406942138404185,0.06365638766519824
16,0.3019812664565977,0.10406942138404185,0.06365638766519824
17,0.3842900302114804,0.16065383499371313,0.07090284592737979
19,0.22432716884679,0.2049969897652016,0.12918108419838525
28,0.3135251411669804,0.10406942138404185,0.06365638766519824
29,0.3842900302114804,0.16065383499371313,0.07090284592737979
30,0.3842900302114804,0.16065383499371313,0.07090284592737979
31,0.22432716884679,0.2049969897652016,0.12918108419838525
35,0.22432716884679,0.2049969897652016,0.12918108419838525
47,0.3842900302114804,0.16065383499371313,0.07090284592737979
48,0.3842900302114804,0.16065383499371313,0.07090284592737979
49,0.22432716884679,0.2049969897652016,0.12918108419838525
50,0.22432716884679,0.2049969897652016,0.12918108419838525
51,0.22432716884679,0.2049969897652016,0.12918108419838525
72,0.4116262650035303,0.16065383499371313,0.07090284592737979
73,0.22432716884679,0.2049969897652016,0.12918108419838525
74,0.22432716884679,0.2049969897652016,0.12918108419838525
75,0.22432716884679,0.2049969897652016,0.12918108419838525
100,0.22432716884679,0.2049969897652016,0.12918108419838525
101,0.22432716884679,0.2049969897652016,0.12918108419838525
127,0.22432716884679,0.2049969897652016,0.12918108419838525
