,enzyme,index_source,index_target
0,{'A6FUCT'},0,2
1,{'B4GALT'},0,3
2,{'GNTIV'},0,4
3,{'GNTII'},0,5
4,{'B4GALT'},2,8
5,{'GNTIV'},2,9
6,{'GNTII'},2,10
7,"{'A6SIAT', 'A3SIAT'}",3,7
8,{'IGNT'},3,14
9,{'A6FUCT'},4,9
10,{'B4GALT'},4,11
11,{'GNTII'},4,13
12,{'A6FUCT'},5,10
13,{'B4GALT'},5,12
14,"{'GNTIV', 'GNTV'}",5,13
15,{'MANII'},6,1
16,{'A6FUCT'},6,15
17,"{'A6SIAT', 'A3SIAT'}",8,16
18,{'IGNT'},8,27
19,{'B4GALT'},9,19
20,{'GNTII'},9,21
21,{'B4GALT'},10,20
22,"{'GNTIV', 'GNTV'}",10,21
23,"{'A6SIAT', 'A3SIAT'}",11,17
24,{'B4GALT'},11,22
25,{'IGNT'},11,30
26,"{'A6SIAT', 'A3SIAT'}",12,18
27,{'B4GALT'},12,24
28,{'GNTV'},12,25
29,{'IGNT'},12,29
30,{'A6FUCT'},13,21
31,{'B4GALT'},13,23
32,{'B4GALT'},13,25
33,{'GNTV'},13,26
34,{'B4GALT'},14,28
35,{'B4GALT'},17,33
36,{'B4GALT'},18,35
37,{'GNTV'},18,36
38,"{'A6SIAT', 'A3SIAT'}",19,31
39,{'B4GALT'},19,37
40,{'IGNT'},19,53
41,"{'A6SIAT', 'A3SIAT'}",20,32
42,{'B4GALT'},20,39
43,{'GNTV'},20,40
44,{'IGNT'},20,47
45,{'B4GALT'},21,38
46,{'B4GALT'},21,40
47,{'GNTV'},21,41
48,"{'A6SIAT', 'A3SIAT'}",22,33
49,{'IGNT'},22,52
50,"{'A6SIAT', 'A3SIAT'}",23,34
51,{'B4GALT'},23,42
52,{'B4GALT'},23,43
53,{'GNTV'},23,44
54,{'IGNT'},23,45
55,"{'A6SIAT', 'A3SIAT'}",24,35
56,{'IGNT'},24,50
57,"{'A6SIAT', 'A3SIAT'}",25,36
58,{'B4GALT'},25,43
59,{'B4GALT'},26,44
60,{'B4GALT'},27,46
61,{'IGNT'},28,48
62,{'A3SIAT'},28,54
63,{'B4GALT'},29,49
64,{'B4GALT'},29,50
65,{'B4GALT'},30,51
66,{'B4GALT'},30,52
67,{'B4GALT'},31,57
68,{'B4GALT'},32,59
69,{'GNTV'},32,60
70,"{'A6SIAT', 'A3SIAT'}",33,55
71,{'B4GALT'},34,61
72,{'B4GALT'},34,62
73,{'GNTV'},34,64
74,"{'A6SIAT', 'A3SIAT'}",35,56
75,{'B4GALT'},36,63
76,"{'A6SIAT', 'A3SIAT'}",37,57
77,{'IGNT'},37,85
78,"{'A6SIAT', 'A3SIAT'}",38,58
79,{'B4GALT'},38,65
80,{'B4GALT'},38,66
81,{'GNTV'},38,67
82,{'IGNT'},38,68
83,"{'A6SIAT', 'A3SIAT'}",39,59
84,{'IGNT'},39,79
85,"{'A6SIAT', 'A3SIAT'}",40,60
86,{'B4GALT'},40,66
87,{'B4GALT'},41,67
88,"{'A6SIAT', 'A3SIAT'}",42,61
89,{'B4GALT'},42,69
90,{'GNTV'},42,70
91,{'IGNT'},42,74
92,"{'A6SIAT', 'A3SIAT'}",43,62
93,"{'A6SIAT', 'A3SIAT'}",43,63
94,{'B4GALT'},43,69
95,{'IGNT'},43,72
96,"{'A6SIAT', 'A3SIAT'}",44,64
97,{'B4GALT'},44,70
98,{'B4GALT'},44,71
99,{'IGNT'},44,73
100,{'B4GALT'},45,72
101,{'B4GALT'},45,74
102,{'B4GALT'},45,75
103,{'IGNT'},46,77
104,{'A3SIAT'},46,86
105,{'B4GALT'},47,78
106,{'B4GALT'},47,79
107,{'B4GALT'},48,76
108,{'IGNT'},49,80
109,{'B4GALT'},49,81
110,{'B4GALT'},50,81
111,{'IGNT'},50,82
112,{'B4GALT'},51,83
113,{'B4GALT'},52,83
114,{'B4GALT'},53,84
115,{'B4GALT'},53,85
116,"{'A6SIAT', 'A3SIAT'}",57,87
117,{'B4GALT'},58,91
118,{'B4GALT'},58,92
119,{'GNTV'},58,94
120,"{'A6SIAT', 'A3SIAT'}",59,88
121,{'B4GALT'},60,93
122,"{'A6SIAT', 'A3SIAT'}",61,89
123,{'B4GALT'},61,95
124,{'GNTV'},61,97
125,{'IGNT'},61,100
126,"{'A6SIAT', 'A3SIAT'}",62,90
127,{'B4GALT'},62,95
128,"{'A6SIAT', 'A3SIAT'}",63,90
129,{'B4GALT'},63,96
130,{'IGNT'},63,99
131,{'B4GALT'},64,97
132,{'B4GALT'},64,98
133,"{'A6SIAT', 'A3SIAT'}",65,91
134,{'B4GALT'},65,101
135,{'GNTV'},65,102
136,{'IGNT'},65,106
137,"{'A6SIAT', 'A3SIAT'}",66,92
138,"{'A6SIAT', 'A3SIAT'}",66,93
139,{'B4GALT'},66,101
140,{'IGNT'},66,104
141,"{'A6SIAT', 'A3SIAT'}",67,94
142,{'B4GALT'},67,102
143,{'B4GALT'},67,103
144,{'IGNT'},67,105
145,{'B4GALT'},68,104
146,{'B4GALT'},68,106
147,{'B4GALT'},68,107
148,"{'A6SIAT', 'A3SIAT'}",69,95
149,"{'A6SIAT', 'A3SIAT'}",69,96
150,{'IGNT'},69,110
151,"{'A6SIAT', 'A3SIAT'}",70,97
152,{'B4GALT'},70,108
153,{'IGNT'},70,111
154,"{'A6SIAT', 'A3SIAT'}",71,98
155,{'B4GALT'},71,108
156,{'IGNT'},71,109
157,"{'A6SIAT', 'A3SIAT'}",72,99
158,{'B4GALT'},72,110
159,{'B4GALT'},72,112
160,{'B4GALT'},73,109
161,{'B4GALT'},73,111
162,{'B4GALT'},73,113
163,"{'A6SIAT', 'A3SIAT'}",74,100
164,{'B4GALT'},74,110
165,{'B4GALT'},74,114
166,{'B4GALT'},75,112
167,{'B4GALT'},75,114
168,{'IGNT'},75,115
169,"{'A6SIAT', 'A3SIAT'}",75,116
170,{'A3SIAT'},76,124
171,{'B4GALT'},77,117
172,{'IGNT'},78,119
173,{'B4GALT'},78,120
174,{'B4GALT'},79,120
175,{'IGNT'},79,121
176,{'B4GALT'},80,118
177,{'B4GALT'},80,122
