"Coef","naiveSE","naiveZ","robustSE","robustZ","response","vars","type","robustPr","data"
"smallest_motif_abundance_dropped_more.X5.Secretor",0.185664153514215,0.249996362078784,0.742667421119131,0.185435457808676,1.00123329005273,"X5","Secretor","additive",0.316714035726144,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X18.Secretor",-1.68014761162148,0.26620210612373,-6.31154890577971,0.194108462580209,-8.65571541440249,"X18","Secretor","additive",4.89829428719976e-18,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X32.Secretor",0.713396047899623,0.473494170187914,1.50666279083542,0.386949361576283,1.84364187860014,"X32","Secretor","additive",0.0652353485515598,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X34.Secretor",0.343219406085707,0.304534604833468,1.12702924606349,0.219990493432489,1.56015562641135,"X34","Secretor","additive",0.118723108862047,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X35.Secretor",2.05918325392157,0.0557899763149488,36.9095559800376,0.0443369862970703,46.4439156988359,"X35","Secretor","additive",0,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X37.Secretor",-1.08198590477341,0.333053396223561,-3.24868599762643,0.283915688222493,-3.81094088723093,"X37","Secretor","additive",0.000138438871516931,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X40.Secretor",-1.61440754553553,0.299454048074052,-5.39116954978117,0.218353926595901,-7.39353567258377,"X40","Secretor","additive",1.42975068880568e-13,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X61.Secretor",-0.50912550155683,0.224366152260798,-2.26917249516778,0.18735467880558,-2.71744215197932,"X61","Secretor","additive",0.00657886547234654,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X62.Secretor",-1.37299085671654,0.379956658111118,-3.6135459858556,0.269165137018408,-5.10092381177374,"X62","Secretor","additive",3.37999612528027e-07,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X63.Secretor",-1.21718880139454,0.318274982535118,-3.82433074600902,0.348152413795296,-3.49613776370429,"X63","Secretor","additive",0.000472044922622768,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X64.Secretor",-1.62217977435873,0.449030845214296,-3.61262437012441,0.343115912311484,-4.72778940338418,"X64","Secretor","additive",2.2697742010332e-06,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X65.Secretor",1.79171599643001,0.216646498819992,8.27022825750216,0.169140104423627,10.5930879168815,"X65","Secretor","additive",3.20830351330194e-26,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X66.Secretor",-1.24651688163462,0.337262571542337,-3.69598344676721,0.248584486782106,-5.01445966226864,"X66","Secretor","additive",5.3182708034023e-07,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X94.Secretor",-0.936222189031968,0.283919333897085,-3.29749360912255,0.20563173422153,-4.55290713068325,"X94","Secretor","additive",5.29096337105574e-06,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X106.Secretor",-0.389601566130723,0.486696509195113,-0.800502076283712,0.435061249064776,-0.895509694251615,"X106","Secretor","additive",0.370514685936619,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X113.Secretor",0.753782551646845,0.415981389616194,1.81205835276026,0.317883622556364,2.37125318248565,"X113","Secretor","additive",0.017727882674241,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X120.Secretor",-1.28762739668516,0.278542631451183,-4.62273006461069,0.224814535147281,-5.72750954844448,"X120","Secretor","additive",1.01915703046211e-08,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X127.Secretor",-1.2792184219787,0.337540867255867,-3.78981790376516,0.348709424361129,-3.66843661975114,"X127","Secretor","additive",0.000244038172576969,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X141.Secretor",-0.253555867199649,0.379513423156666,-0.668107770973305,0.275469239441755,-0.920450746927264,"X141","Secretor","additive",0.357337260074484,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X142.Secretor",-1.3672127084052,0.280598354015255,-4.87249012277127,0.260354796273319,-5.25134442681791,"X142","Secretor","additive",1.50993033663776e-07,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X143.Secretor",-0.701555238324767,0.443923184096131,-1.5803527805226,0.542415146378725,-1.2933916816455,"X143","Secretor","additive",0.195875625661313,"smallest_motif_abundance_dropped_more"
"glycan_percent.X2FL.Secretor",2.05918325392158,0.0557899763149488,36.9095559800376,0.0443369862970703,46.4439156988359,"X2FL","Secretor","additive",0,"glycan_percent"
"glycan_percent.X3FL.Secretor",-0.935421678366689,0.219515009745907,-4.26131078439446,0.201016065137608,-4.653467262561,"X3FL","Secretor","additive",3.26399445502139e-06,"glycan_percent"
"glycan_percent.LNnT.Secretor",-0.721107174320685,0.430739586654128,-1.6741140045243,0.302347728057483,-2.38502594001165,"LNnT","Secretor","additive",0.0170779171095351,"glycan_percent"
"glycan_percent.X3SL.Secretor",0.343219406085707,0.304534604833468,1.12702924606349,0.219990493432489,1.56015562641135,"X3SL","Secretor","additive",0.118723108862047,"glycan_percent"
"glycan_percent.LNT.Secretor",-1.48743126503663,0.287476296484984,-5.17410055445849,0.224867686436785,-6.61469546205686,"LNT","Secretor","additive",3.72317414465994e-11,"glycan_percent"
"glycan_percent.LNFPI.Secretor",1.94112968796417,0.161910755414012,11.9888866122613,0.115968232038772,16.7384606442494,"LNFPI","Secretor","additive",6.87430225943041e-63,"glycan_percent"
"glycan_percent.LNFPII.Secretor",-1.81182048444704,0.387055232288228,-4.68103860458302,0.280647134380333,-6.45586668272074,"LNFPII","Secretor","additive",1.07601304055981e-10,"glycan_percent"
"glycan_percent.LNFPIII.Secretor",0.483904994309312,0.257029506115527,1.88268266014491,0.183692744845304,2.63431740168524,"LNFPIII","Secretor","additive",0.00843066364747779,"glycan_percent"
"glycan_percent.LSTb.Secretor",-1.83251007634104,0.254584098514238,-7.19805395166327,0.255333127141448,-7.17693820953314,"LSTb","Secretor","additive",7.12898872065713e-13,"glycan_percent"
"glycan_percent.LSTc.Secretor",-0.366200639707118,0.218502763512524,-1.67595427087644,0.148418683456415,-2.46734865974375,"LSTc","Secretor","additive",0.0136117747158245,"glycan_percent"
"glycan_percent.DFLNT.Secretor",0.753782551646845,0.415981389616194,1.81205835276026,0.317883622556364,2.37125318248565,"DFLNT","Secretor","additive",0.0177278826742411,"glycan_percent"
"glycan_percent.DSLNT.Secretor",0.121358054326251,0.16413826152077,0.739364808679261,0.119508498404806,1.01547635478759,"DSLNT","Secretor","additive",0.30987881223173,"glycan_percent"
"glycan_percent.FLNH.Secretor",-1.28762739668516,0.278542631451183,-4.62273006461069,0.224814535147281,-5.72750954844448,"FLNH","Secretor","additive",1.01915703046214e-08,"glycan_percent"
"glycan_percent.DFLNH.Secretor",-1.3672127084052,0.280598354015255,-4.87249012277126,0.260354796273319,-5.2513444268179,"DFLNH","Secretor","additive",1.50993033663779e-07,"glycan_percent"
"glycan_percent.FDSLNH.Secretor",-0.701555238324767,0.443923184096131,-1.5803527805226,0.542415146378725,-1.2933916816455,"FDSLNH","Secretor","additive",0.195875625661313,"glycan_percent"
