,2'FL,3FL,LNnT,3'SL,LNT,LNFP I,LNFP II,LNFP III,LSTb,LSTc,DFLNT,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH
"L1,1",21765,1034,295,5781,882,3578,435,547,47,868,1973,243,99,191,313,51
"L1,2",17207,394,327,2335,1423,5269,431,397,95,822,1309,179,52,222,8,149
"L1,3",15841,135,748,874,3642,8313,506,144,77,1411,1622,191,91,137,66,27
"L1,4",15213,65,735,736,3263,7990,444,77,34,1744,1877,352,147,231,118,38
"L1,7",9739,41,381,729,3342,4547,504,64,44,497,1585,93,221,270,56,80
"L1,14",13347,7,843,922,4587,7479,565,226,138,1496,1820,178,216,347,102,62
"L1,28",9498,59,382,636,2715,3278,465,46,50,333,1258,82,188,206,49,90
"L1,42",9506,46,551,713,2741,3592,616,37,60,410,1410,121,159,188,57,91
"L2,1",2,597,416,1285,2495,170,3609,1,340,737,1449,189,92,477,156,21
"L2,2",8,195,693,821,4202,190,3040,27,270,791,611,61,165,238,53,28
"L2,3",2,98,654,533,4482,189,2529,56,186,793,384,67,266,192,32,79
"L2,4",0,42,388,222,2865,111,1401,86,130,453,188,20,166,116,16,83
"L2,7",8,143,598,489,6171,311,3492,46,226,995,815,99,377,568,102,174
"L2,14",114,91,260,399,3827,196,1668,20,109,183,268,24,261,160,26,94
"L2,28",6,40,91,95,2521,139,888,7,39,31,112,9,75,57,8,29
"L2,42",0,68,104,137,1132,66,808,8,43,37,103,4,81,54,6,14
"L3,1",16,958,391,1427,2623,266,4913,1,265,792,2651,567,256,561,340,45
"L3,2",25,535,3632,2218,8010,457,11595,49,537,1380,759,522,96,307,115,9
"L3,3",2,113,758,514,5543,281,3755,28,141,615,574,57,122,202,56,148
"L3,4",2,107,1253,454,8018,334,4626,195,123,1004,600,49,262,389,235,306
"L3,7",21,159,642,386,6380,288,4108,82,99,798,592,20,516,897,345,324
"L3,14",2,210,162,292,2558,114,1581,19,60,218,318,14,203,581,181,113
"L3,28",6,238,205,299,2413,152,2282,18,77,191,502,26,159,387,95,75
"L3,42",2,503,155,220,1471,119,2054,9,69,76,482,19,78,174,42,37
"L4,1",4358,1649,480,6205,529,1644,1438,224,86,983,216,288,59,277,221,18
"L4,2",8840,572,951,4072,1885,3784,1916,268,40,570,205,157,42,350,247,62
"L4,3",11257,321,967,3199,4303,5815,2374,102,162,822,3183,340,121,222,157,47
"L4,4",7532,60,1385,1143,6697,5112,2084,158,69,1123,2402,171,334,236,81,119
"L4,7",7684,98,909,1119,6032,4345,1707,161,66,1014,2752,85,530,439,127,218
"L4,14",9757,66,498,1041,5861,3498,1473,132,70,572,2709,52,810,581,64,556
"L4,28",7947,90,266,1202,2533,1418,926,63,56,287,1916,23,358,367,55,394
"L4,42",7155,125,256,1272,2629,1165,1059,63,58,260,1799,17,379,391,58,444
"L5,1",19285,1088,538,8725,472,1884,537,379,52,795,2905,287,94,247,372,71
"L5,2",16084,614,797,3801,1434,5079,630,292,88,1199,2936,148,39,150,13,204
"L5,3",11268,164,1074,944,1802,4392,439,107,43,1441,2138,74,60,132,108,40
"L5,4",8925,38,1259,562,2213,3583,446,107,31,1635,1850,178,110,204,78,81
"L5,7",7608,40,1089,663,2191,2422,455,79,34,1423,1685,106,116,249,75,122
"L5,14",7051,78,791,746,1839,1496,446,33,34,732,1677,94,127,324,80,184
"L5,28",6186,88,593,774,1096,1309,340,2,17,416,1207,66,78,214,66,110
"L5,42",6599,136,468,577,944,1156,361,24,30,213,1066,37,93,174,37,144
"L6,2",9100,304,1141,1357,4388,4096,1630,113,120,1095,3796,138,79,224,148,115
"L6,3",8818,200,1587,1086,3947,3927,1729,43,100,1385,3989,174,109,259,169,243
"L6,4",8877,99,951,975,6860,4409,1992,115,74,1426,4184,106,258,328,237,336
"L6,7",11083,0,941,1390,7704,4248,2780,80,136,1016,5661,224,326,558,147,592
"L6,14",10572,391,1342,2129,5341,2230,2517,45,108,545,5161,179,152,573,259,724
"L6,28",8310,447,912,2200,5045,2717,2039,71,163,476,5151,148,218,472,177,371
"L6,42",4100,130,549,594,1655,859,867,25,81,73,1451,93,67,146,27,197
