"","Coef","naiveSE","naiveZ","robustSE","robustZ","vars","response","robustPr","data"
"motif_abundance.scale(X0)",0.0295856131656277,0.12130533040857,0.24389376019982,0.00812648753713544,3.64063970201529,"X0","secretor",0.000271961493639389,"motif_abundance"
"motif_abundance.scale(X1)",0.0161522977637692,0.102237128625928,0.157988570110065,0.00663608029133218,2.43401180435787,"X1","secretor",0.0149325081000325,"motif_abundance"
"motif_abundance.scale(X3)",0.00436346681384863,0.0820661895261537,0.0531700915936645,0.00419105654648331,1.04113766193634,"X3","secretor",0.297811662414526,"motif_abundance"
"motif_abundance.scale(X5)",0.0295856131656277,0.12130533040857,0.24389376019982,0.00812648753713544,3.64063970201529,"X5","secretor",0.000271961493639389,"motif_abundance"
"motif_abundance.scale(X6)",-0.00128914667405587,0.0898666065141707,-0.0143451135417313,0.00513591155043581,-0.251006400985718,"X6","secretor",0.801809160318023,"motif_abundance"
"motif_abundance.scale(X7)",0.00433178773696793,0.0813969575605598,0.0532180546643289,0.00391007867531808,1.10785180981443,"X7","secretor",0.267925820517069,"motif_abundance"
"motif_abundance.scale(X8)",0.00441774448088856,0.0819099650780652,0.0539341516832314,0.00418602191374723,1.0553562718772,"X8","secretor",0.291262414022697,"motif_abundance"
"motif_abundance.scale(X10)",0.003816770315267,0.0838973975271979,0.045493310016317,0.00509115878699546,0.749685970317076,"X10","secretor",0.453443859209469,"motif_abundance"
"motif_abundance.scale(X11)",0.000284910850468413,0.0738338432443307,0.00385881105397137,0.00356912145594401,0.0798266055064958,"X11","secretor",0.93637516370859,"motif_abundance"
"motif_abundance.scale(X12)",0.0089508635036278,0.10288622350443,0.0869976873360733,0.00441083448734657,2.02929026906479,"X12","secretor",0.0424287338643803,"motif_abundance"
"motif_abundance.scale(X14)",0.000720908161445614,0.0735612438815142,0.00980010836421944,0.0030788501609597,0.23414850471999,"X14","secretor",0.81486969104761,"motif_abundance"
"motif_abundance.scale(X15)",0.00162912615065834,0.0779831052166151,0.0208907576344015,0.00325487984515939,0.500518061544161,"X15","secretor",0.616710341695564,"motif_abundance"
"motif_abundance.scale(X17)",-0.00128914667405587,0.0898666065141707,-0.0143451135417313,0.00513591155043581,-0.251006400985718,"X17","secretor",0.801809160318023,"motif_abundance"
"motif_abundance.scale(X18)",-0.00128914667405587,0.0898666065141707,-0.0143451135417313,0.00513591155043581,-0.251006400985718,"X18","secretor",0.801809160318023,"motif_abundance"
"motif_abundance.scale(X19)",0.00433178773696793,0.0813969575605598,0.0532180546643289,0.00391007867531808,1.10785180981443,"X19","secretor",0.267925820517069,"motif_abundance"
