,incl,node_name,size
1,Y,1,0.0
2,Y,2,-0.01100000000000001
3,Y,3,-0.009999999999999898
4,Y,4,-2.249
5,Y,5,-2.225
6,Y,6,-1.181
7,Y,7,0.03500000000000003
8,Y,8,0.522
9,Y,9,0.08199999999999996
10,Y,10,-2.289
11,Y,11,-2.215
12,Y,12,1.623
13,Y,13,-0.416
14,Y,14,-2.954
15,Y,15,-0.2430000000000001
16,Y,16,-2.477
17,Y,17,-2.032
18,Y,18,-1.702
19,Y,19,3.4130000000000003
20,Y,20,-1.849
21,Y,21,-2.6740000000000004
22,Y,22,0.0
23,Y,23,0.0
24,N,24,-0.01
25,N,25,-0.01
26,N,26,-0.01
27,N,27,-0.01
28,N,28,-0.01
29,N,29,-0.01
30,N,30,-0.01
31,N,31,-0.01
32,N,32,-0.01
33,N,33,-0.01
34,N,34,-0.01
35,N,35,-0.01
36,N,36,-0.01
37,N,37,-0.01
38,N,38,-0.01
39,N,39,-0.01
40,N,40,-0.01
41,N,41,-0.01
42,N,42,-0.01
43,N,43,-0.01
44,N,44,-0.01
45,N,45,-0.01
46,N,46,-0.01
47,N,47,-0.01
48,N,48,-0.01
49,N,49,-0.01
50,N,50,-0.01
51,N,51,-0.01
52,N,52,-0.01
53,N,53,-0.01
54,N,54,-0.01
55,N,55,-0.01
56,N,56,-0.01
57,N,57,-0.01
58,N,58,-0.01
59,N,59,-0.01
60,N,60,-0.01
61,N,61,-0.01
62,N,62,-0.01
63,N,63,-0.01
64,N,64,-0.01
65,N,65,-0.01
66,N,66,-0.01
67,N,67,-0.01
68,N,68,-0.01
69,N,69,-0.01
70,N,70,-0.01
71,N,71,-0.01
72,N,72,-0.01
73,N,73,-0.01
74,N,74,-0.01
75,N,75,-0.01
76,N,76,-0.01
77,N,77,-0.01
78,N,78,-0.01
79,N,79,-0.01
80,N,80,-0.01
81,N,81,-0.01
82,N,82,-0.01
83,N,83,-0.01
84,N,84,-0.01
85,N,85,-0.01
86,N,86,-0.01
87,N,87,-0.01
88,N,88,-0.01
89,N,89,-0.01
90,N,90,-0.01
91,N,91,-0.01
92,N,92,-0.01
93,N,93,-0.01
94,N,94,-0.01
95,N,95,-0.01
96,N,96,-0.01
97,N,97,-0.01
98,N,98,-0.01
99,N,99,-0.01
100,N,100,-0.01
101,N,101,-0.01
102,N,102,-0.01
103,N,103,-0.01
104,N,104,-0.01
105,N,105,-0.01
106,N,106,-0.01
107,N,107,-0.01
108,N,108,-0.01
109,N,109,-0.01
110,N,110,-0.01
111,N,111,-0.01
112,N,112,-0.01
113,N,113,-0.01
114,N,114,-0.01
115,N,115,-0.01
116,N,116,-0.01
117,N,117,-0.01
118,N,118,-0.01
119,N,119,-0.01
120,N,120,-0.01
121,N,121,-0.01
122,N,122,-0.01
123,N,123,-0.01
124,N,124,-0.01
125,N,125,-0.01
126,N,126,-0.01
127,N,127,-0.01
128,N,128,-0.01
129,N,129,-0.01
130,N,130,-0.01
131,N,131,-0.01
132,N,132,-0.01
133,N,133,-0.01
134,N,134,-0.01
135,N,135,-0.01
136,N,136,-0.01
137,N,137,-0.01
138,N,138,-0.01
139,N,139,-0.01
140,N,140,-0.01
141,N,141,-0.01
142,N,142,-0.01
143,N,143,-0.01
144,N,144,-0.01
145,N,145,-0.01
146,N,146,-0.01
147,N,147,-0.01
148,N,148,-0.01
149,N,149,-0.01
150,N,150,-0.01
151,N,151,-0.01
152,N,152,-0.01
153,N,153,-0.01
154,N,154,-0.01
155,N,155,-0.01
156,N,156,-0.01
157,N,157,-0.01
158,N,158,-0.01
159,N,159,-0.01
160,N,160,-0.01
161,N,161,-0.01
162,N,162,-0.01
163,N,163,-0.01
164,N,164,-0.01
165,N,165,-0.01
166,N,166,-0.01
167,N,167,-0.01
168,N,168,-0.01
169,N,169,-0.01
170,N,170,-0.01
171,N,171,-0.01
