,start,end,edge_list
0,51,77,N
1,51,84,N
2,51,92,N
3,77,104,B4GALT
4,77,114,GNTIV
5,77,115,GNTII
6,77,120,A6FUCT
7,84,120,N
8,84,142,N
9,92,136,N
10,92,142,N
11,104,149,"A3SIAT, A6SIAT"
12,104,150,N
13,104,151,N
14,104,167,N
15,104,173,IGNT
16,114,150,B4GALT
17,114,163,GNTII
18,114,184,A6FUCT
19,115,151,B4GALT
20,115,163,"GNTIV, GNTV"
21,115,168,A6FUCT
22,120,167,B4GALT
23,120,168,GNTII
24,120,184,GNTIV
25,136,202,A6FUCT
26,142,202,N
27,149,213,N
28,149,214,N
29,149,256,N
30,150,212,B4GALT
31,150,213,"A3SIAT, A6SIAT"
32,150,215,N
33,150,249,N
34,150,252,IGNT
35,151,214,"A3SIAT, A6SIAT"
36,151,215,N
37,151,216,B4GALT
38,151,217,GNTV
39,151,232,N
40,151,238,IGNT
41,163,215,B4GALT
42,163,217,B4GALT
43,163,227,GNTV
44,163,254,A6FUCT
45,167,231,IGNT
46,167,232,N
47,167,249,N
48,167,256,"A3SIAT, A6SIAT"
49,168,232,B4GALT
50,168,254,"GNTIV, GNTV"
51,173,231,N
52,173,237,B4GALT
53,173,238,N
54,173,252,N
55,184,249,B4GALT
56,184,254,GNTII
57,212,287,"A3SIAT, A6SIAT"
58,212,300,N
59,212,328,N
60,212,332,IGNT
61,213,287,B4GALT
62,213,301,N
63,213,344,N
64,214,288,B4GALT
65,214,301,N
66,214,303,GNTV
67,214,343,N
68,215,300,B4GALT
69,215,301,"A3SIAT, A6SIAT"
70,215,302,B4GALT
71,215,304,GNTV
72,215,335,N
73,215,340,IGNT
74,216,288,"A3SIAT, A6SIAT"
75,216,302,N
76,216,316,N
77,216,322,IGNT
78,217,302,B4GALT
79,217,303,"A3SIAT, A6SIAT"
80,217,304,N
81,217,336,N
82,217,339,N
83,227,304,B4GALT
84,227,341,N
85,231,314,B4GALT
86,231,315,N
87,231,337,N
88,232,315,IGNT
89,232,316,B4GALT
90,232,335,N
91,232,336,GNTV
92,232,343,"A3SIAT, A6SIAT"
93,237,314,N
94,237,320,IGNT
95,237,321,N
96,237,351,A3SIAT
97,237,365,N
98,238,315,N
99,238,321,B4GALT
100,238,322,B4GALT
101,238,339,N
102,238,340,N
103,249,328,B4GALT
104,249,335,N
105,249,337,IGNT
106,249,344,"A3SIAT, A6SIAT"
107,252,332,B4GALT
108,252,337,N
109,252,340,N
110,252,365,B4GALT
111,254,335,B4GALT
112,254,336,B4GALT
113,254,341,GNTV
114,256,343,N
115,256,344,N
116,287,399,N
117,287,403,"A3SIAT, A6SIAT"
118,287,451,N
119,287,463,IGNT
120,288,400,"A3SIAT, A6SIAT"
121,288,401,N
122,288,402,N
123,288,450,N
124,288,460,IGNT
125,300,399,"A3SIAT, A6SIAT"
126,300,414,B4GALT
127,300,415,GNTV
128,300,438,N
129,300,445,IGNT
130,301,399,B4GALT
131,301,402,B4GALT
132,301,416,GNTV
133,301,452,N
134,302,401,"A3SIAT, A6SIAT"
135,302,402,"A3SIAT, A6SIAT"
136,302,414,B4GALT
137,302,417,N
138,302,439,N
139,302,443,N
140,302,444,IGNT
141,303,401,B4GALT
142,303,416,N
143,303,454,N
144,304,415,B4GALT
145,304,416,"A3SIAT, A6SIAT"
146,304,417,B4GALT
147,304,447,N
148,304,449,IGNT
149,314,424,IGNT
150,314,425,N
151,314,497,N
152,314,500,A3SIAT
153,315,425,B4GALT
154,315,426,B4GALT
155,315,446,N
156,315,448,N
157,316,426,IGNT
158,316,439,N
159,316,450,"A3SIAT, A6SIAT"
160,320,422,B4GALT
161,320,424,N
162,320,429,N
163,320,520,N
164,321,425,N
165,321,429,IGNT
166,321,430,B4GALT
167,321,461,A3SIAT
168,321,485,N
169,321,486,N
170,322,426,N
171,322,430,B4GALT
172,322,431,IGNT
173,322,443,N
174,322,444,N
175,322,460,A3SIAT
176,328,438,N
177,328,440,IGNT
178,328,451,"A3SIAT, A6SIAT"
179,332,440,N
180,332,445,N
181,332,463,A3SIAT
182,332,487,B4GALT
183,335,438,B4GALT
184,335,439,B4GALT
185,335,447,GNTV
186,335,448,IGNT
187,335,452,"A3SIAT, A6SIAT"
188,336,439,B4GALT
189,336,446,N
190,336,447,N
191,336,454,"A3SIAT, A6SIAT"
192,337,440,B4GALT
193,337,448,N
194,337,497,B4GALT
195,339,443,N
196,339,446,N
197,339,449,N
198,339,485,N
199,340,444,B4GALT
200,340,445,B4GALT
201,340,448,N
202,340,449,N
203,340,486,B4GALT
204,341,447,B4GALT
205,343,450,B4GALT
206,343,452,N
207,343,454,GNTV
208,344,451,B4GALT
209,344,452,N
210,351,461,N
211,351,462,N
212,351,500,N
213,365,462,A3SIAT
214,365,486,N
215,365,487,B4GALT
216,365,497,N
217,365,520,N
218,399,545,B4GALT
219,399,548,GNTV
220,399,550,"A3SIAT, A6SIAT"
221,399,585,N
222,399,605,IGNT
223,400,547,N
224,400,586,N
225,401,546,B4GALT
226,401,547,"A3SIAT, A6SIAT"
227,401,549,N
228,401,587,N
229,401,602,IGNT
230,402,545,B4GALT
231,402,547,"A3SIAT, A6SIAT"
232,402,549,N
233,402,584,N
234,402,598,N
235,403,550,N
236,403,588,N
237,414,545,"A3SIAT, A6SIAT"
238,414,546,"A3SIAT, A6SIAT"
239,414,556,N
240,414,571,N
241,414,574,N
242,414,575,IGNT
243,415,548,"A3SIAT, A6SIAT"
244,415,556,B4GALT
245,415,577,N
246,415,582,IGNT
247,416,548,B4GALT
248,416,549,B4GALT
249,416,589,N
250,417,549,"A3SIAT, A6SIAT"
251,417,556,B4GALT
252,417,578,N
253,417,581,IGNT
254,422,558,N
255,422,560,N
256,422,663,N
257,422,684,N
258,424,558,B4GALT
259,424,562,N
