,EPO127.mgat1.,EPO174.mgat2.,EPO263.mgat2.st3gal4.st3gal6.magt4A.mgat4B.mgat5.,EPO259.mgat2.st3gal4.st3gal6.,EPO261.mgat2.mgat4A.mgat4B.mgat5.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,B4GalT1.B4GalT3,EPO200.B4galt1.B4galt2.B4galt3.,B4GalT1,B4GalT1.B4GalT2,st3gal4,st3gal4.st3gal6,st3gal6,KI_ST6GalNAc1.st3gal4.st3gal6,st3gal3,B4GalT2,B4GalT3,WT,B3gnt2,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
77,0.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
84,0.4817187725805675,1.0,0.9999999999999999,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,0.07452487170891461,0.4762532981530343,0.4054671477895174,0.5721793867839288,1.0,1.0,0.7348168752897545,0.9182249105766717,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8348332860568866,1.0,1.0,1.0000000000000002,1.0,1.0,0.9882724634694967,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
120,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
136,0.9482634038248472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,1.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,0.07452487170891461,0.4762532981530343,0.4054671477895174,0.5721793867839288,1.0,1.0,0.7348168752897545,0.9182249105766717,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
167,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,0.07452487170891461,0.4762532981530343,0.4054671477895174,0.5721793867839288,1.0,1.0,0.7348168752897545,0.9182249105766717,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8348332860568866,1.0,1.0,1.0000000000000002,1.0,1.0,0.9882724634694967,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
