m/z exp	Composition	m/z calc	Gly01	Gly02	Gly03	Gly04	Gly05	Gly06	Gly07	Gly08	Gly09	Gly10	Gly11	Gly12	Gly13	Gly14	Gly15	Gly16	Gly17	Gly18	Gly19	Gly20	Gly21	Gly22	Gly23	Gly24	Gly25	Gly26	Gly27	Gly28	Gly29	Gly30	Gly31	Gly32	Gly33	Gly34	Gly35	Gly36	Gly37
1346	[dHexHex3HexNAc2+Na]	1345.672											6.13																										
1375	[Hex4HexNAc2+Na]	1375.683																														10.74							
1417	[Hex3HexNAc3+Na]	1416.709																																			1.80		
1550	[dHexHex4HexNAc2+Na]	1549.772																														35.16							
1580	[Hex5HexNAc2+Na]	1579.783																1.77														96.85					1.65		1.79
1591	[dHexHex3HexNAc3+Na]	1590.799											64.05					6.83					1.14												5.49				
1621	[Hex4HexNAc3+Na]	1620.809																1.80																					
1662	[Hex3HexNAc4+Na]	1661.836											1.96					1.98																			1.58	100.00	
1754	[dHexHex5HexNAc2+Na]	1753.872																							75.05							100.00							
1784	[Hex6HexNAc2+Na]	1783.882																							12.10							7.79							
1795	[dHexHex4HexNAc3+Na]	1794.898										1.77	2.45					3.55					0.87										100.00	7.39	80.99				
1825	[Hex5HexNAc3+Na]	1824.909																									1.11						13.42		10.28				
1836	[dHexHex3HexNAc4+Na]	1835.925		2.52		4.62		78.43	3.11			85.53	96.61	12.54		19.10	2.07	65.96		2.60	15.39	2.04	1.34	1.54													100.00		100.00
1866	[Hex4HexNAc4+Na]	1865.935						5.03				3.74	2.61					12.09			2.39																		15.08
1907	[Hex3HexNAc5+Na]	1906.962						1.92				1.56						1.85																					
1982	[NeuAcHex4HexNAc3+Na]	1981.983																									1.08												
2040	[dHexHex4HexNAc4+Na]	2040.025		4.30		3.64	1.55	31.85				21.33	6.45	17.02	1.77	12.36	3.23	47.71	2.92	2.79	3.19	1.56	6.19										0.65		3.66		0.90		41.85
2070	[Hex5HexNAc4+Na]	2070.035															0.76	10.21					0.90												1.00				6.65
2081	[dHexHex3HexNAc5+Na]	2081.051		4.23	1.75	1.96		100.00	5.57	3.74	1.32	100.00	100.00	17.90	4.98	22.77	3.59	81.65	2.05	6.03	12.73																		
2111	[Hex4HexNAc5+Na]	2111.062						5.73				5.54	2.89	4.01				16.00			1.60																		
2156	[NeuAcdHexHex4HexNAc3+Na]	2156.072																0.97				0.16											14.87	100.00	7.25				
2186	[NeuAcHex5HexNAc3+Na]	2186.083																									4.83						3.43	14.23					
2244	[dHexHex5HexNAc4+Na]	2244.124	5.01	9.74	7.10	6.13	3.68	7.32	6.78	3.22		3.25	0.93	75.79	3.07	34.12	30.27	100.00	30.32	11.30	4.15	5.11	100.00		5.01	5.01	5.01		5.01				20.77	1.06	100.00				2.89
2274	[Hex6HexNAc4+Na]	2274.135												10.10			3.06	16.85		3.20			4.42										3.22		11.78				0.69
2285	[dHexHex4HexNAc5+Na]	2285.151	4.24	4.78	1.32			35.81	2.54	2.05		36.28	6.35	14.60	2.09	12.51	3.44	49.96	2.59	5.95	4.15					4.24		4.24											
2315	[Hex5HexNAc5+Na]	2315.162										2.84		3.07			0.96	10.53		2.35																			
2326	[dHexHex3HexNAc6+Na]	2326.178	7.94	5.65				50.59	3.98	3.92		98.56	98.23	9.11	4.14	24.83	2.94	18.55	1.00	4.29	4.93					7.94		7.94											
2356	[Hex4HexNAc6+Na]	2356.188						4.47				5.46	2.54				0.67	4.19																					
2401	[NeuAcdHexHex4HexNAc4+Na]	2401.198	1.79				1.56	14.75	2.08			14.30	5.93	3.90		6.85		2.57			8.43	1.34		3.21		1.79	1.79	1.79											
2431	[NeuAcHex5HexNAc4+Na]	2431.209						1.51				1.50												0.39												10.99			
2489	[dHexHex5HexNAc5+Na]	2489.251	3.49	5.58	2.20			9.73	2.05			7.36		15.98	2.65	7.27	5.82	31.14	5.79	8.53	4.91		0.83		3.49	3.49													
2517	[NeuAc2dHexHex4HexNAc3+Na]	2517.246																															0.81	1.08					
2519	[Hex6HexNAc5+Na]	2519.261															1.14	6.96	0.70	3.27																			
2530	[dHexHex4HexNAc6+Na]	2530.277	4.92	5.69				22.68	1.67			54.92	5.22	7.08	2.75	12.40	3.43	19.32	0.96	5.97	1.97					4.92		4.92											
2560	[Hex5HexNAc6+Na]	2560.288										4.04					0.80	4.67		1.64																			
2576	[NeuAcHex7HexNAc3-H2O+Na]	2576.272																									0.75												
2605	[NeuAcdHexHex5HexNAc4+Na]	2605.298	11.79	16.05	12.63	13.27	31.67	9.37	31.41	17.10	2.59	5.03		97.83	6.28	79.48	1.07	25.00	1.08		11.50	42.65		2.25	11.79	11.79	11.79		11.79				12.77	5.08	8.83				0.55
2635	[NeuAcHex6HexNAc4+Na]	2635.309			1.02		0.84							12.98		8.13		5.87				1.00											2.68	0.92	1.81				
2646	[NeuAcdHexHex4HexNAc5+Na]	2646.325	3.10		0.99			20.58	1.78	3.00		30.60	7.79		2.28	5.99		2.90			4.08				3.10	3.10		3.10			3.10								
2676	[NeuAcHex5HexNAc5+Na]	2676.335						2.59				2.99																											
2693	[dHexHex6HexNAc5+Na]	2693.351	4.66	11.34	14.78	2.47		2.92	3.26			2.29		36.23	3.86	14.12	46.64	54.80	50.94	41.09	6.06		10.87		4.66	4.66			4.66		4.66		2.67		16.57				
2723	[Hex7HexNAc5+Na]	2723.361												6.51			5.84	11.43	2.03	9.78			0.76										0.53		1.98				
2734	[dHexHex5HexNAc6+Na]	2734.377	4.69	5.98				11.30				22.17		7.08	2.28	7.23	4.62	15.73	1.92	7.30	1.89																		
2762	[NeuAc2dHexHex4HexNAc4+Na]	2762.372																									0.67												
2764	[Hex6HexNAc6+Na]	2764.388										2.06					0.89	3.91		2.73																			
2775	[dHexHex4HexNAc7+Na]	2775.404						1.70				1.87																											
2792	[NeuAc2Hex5HexNAc4+Na]	2792.383																									0.64									28.18			
2850	[NeuAcdHexHex5HexNAc5+Na]	2850.424	4.00		2.18	1.46		12.50	3.18	3.31		16.13		9.44	2.19	7.87		5.40			6.25				4.00	4.00				4.00	4.00								
2880	[NeuAcHex6HexNAc5+Na]	2880.435																1.76			2.42															11.19			
2892	[NeuAcdHexHex4HexNAc6+Na]	2891.451	4.12	1.86				19.83	1.78	4.00	1.23	67.06	13.00		2.65	9.33		1.33			2.06					4.12		4.12			4.12								
2921	[NeuAcHex5HexNAc6+Na]	2921.462										6.09	0.99					0.86																					
2939	[dHexHex6HexNAc6+Na]	2938.477	4.72	8.83				6.00				4.20		8.65	2.47		11.42	16.27	6.39	12.09	6.57		0.37		4.72														
2967	[NeuAc2dHexHex5HexNAc4+Na]	2966.472	15.67	26.26	14.33	44.94	100.00	17.35	41.87	29.55	13.30	4.70	1.23	25.80	7.72	52.51		4.68			100.00	100.00		100.00	15.67	15.67	15.67		15.67	15.67	15.67		4.89	2.94	1.05				
2969	[Hex7HexNAc6+Na]	2968.487															2.05		0.75	4.41																5.95			
2980	[dHexHex5HexNAc7+Na]	2979.503										2.54						0.90																					
2997	[NeuAc2Hex6HexNAc4+Na]	2996.482	3.64	2.77	1.63	3.29	3.01	2.34						7.96		5.77					15.51	3.93		10.41		3.64	3.64			3.64	3.64		1.59	0.71					
3055	[NeuAcdHexHex6HexNAc5+Na]	3054.524	13.04	16.81	45.29	4.30	0.69	4.38	15.50	12.88		4.98		93.25	9.35	37.27	2.12	25.84	2.15	2.02	52.74				13.04	13.04	13.04		13.04	13.04	13.04		2.22	0.37	2.48				
3085	[NeuAcHex7HexNAc5+Na]	3084.535	3.13		3.41									11.45		5.51		6.10			9.76				3.13				3.13	3.13	3.13		0.48		0.52				
3096	[NeuAcdHexHex5HexNAc6+Na]	3095.551	4.42	3.54				14.95	1.48	2.70	0.90	71.92	1.92	3.49	2.05	7.23		2.35							4.42	4.42					4.42								
3126	[NeuAcHex6HexNAc6+Na]	3125.561						2.20				6.61																											
3143	[dHexHex7HexNAc6+Na]	3142.577	5.31	11.34	3.19				1.97					14.08	4.00	9.48	100.00	40.73	100.00	100.00	5.94		6.73		5.31				5.31	5.31	5.31		0.42		2.76				
3173	[Hex8HexNAc6+Na]	3172.587												5.02			13.65	8.25	3.45	25.75			0.61												0.50				
3184	[dHexHex6HexNAc7+Na]	3183.603						3.22				1.72						1.58																					
3212	[NeuAc2dHexHex5HexNAc5+Na]	3211.598	4.27		2.41	3.72		15.17	3.60	3.52	0.94	13.90	2.31		2.61						2.81				4.27	4.27			4.27	4.27	4.27								
3228	[NeuAc3dHexHex7HexNAc2-H2O+Na]	3227.582																								2.37													
3242	[NeuAc2Hex6HexNAc5+Na]	3241.609			0.78							2.29																								29.14			
3300	[NeuAcdHexHex6HexNAc6+Na]	3299.651	6.12	6.97	0.57			7.00	1.74	4.18		13.54		7.27	2.33	9.10	0.89	3.73			4.81				6.12	6.12					6.12								
3330	[NeuAcHex7HexNAc6+Na]	3329.661	1.82									2.23						1.69			1.94															10.99			
3341	[NeuAcdHexHex5HexNAc7+Na]	3340.677										4.49																											
3387	[dHexHex13HexNAc2+Na]	3386.67																			2.04																		
3388	[dHexHex7HexNAc7+Na]	3387.703															1.56		2.12	3.45																			
3416	[NeuAc2dHexHex6HexNAc5+Na]	3415.698	27.84	36.54	95.36	27.21	3.16	10.82	55.82	46.61	6.55	9.23		84.96	21.68	58.35		10.87			29.26				27.84	27.84	27.84		27.84	27.84	27.84		0.46	0.37					
3418	[Hex8HexNAc7+Na]	3417.713																		2.33																			
3446	[NeuAc2Hex7HexNAc5+Na]	3445.708	7.64	4.23	8.59	2.31	0.21		2.43	4.48				15.81	2.00	10.34		3.52			6.81					7.64			7.64	7.64	7.64		0.18						
3457	[NeuAc2dHexHex5HexNAc6+Na]	3456.724	4.54					18.31	1.63	3.48	1.79	72.41	4.31		2.05	3.97										4.54					4.54								
3486	[NeuAcdHexHex7HexNAc6-H2O+Na]	3485.74						1.72																															
3487	[NeuAc2Hex6HexNAc6+Na]	3486.735										8.35																											
3504	[NeuAcdHexHex7HexNAc6+Na]	3503.75	15.58	19.15	9.27			3.07	9.89	11.14	1.98			51.55	5.26	27.94	12.22	24.94	9.76	9.24	42.20				15.58	15.58			15.58	15.58	15.58								
3534	[NeuAcHex8HexNAc6+Na]	3533.761	3.43	1.93	1.14									8.56		5.88	2.56	6.66	0.66	3.64	7.89				3.43					3.43	3.43		0.08						
3545	[NeuAcdHexHex6HexNAc7+Na]	3544.777						1.53				5.48																											
3575	[NeuAcHex7HexNAc7+Na]	3574.787										1.06																											
3592	[dHexHex8HexNAc7+Na]	3591.803		3.32										4.01			24.42	7.99	59.69	51.59	2.78		2.21																
3603	[NeuAc3Hex6HexNAc5+Na]	3602.782																																		83.29			
3622	[Hex9HexNAc7+Na]	3621.813															3.63	2.20	2.62	16.12																			
3633	[dHexHex7HexNAc8+Na]	3632.829																																		16.32			
3661	[NeuAc2dHexHex6HexNAc6+Na]	3660.824		6.64	0.61			14.21	4.09	7.75	2.12	38.39	1.17	5.76	4.23	10.56		1.49			2.71																		
3690	[NeuAcdHexHex8HexNAc6-H2O+Na]	3689.839						1.77																															
3691	[NeuAc2Hex7HexNAc6+Na]	3690.835	3.22									4.56		2.72				0.62													3.22					30.97			
3745	[Hex6HexNAc10+Na]	3744.893			1.35										1.12																								
3749	[NeuAcdHexHex7HexNAc7+Na]	3748.877										2.68																											
3777	[NeuAc3dHexHex6HexNAc5+Na]	3776.872	28.35	39.90	100.00	100.00		19.68	62.90	43.17	31.31	7.94	0.63	26.05	35.41	43.82		3.09			11.67				28.35	28.35			28.35	28.35	28.35								
3779	[NeuAcHex8HexNAc7+Na]	3778.887																																		5.62			
3807	[NeuAc3Hex7HexNAc5+Na]	3806.882			11.99	7.91		3.42	3.41	4.79	1.37	1.63		7.44	3.54	9.10		1.70																					
3836	[dHexHex14HexNAc3+Na]	3835.896																			3.83																		
3837	[dHexHex8HexNAc8+Na]	3836.929																	0.77	0.98																			
3848	[NeuAc3Hex6HexNAc6+Na]	3847.909																																		2.98			
3865	[NeuAc2dHexHex7HexNAc6+Na]	3864.924	53.12	64.48	21.12	1.33		6.53	54.26	61.40	9.52	6.60		100.00	22.66	73.52	1.20	19.40	1.00	0.98	45.79				53.12	53.12			53.12	53.12	53.12								
3895	[NeuAc2Hex8HexNAc6+Na]	3894.935			2.20				2.46	6.79				19.02	1.86	10.52	0.38	5.76			8.77																		
3906	[NeuAc2dHexHex6HexNAc7+Na]	3905.95						2.17				6.67																											
3936	[NeuAc2Hex7HexNAc7+Na]	3935.961										1.57																											
3953	[NeuAcdHexHex8HexNAc7+Na]	3952.976			1.68				2.99	5.48		0.87		11.17		6.25	4.88	5.35	13.35	8.43	4.41																		
3983	[NeuAcHex9HexNAc7+Na]	3982.987															1.20	1.87	1.22	2.72	1.70																		
3993	[NeuAcdHexHex13HexNAc3+Na]	3992.97										1.14																											
4022	[NeuAc3dHexHex6HexNAc6+Na]	4021.998						15.92	3.45		3.11	30.49	1.49		2.23	4.42																							
4041	[dHexHex9HexNAc8+Na]	4041.029															4.10	1.93	24.64	14.92			0.47																
4052	[NeuAc3Hex7HexNAc6+Na]	4052.008										4.88																								73.56			
4071	[Hex10HexNAc8+Na]	4071.039															1.11	0.50	1.36	5.37																			
4082	[dHexHex8HexNAc9+Na]	4082.055										1.27																								15.88			
4110	[NeuAc2dHexHex7HexNAc7+Na]	4110.05						2.83	1.21			4.19																											
4140	[NeuAc2Hex8HexNAc7+Na]	4140.061										0.94																								9.23			
4194	[Hex7HexNAc11+Na]	4194.119													1.68																								
4226	[NeuAc3dHexHex7HexNAc6+Na]	4226.098	100.00	100.00	16.79	2.15		16.16	100.00	100.00	44.08	10.59		60.97	67.99	100.00		8.25			22.52				100.00	100.00			100.00	100.00	100.00								
4256	[NeuAc3Hex8HexNAc6+Na]	4256.108			1.82			3.22	6.18	12.27	1.70	1.81		10.82	4.84	17.68		2.51			4.67																		
4285	[dHexHex15HexNAc4+Na]	4285.122																1.22																					
4286	[dHexHex9HexNAc9+Na]	4286.155																	0.38																				
4314	[NeuAc2dHexHex8HexNAc7+Na]	4314.15			2.48				8.72	11.97	0.94	1.05		13.40		10.11	0.80	3.96	1.50	1.17	5.47																		
4344	[NeuAc2Hex9HexNAc7+Na]	4344.161							1.29	2.70							0.40	1.40																					
4355	[NeuAc2dHexHex7HexNAc8+Na]	4355.177										0.58																											
4357	[Hex9HexNAc10+Na]	4357.192																																		6.56			
4402	[NeuAcdHexHex9HexNAc8+Na]	4402.202															1.29	1.03	6.28	3.10																			
4413	[NeuAc4Hex7HexNAc6+Na]	4413.182																																		100.00			
4432	[NeuAcHex10HexNAc8+Na]	4432.213															0.54		0.79	2.06																			
4443	[NeuAcdHexHex8HexNAc9+Na]	4443.229																																		23.12			
4471	[NeuAc3dHexHex7HexNAc7+Na]	4471.224						1.80				2.48																											
4490	[dHexHex10HexNAc9+Na]	4490.255															0.47		2.78	2.21																			
4501	[NeuAc3Hex8HexNAc7+Na]	4501.234										0.81																											
4520	[Hex11HexNAc9+Na]	4520.265																		1.98																			
4531	[dHexHex9HexNAc10+Na]	4531.281													1.77	4.64																							
4555	[NeuAcHex7HexNAc11+Na]	4555.293													1.44																								
4559	[NeuAc2dHexHex8HexNAc8+Na]	4559.276										0.79																											
4572	[dHexHex8HexNAc11+Na]	4572.308													2.79	6.74																							
4587	[NeuAc4dHexHex7HexNAc6+Na]	4587.271	74.10	77.35				24.09	69.61	53.18	100.00	4.89	0.39	12.63	100.00	71.24		1.62			4.05				74.10	74.10			74.10		74.10								
4617	[NeuAc4Hex8HexNAc6+Na]	4617.282								9.23	4.76	1.26		3.68	7.07	14.38		1.16																					
4647	[NeuAcdHexHex9HexNAc9+Na]	4647.329													1.07																								
4675	[NeuAc3dHexHex8HexNAc7+Na]	4675.324			1.77			3.86	14.60	23.63	3.77	1.33		10.27		12.92		1.78			8.24																		
4705	[NeuAc3Hex9HexNAc7+Na]	4705.334														4.57		0.87																					
4763	[NeuAc2dHexHex9HexNAc8+Na]	4763.376														2.32	0.40	0.74	0.75																				
4851	[NeuAcdHexHex10HexNAc9+Na]	4851.429																	0.80																				
4862	[NeuAc4Hex8HexNAc7+Na]	4862.408																																		26.41			
4939	[dHexHex11HexNAc10+Na]	4939.481																	0.38																				
5037	[NeuAc4dHexHex8HexNAc7+Na]	5036.497	15.10	9.26				4.57	5.95	8.27	10.00	0.51		3.82		9.36		0.58			1.73				15.10	15.10					15.10								
5066	[NeuAc4Hex9HexNAc7+Na]	5066.508														3.63																							
5125	[NeuAc3dHexHex9HexNAc8+Na]	5124.55								2.87											1.34																		
5312	[NeuAc4Hex9HexNAc8+Na]	5311.634																																		6.81			
5486	[NeuAc4dHexHex9HexNAc8+Na]	5485.723	2.24	1.02					0.64	1.26	1.08					2.36					1.77					2.24													
